,Unnamed: 0,1) Why do bags of snacks swell up on high mountains?,Unnamed: 0,", q37_pressure, q37_air, q37_altitude, q37_temperature, q37_pressure.1,q37_Air.1,q37_altitude.1,q37_temperature.1"
813,813,This is because the air pressure is low.,813.0,"841,1,0,1,0,,,,"
814,814,This is because air pressure decreases in high mountains,814.0,"842,1,0,0,0,,,,"
815,815,"This is because the external pressure is lowered and the pressure inside the snack bag is increased accordingly, so the volume is increased.",815.0,"843,1,0,0,0,,,,"
816,816,"In high mountains, the air pressure is low, increasing the volume of the bag of snacks. Other than air pressure, other things like temperatureConsidering phosphorus, the volume of the bag may not increase; it may not.",816.0,"844,0,0,1,0,,,,"
817,817,This is because the air pressure is lowered.,817.0,"845,1,0,1,0,,,,"
818,818,"The atmospheric pressure is lowered, causing the bag to expand.",818.0,"846,1,0,1,0,,,,"
819,819,be caused by the expansion of air pressure,819.0,"847,1,0,0,0,,,,"
820,820,This is because the air pressure decreases when climbing a high mountain.,820.0,"848,1,0,0,0,,,,"
821,821,"As you go higher, the air pressure decreases, and accordingly, the pressure due to the air pressure decreases, and the bag of confectionery swells.",821.0,"849,1,0,0,0,,,,"
822,822,This is because the air pressure is lowered.,822.0,"850,1,0,0,0,,,,"
823,823,"The higher you go, the lower the air pressure, and the more the bag swells.",823.0,"851,1,0,0,0,,,,"
824,824,"If I buy nitrogen, I'm afraid of snacks",824.0,"852,1,0,0,1,,,,"
825,825,"This is because as the altitude increases, the air pressure decreases, and the air pressure is inversely proportional to the volume, and as the air pressure decreases, the volume increases.",825.0,"853,1,0,0,1,,,,"
826,826,This is because the air pressure is low and the volume of air increases.,826.0,"854,1,0,0,0,,,,"
827,827,The air expands,827.0,"855,1,0,0,0,,,,"
828,828,The air pressure is high,828.0,"856,1,0,0,0,,,,"
829,829,It is because of the difference in air pressure.,829.0,"857,1,0,0,0,,,,"
830,830,The air pressure went up,830.0,"858,1,0,0,1,,,,"
831,831,Because of the high atmospheric pressure,831.0,"859,1,0,0,0,,,,"
832,832,"As you climb the mountain, the air pressure decreases, so the air pressure of nitrogen in the bag of snacks swells up because it is stronger than the air pressure outside.",832.0,"860,1,0,0,0,,,,"
833,833,This is because the air pressure is lowered.,833.0,"861,1,0,1,0,,,,"
834,834,"As you climb the mountain, the air pressure decreases and the air in the bag expands",834.0,"862,1,0,0,0,,,,"
835,835,The pressure is low,835.0,"863,1,0,0,0,,,,"
836,836,It's so high,836.0,"864,1,0,0,0,,,,"
837,837,This is because the air pressure is lowered.,837.0,"865,1,0,0,0,,,,"
838,838,Because of the pressure,838.0,"866,0,0,1,0,,,,"
839,839,Because the air is weak and the pressure is weak,839.0,"867,0,1,0,0,,,,"
840,840,a barometric difference,840.0,"868,1,0,0,0,,,,869,0,1,1,0,,,,"
841,841,a barometric difference,841.0,"870,1,0,1,0,,,,"
842,842,Because of the high atmospheric pressure,842.0,"871,1,0,1,0,,,,"
843,843,"If you go up to a high mountain, the atmospheric pressure is lowered, while the pressure in the bag of snacks is constant, creating pressure to push out of the bag of snacks.",843.0,"872,1,0,0,0,,,,"
844,844,Because of the difference in air pressure,844.0,"873,1,0,1,0,,,,"
845,845,barometric pressure,845.0,"874,1,0,1,0,,,,"
846,846,"The higher it goes, the higher it goes up",846.0,"875,1,0,1,0,,,,"
847,847,"This is because the higher you go, the higher the air pressure.",847.0,"876,1,0,0,0,,,,"
848,848,This is because the air pressure increases when you go up high.,848.0,"877,1,0,0,0,,,,"
849,849,Because of the high atmospheric pressure,849.0,"878,1,0,1,0,,,,"
850,850,Because of the air pressure difference,850.0,"879,1,0,0,0,,,,"
851,851,Because of the high air pressure,851.0,"880,0,0,1,0,,,,"
852,852,Because of the high air pressure,852.0,"881,1,0,0,0,,,,"
853,853,at a low air pressure,853.0,"882,1,0,1,0,,,,"
854,854,The external air pressure is lowered or the temperature is increased to expand the volume.,854.0,"883,1,0,0,0,,,,"
855,855,by air pressure or temperature difference,855.0,"884,1,0,0,0,,,,"
856,856,Because of the pressure,856.0,"885,1,1,0,1,,,,"
857,857,at a low air pressure,857.0,"886,1,0,1,0,,,,"
858,858,It's because the air pressure is high,858.0,"887,1,1,1,0,,,,"
859,859,This is because the pressure decreases and the volume increases,859.0,"888,1,0,0,0,,,,"
860,860,Pressure is weak at low temperatures.,860.0,"889,1,0,0,0,,,,"
861,861,The pressure changed,861.0,"890,1,1,0,0,,,,"
862,862,The pressure is reduced,862.0,"891,1,0,0,0,,,,"
863,863,"This is because the higher the altitude, the lower the pressure.",863.0,"892,1,0,1,0,,,,"
864,864,Because of the pressure difference,864.0,"893,1,0,1,0,,,,"
865,865,"Low barometric pressure, resulting in volume",865.0,"894,1,1,0,0,,,,"
866,866,It's because the pressure is low,866.0,"895,1,0,1,0,,,,"
867,867,It's because the pressure is low,867.0,"896,1,0,1,0,,,,"
868,868,It's because of the high altitude,868.0,"897,1,0,0,0,,,,"
869,869,No nitrogen?,869.0,"898,1,0,0,0,,,,899,1,0,0,0,,,,"
870,870,This is because the pressure is lowered.,870.0,"900,1,0,0,0,,,,"
871,871,"The higher you go, the thinner the air becomes",871.0,"901,1,0,0,0,,,,"
872,872,"If you go up high, the pressure goes up",872.0,"902,1,0,1,0,,,,"
873,873,This is because the air pressure increases due to the high altitude.,873.0,"903,1,0,0,0,,,,"
874,874,It's because the pressure decreases and the volume increases,874.0,"904,1,1,1,1,,,,"
875,875,The high mountain is so pressurized that the bag of cookies swells up,875.0,"905,1,0,1,0,,,,"
876,876,"The higher the pressure, the lower the pressure",876.0,"906,1,0,0,0,,,,"
877,877,This is because external pressure decreases as you climb the mountain.,877.0,"907,0,0,1,0,,,,"
878,878,because of the pressure,878.0,"908,1,0,0,0,,,,"
879,879,This is because the pressure on the bag of snacks decreases.,879.0,"909,1,1,1,0,,,,"
880,880,"Because the higher you go, the greater the air pressure",880.0,"910,0,0,0,0,,,,"
881,881,barometric pressure gate,881.0,"911,1,1,1,0,,,,"
882,882,High altitude expansion,882.0,"912,0,0,0,0,,,,"
883,883,Because of the pressure,883.0,"913,1,0,0,0,,,,"
884,884,"This is because the pressure in the bag decreases as you go up higher, and the pressure in the bag increases relatively.",884.0,"914,1,0,1,0,,,,"
885,885,It's because the pressure goes up,885.0,"915,0,1,1,0,,,,"
886,886,It is because of the pressure difference.,886.0,"916,1,0,0,0,,,,"
887,887,"As the pressure increases and the temperature decreases, the volume of the gas increases, and the bag becomes swollen.",887.0,"917,1,0,1,0,,,,"
888,888,It's because the pressure rises at a high place,888.0,"918,0,1,1,0,,,,"
889,889,"The lower the pressure, the greater the volume of the gas, so the bag of confectionery swells up in the high mountains",889.0,"919,0,1,0,0,,,,"
890,890,Gas volume increases due to lower air pressureThis is because the air pressure increased and the volume increased.,890.0,"920,0,1,1,0,,,,"
891,891,"It's because there's less air, less pressure",891.0,"921,1,0,0,0,,,,"
892,892,This is because air pressure is lowered.,892.0,"922,0,0,0,1,,,,"
893,893,"When you climb a high mountain, the air pressure decreases and swells up",893.0,"923,1,1,1,0,,,,"
894,894,"The higher the pressure, the higher the pressure, the higher the pressure",894.0,"924,1,1,1,0,,,,"
895,895,"When the pressure is lowered, the volume of the gas expands",895.0,"925,1,0,1,0,,,,"
896,896,The bag swells because the pressure of the higher acid is lower than the pressure in the bag.,896.0,"926,1,1,1,0,,,,"
897,897,"In the ideal gas equation, the pressure is inversely proportional to the volume, and the air pressure decreases as it goes higher, so the volume of the bag increases",897.0,"927,0,1,0,0,,,,"
898,898,There's a difference in air pressure,898.0,"928,1,0,1,0,,,,929,1,1,1,0,,,,"
899,899,at a low air pressure,899.0,"930,1,1,1,0,,,,"
900,900,because of the pressure,900.0,"931,0,1,0,0,,,,"
901,901,at a low air pressure,901.0,"932,1,1,1,0,,,,"
902,902,at a low air pressure,902.0,"933,1,1,1,0,,,,"
903,903,"High mountains have lower air pressure than flat lands and the pressure in sealed confection bags is constant, so the confection bags swell on high mountains.",903.0,"934,1,0,0,0,,,,"
904,904,at a low air pressure,904.0,"935,1,1,1,0,,,,"
905,905,"When the temperature is constant, the pressure of the gas and the volume of the gas are inversely proportional to each other (the law of view), so when you climb a high mountain, the amount of air decreases, the air pressure decreases, and the volume of the gas increases, and the bag swells.",905.0,"936,1,0,1,0,,,,"
906,906,"The higher the mountain, the higher the air pressure, and the bag of snacks swells.",906.0,"937,1,0,1,0,,,,"
907,907,Increase in barometric pressure,907.0,"938,1,1,0,0,,,,"
908,908,"In the mountains, standards overflow on lower ground",908.0,"939,1,0,1,0,,,,"
909,909,at a low air pressure,909.0,"940,1,0,1,0,,,,"
910,910,"The pressure increases as you go up, and the air expands gradually",910.0,"941,1,0,0,0,,,,"
911,911,Because of the strong gravity,911.0,"942,1,0,1,0,,,,"
912,912,"In high places, there's less air and strong pressure",912.0,"943,0,1,1,1,,,,"
913,913,in expansion,913.0,"944,1,0,0,0,,,,"
914,914,It's because the pressure is lowered.,914.0,"945,1,1,1,0,,,,"
915,915,"Air pressure is stronger on the top of the mountain than on the bottom of the mountain, so when you go to a high place, the bag becomes full because of the pressure.",915.0,"946,1,0,0,0,,,,"
916,916,"As you climb a high mountain, the air gradually disappears and swells up.",916.0,"947,0,0,0,0,,,,"
917,917,because of the pressure,917.0,"948,0,1,0,0,,,,"
918,918,"The higher the pressure, the higher the pressure",918.0,"949,0,1,0,0,,,,"
919,919,"As the air goes up, it's closer to the atmosphere",919.0,"950,0,0,1,0,,,,"
920,920,There's a lot of air,920.0,"951,1,0,1,0,,,,"
921,921,The air from the mountain goes into the bag of cookies and goes into the bag of cookies,921.0,"952,1,0,0,0,,,,"
922,922,The pressure is low and it swells up.,922.0,"953,0,0,0,0,,,,"
923,923,There's a big difference in temperature,923.0,"954,1,0,1,0,,,,"
924,924,The air pressure above the mountain is higher than that of the mountain are,924.0,"955,1,1,1,0,,,,"
925,925,"""In high places, the air pressure is high, so in the bag of snacks,",925.0,"956,1,0,0,0,,,,"
926,926,"The air expands.""",926.0,"957,1,0,1,0,,,,"
927,927,This is because the pressure on the bag of snacks is lower when climbing the mountain than near the ground.,927.0,"958,1,0,1,0,,,,959,1,0,1,0,,,,"
928,928,"""It's because the pressure of the air is stronger on top of the mountain than on the bottom",928.0,"960,1,1,1,0,,,,"
929,929,"""",929.0,"961,1,0,1,0,,,,"
930,930,The volume of the gas in the snack bag changes,930.0,"962,0,1,1,0,,,,"
931,931,It is because of altitude and atmospheric pressure.,931.0,"963,0,1,0,0,,,,"
932,932,"The atmospheric pressure above the mountain is lower than below the mountain, so if you go up to the mountain, the atmospheric pressure below the mountain and the nitrogen charge in the bag go up to the mountain, and the outside pressure decreases, so the bag that maintains the atmospheric pressure under the mountain swells",932.0,"964,1,0,1,0,,,,"
933,933,"The atmospheric pressure on the mountain is lower than that of the ground, so even if the envelope was smaller than the atmospheric pressure under the mountain, the nitrogen charge in the envelope, which was similar to the atmospheric pressure under the mountain, rises to the top, and the outside pressure slows down",933.0,"965,0,1,0,0,,,,"
934,934,Because of nitrogen,934.0,"966,0,0,0,0,,,,"
935,935,"The atmospheric pressure on the mountain is lower than that of the ground, so even if the envelope was smaller at the atmospheric pressure below the mountain goes up, the nitrogen filling in the envelope, which was similar to the atmospheric pressure below the mountain, rises to the top, increasing the outside pressure.",935.0,"967,0,1,0,1,,,,"
936,936,This is because air pressure is higher in high mountains than below mountains.,936.0,"968,0,0,0,1,,,,"
937,937,under the pressure of air,937.0,"969,0,0,0,0,,,,"
938,938,"Because as you go up higher and higher mountains, the air pressure becomes lower and the snack air swells up.",938.0,"970,1,1,1,0,,,,"
939,939,This is because snack bags have a high air pressure and high mountains have a gradually lower air pressure.,939.0,"971,0,0,1,1,,,,"
940,940,Because the air pressure below the mountain is different from the air pressure above the mountain,940.0,"972,0,0,0,0,,,,"
941,941,This is because the pressure of the air increases.,941.0,"973,0,0,0,0,,,,"
942,942,"Because the atmospheric pressure below the mountain is different from the atmospheric pressure of the high mountain,",942.0,"974,0,1,0,0,,,,"
943,943,"If you keep going up, the pressure will be stronger",943.0,"975,0,0,0,0,,,,"
944,944,barometric pressure,944.0,"976,1,1,0,0,,,,"
945,945,"If you go up to a high place, the air pressure will increase and the pressure inside the bag will also increase.",945.0,"977,1,0,0,0,,,,"
946,946,"The high place is cold and windy, so the air goes into the snack",946.0,"978,0,0,0,0,,,,"
947,947,Because of the high air pressure?,947.0,"979,1,1,1,0,,,,"
948,948,"""As we go up the mountain, the pressure gets stronger and the nitrogen inside swells up",948.0,"980,0,0,1,0,,,,"
949,949,Everything,949.0,"981,0,1,0,0,,,,"
950,950,because of the pressure,950.0,"982,1,0,1,0,,,,"
951,951,I don't know,951.0,"983,0,1,1,0,,,,"
952,952,It's less air than when it's underneath,952.0,"984,0,1,0,0,,,,"
953,953,The lack of air causes expansion.,953.0,"985,0,0,1,0,,,,"
954,954,The wind is stronger on the wind is stronger,954.0,"986,0,1,0,0,,,,"
955,955,The high pressure is high for me to bag of snack crackers swollen.,955.0,"987,0,0,1,0,,,,"
956,956,A mutation happens in the air pressure.,956.0,"988,1,1,1,0,,,,989,0,1,1,0,,,,"
957,957,Is appreciated.,957.0,"990,0,1,0,0,,,,"
958,958,The barometer is lower than under the highest mountain.,958.0,"991,1,1,1,0,,,,"
959,959,"Atmospheric pressure at a level surface and Atmospheric pressure at high pressure differences, "" There's a difference.",959.0,"992,0,1,0,0,,,,"
960,960,"Tap their bag of snack crackers, weaken the pressure to be up to high forces are usually weak.",960.0,"993,0,1,1,0,,,,"
961,961,"Air inside the bag of snack crackers rraseo, they come to bupulleo",961.0,"994,1,0,0,0,,,,"
962,962,Air pressure is stronger than under the mountains sanwi. That's why the pressure is a bag of snack crackers like our fingers pushing hard.,962.0,"995,0,0,1,0,,,,"
963,963,"Why expand as you go to the high pressure is weak, who was press a bag of snack crackers goes out in force would become more powerful.",963.0,"996,1,0,0,0,,,,"
964,964,"Air pressure is more than the bottom of the mountain, sanwi gangnae their bag of snack crackers and splits open the right thing.",964.0,"997,1,0,0,1,,,,"
965,965,High atmospheric pressure becomes low.,965.0,"998,1,0,0,0,,,,"
966,966,기압의 차이 평지에서의 기압과 높은 곳에서의 기압은 차이가 있는데 높은 곳으로 올라갈수록 기아이 약해지면서 봉지를 누르는 힘이 약해져 과자 봉지 안에 있는 공기들이 부플어올라서 높은 산에서는 과자봉지가 부풀어 오르는 것 이다.,966.0,"999,1,0,0,0,,,,"
967,967,높은 산과 우리가 사는 곳의 기압이 다르기 떄문에 과자 봉지를 높은 산으로 가지고 올라가게 돼면 우리가 사는 곳의 기압보다 높아지기 떄문에 과자 봉지를 가지고 올라가면 과자봉지가 부풀어 오른다.,967.0,"1000,0,0,1,0,,,,"
968,968,Sanwi in and air enough say yes or no.,968.0,"1001,1,0,0,0,,,,"
969,969,Seems to be more swollen right fresh air inside the bag of snack crackers.,969.0,"1002,1,1,1,0,,,,"
970,970,"Because the air pressure of the high mountain and where we live is different, if we bring the bag of snacks to the high mountain, it will be higher than the air pressure of where we live, so if we bring the bag of snacks, the bag of snacks will swell.",970.0,"1003,1,0,0,0,,,,"
971,971,There's a lot of air in the bag,971.0,"1004,1,1,0,0,,,,"
972,972,I don't know.,972.0,"1005,1,0,1,0,,,,"
973,973,Because the air is cold?,973.0,"1006,1,1,0,0,,,,"
974,974,The temperature suddenly changed,974.0,"1007,1,0,0,0,,,,"
975,975,have a lot,975.0,"1008,1,1,0,0,,,,"
976,976,"Because there is not much air on the mountain, the bag of snacks will be lit up because of its strong rock power",976.0,"1009,1,1,0,0,,,,"
977,977,This is because there is a difference between the temperature above the mountain and the temperature below the mountain.,977.0,"1010,0,0,0,0,,,,"
978,978,I don't know,978.0,"1011,1,0,0,0,,,,"
979,979,Don't know,979.0,"1012,1,0,0,0,,,,"
980,980,Because the air disappears,980.0,"1013,1,0,1,0,,,,"
981,981,I don't know,981.0,"1014,1,0,1,0,,,,"
982,982,Because the pressure in the bag is higher than the pressure in the air,982.0,"1015,1,0,0,0,,,,"
983,983,because of the pressure,983.0,"1016,0,1,0,0,,,,"
984,984,I don't know,984.0,"1017,0,1,0,0,,,,"
985,985,"There is not much air in the high mountains, so the pressure is high. That's why it swells up",985.0,"1018,0,1,0,0,,,,1019,1,0,0,0,,,,"
986,986,Gravity disappears due to rising water,986.0,"1020,1,0,0,0,,,,"
987,987,There's no air,987.0,"1021,1,1,0,0,,,,"
988,988,"The higher the pressure, the stronger the pressure",988.0,"1022,1,0,0,0,,,,"
989,989,Because there's a lot of air up thereBecause the air is getting less and less,989.0,"1023,0,0,0,0,,,,"
990,990,There's a lot of moisture in the mountains,990.0,"1024,1,0,0,0,,,,"
991,991,Because there's less and less air,991.0,"1025,1,0,0,0,,,,"
992,992,The wind is probably blowing on the high mountains,992.0,"1026,1,0,0,0,,,,"
993,993,"The higher you are, the higher the air pressure is",993.0,"1027,1,0,0,0,,,,"
994,994,"There is not much air in the mountain, and the bag of cookies has air, so it swelled up.",994.0,"1028,1,0,0,0,,,,"
995,995,This is because there is not much air.,995.0,"1029,1,0,0,0,,,,"
996,996,High mountains expand because the air is thin and the pressure is high,996.0,"1030,1,0,0,0,,,,"
997,997,It's because the gas in the bag of snacks got out,997.0,"1031,1,0,0,0,,,,"
998,998,"Inside the bag of snacks, there are gases such as air and nitrogen that prevent snacks from breaking, and as they go up higher and higher, oxygen becomes thinner and the bag expands little by little.",998.0,"1032,1,0,0,0,,,,"
999,999,at a low air pressure,999.0,"1033,1,0,0,0,,,,"
1000,1000,"This is because as the height increases, the volume expands.",1000.0,"1034,1,0,0,0,,,,"
1001,1001,There's a difference in air pressure,1001.0,"1035,0,1,1,0,,,,"
1002,1002,"When the temperature goes down, the pressure goes up",1002.0,"1036,1,1,0,0,,,,"
1003,1003,"This is because when the pressure decreases with the formula pv=crt, the volume increases.",1003.0,"1037,1,0,0,0,,,,"
1004,1004,a barometric difference,1004.0,"1038,1,0,1,0,,,,"
1005,1005,It's so high,1005.0,"1039,1,0,0,0,,,,"
1006,1006,This is because the atmospheric pressure has risen and the atoms in the bag have become active.,1006.0,"1040,1,0,1,1,,,,"
1007,1007,"At high altitudes, the air pressure decreases and the gas in the bag expands.",1007.0,"1041,0,1,1,0,,,,"
1008,1008,This is because the pressure decreases because the air pressure decreases,1008.0,"1042,1,0,0,0,,,,"
1009,1009,Gas volume increases due to lower pressure,1009.0,"1043,1,0,0,0,,,,"
1010,1010,"High places have lower air pressure, which causes the bag to swell.",1010.0,"1044,1,0,1,0,,,,"
1011,1011,It is because of the air pressure difference.,1011.0,"1045,1,0,0,0,,,,"
1012,1012,It's because of the difference in air pressure difference,1012.0,"1046,1,0,0,0,,,,"
1013,1013,This is because the air pressure has decreased and the volume of air has increased. Pv=nRT,1013.0,"1047,1,1,1,0,,,,"
1014,1014,"The air pressure is low, and the air pressure is greater than the pressure",1014.0,"1048,1,0,0,0,,,,1049,1,0,0,0,,,,"
1015,1015,It doesn't swell.,1015.0,"1050,1,0,0,0,,,,"
1016,1016,It is caused by air pressure differences,1016.0,"1051,1,0,0,0,,,,"
1017,1017,Because the pressure is reduced,1017.0,"1052,1,0,0,0,,,,"
1018,1018,"I think it's because the air pressure increases as you go up higher, so the bag of snacks is trying to push out.",1018.0,"1053,1,0,0,0,,,,"
1019,1019,"The higher you go, the lower the pressure",1019.0,"1054,1,0,0,0,,,,"
1020,1020,a barometric difference,1020.0,"1055,1,0,0,0,,,,"
1021,1021,Because there's less oxygen,1021.0,"1056,1,0,1,0,,,,"
1022,1022,Because there's less oxygen,1022.0,"1057,1,0,1,0,,,,"
1023,1023,Because you're running out of oxygen,1023.0,"1058,1,1,0,0,,,,"
1024,1024,It's because the air pressure went down,1024.0,"1059,1,0,0,0,,,,"
1025,1025,Because the air pressure decreases,1025.0,"1060,1,0,0,0,,,,"
1026,1026,"Because of the air pressure difference,",1026.0,"1061,1,0,0,0,,,,"
1027,1027,Because of the high atmospheric pressure,1027.0,"1062,1,0,0,0,,,,"
1028,1028,I don't know.,1028.0,"1063,0,0,0,0,,,,"
1029,1029,It's because the air pressure increases,1029.0,"1064,1,0,0,0,,,,"
1030,1030,The air pressure got smaller,1030.0,"1065,0,0,0,0,,,,"
1031,1031,"Because of the difference in air pressure,",1031.0,"1066,0,0,0,0,,,,"
1032,1032,The air pressure changed,1032.0,"1067,1,1,0,0,,,,"
1033,1033,This is because the air pressure is lowered.,1033.0,"1068,1,0,0,0,,,,"
1034,1034,This is because the air pressure is lowered.,1034.0,"1069,1,0,0,0,,,,"
1035,1035,Air pressure is reduced,1035.0,"1070,0,1,0,0,,,,"
1036,1036,The air pressure has decreased and has increased in volume,1036.0,"1071,1,0,1,1,,,,"
1037,1037,It's because the air pressure is lowered,1037.0,"1072,0,0,0,0,,,,"
1038,1038,It's because of the atmospheric pressure.,1038.0,"1073,1,0,1,1,,,,"
1039,1039,Because the air pressure is lowered,1039.0,"1074,1,0,0,0,,,,"
1040,1040,It swells up because oxygen decreases and nitrogen disappears as it rises,1040.0,"1075,1,0,1,0,,,,"
1041,1041,The low atmospheric pressure is causing the gas in the bag to go out,1041.0,"1076,1,0,1,0,,,,"
1042,1042,This is because the pressure is lowered.,1042.0,"1077,1,0,0,0,,,,"
1043,1043,The bag of snacks swelled because the air pressure in the bag was higher than the air pressure on the high mountain.,1043.0,"1078,1,1,0,0,,,,1079,1,1,1,0,,,,"
1044,1044,This is because the air pressure has dropped.,1044.0,"1080,1,0,0,0,,,,"
1045,1045,"When it goes up, the temperature shakes and the external air pressure decreases, so the air pressure in the bag increases relatively and swells.",1045.0,"1081,0,0,0,0,,,,"
1046,1046,"If it's high, there's a lot of air",1046.0,"1082,0,0,0,0,,,,"
1047,1047,at a low air pressure,1047.0,"1083,0,1,0,0,,,,"
1048,1048,The air pressure's going down,1048.0,"1084,1,0,0,0,,,,"
1049,1049,Because the pressure is different on a high mountain,1049.0,"1085,1,0,1,0,,,,"
1050,1050,It's because of the pressure,1050.0,"1086,1,0,0,0,,,,"
1051,1051,Because of the pressure,1051.0,"1087,1,0,0,0,,,,"
1052,1052,"As the altitude increases, the pressure increases, the air expands, and the bag of snacks gets bigger",1052.0,"1088,1,0,0,0,,,,"
1053,1053,under pressure,1053.0,"1089,1,0,0,0,,,,"
1054,1054,Because of the atmospheric pressure,1054.0,"1090,1,0,0,0,,,,"
1055,1055,The pressure got low,1055.0,"1091,1,1,0,0,,,,"
1056,1056,There's a big difference in air pressure,1056.0,"1092,1,0,0,0,,,,"
1057,1057,The pressure is low,1057.0,"1093,1,0,0,0,,,,"
1058,1058,It's because the air pressure is high,1058.0,"1094,1,0,0,0,,,,"
1059,1059,It's because the pressure has increased,1059.0,"1095,1,0,1,0,,,,"
1060,1060,This is because the air pressure is different.,1060.0,"1096,1,0,0,0,,,,"
1061,1061,"When you go up to a high place, the air pressure decreases, and the pressure pushing out from inside the bag of snacks increases and swells up.",1061.0,"1097,1,0,1,0,,,,"
1062,1062,This is because air pressure is lower than flat land in high mountains.,1062.0,"1098,1,0,0,0,,,,"
1063,1063,This is because the pressure of the air increases,1063.0,"1099,1,0,0,0,,,,"
1064,1064,Because the bag swells under pressure,1064.0,"1100,1,1,1,0,,,,"
1065,1065,Because of the pressure,1065.0,"1101,1,0,0,0,,,,"
1066,1066,It's under pressure,1066.0,"1102,1,1,0,0,,,,"
1067,1067,Because of the pressure,1067.0,"1103,1,0,0,0,,,,"
1068,1068,I don't know.,1068.0,"1104,1,0,0,0,,,,"
1069,1069,This is because air pressure decreases and external pressure decreases,1069.0,"1105,1,0,1,0,,,,"
1070,1070,I don't know.,1070.0,"1106,1,0,0,0,,,,"
1071,1071,I don't know.,1071.0,"1107,1,1,1,0,,,,"
1072,1072,This is because the air in the bag expands as the pressure decreases,1072.0,"1108,1,0,0,0,,,,1109,1,0,0,0,,,,"
1073,1073,be under increased pressure,1073.0,"1110,1,0,1,0,,,,"
1074,1074,"As the air pressure decreases, the volume increases and the bag expands.",1074.0,"1111,1,0,0,0,,,,"
1075,1075,It is because there is less air.,1075.0,"1112,1,0,0,0,,,,"
1076,1076,"When you go up to a high place, the pressure decreases and the temperature decreases, so the bag of cookies swells",1076.0,"1113,1,0,0,0,,,,"
1077,1077,"Oh... I knew, but I forgot",1077.0,"1114,1,0,1,0,,,,"
1078,1078,"The higher the temperature, the lower the air pressure, the more the material expands",1078.0,"1115,1,1,0,0,,,,"
1079,1079,Because of the high atmospheric pressure,1079.0,"1116,1,0,1,0,,,,"
1080,1080,"This is because the higher the mountain, the lower the air pressure",1080.0,"1117,0,1,0,0,,,,"
1081,1081,"This is because as the altitude increases, the air pressure decreases, and when the air pressure in the bag and the air pressure in the bag go up to the mountain, the air pressure in the bag becomes higher than the air pressure outside, so the gas in the bag expands.",1081.0,"1118,1,0,0,0,,,,"
1082,1082,I think it's because of the air pressure difference,1082.0,"1119,0,0,0,0,,,,"
1083,1083,The bag of confectionery swells up because the air pressure decreases and the volume of the gas increases.,1083.0,"1120,1,1,0,0,,,,"
1084,1084,"When climbing a high mountain, the air pressure is relatively lower than near the surface. When the air pressure is lowered, the volume of gas in the bag increases because the volume occupied by the same amount of gas increases.",1084.0,"1121,0,0,0,0,,,,"
1085,1085,Because the air pressure is low,1085.0,"1122,0,1,0,0,,,,"
1086,1086,It's getting bigger,1086.0,"1123,1,0,0,0,,,,"
1087,1087,It's a high place,1087.0,"1124,1,0,0,0,,,,"
1088,1088,The air expandsThe pressure goes up and the push in the snack bag gets bigger,1088.0,"1125,1,1,0,0,,,,"
1089,1089,"The higher the altitude, the weaker the ambient pressure, which causes the bag to swell relatively.",1089.0,"1126,0,0,1,0,,,,"
1090,1090,The pressure is rising,1090.0,"1127,0,0,0,0,,,,"
1091,1091,There's a lot of pressure,1091.0,"1128,0,1,0,0,,,,"
1092,1092,There's a lot of pressure,1092.0,"1129,0,0,1,0,,,,"
1093,1093,Because of the high pressure,1093.0,"1130,1,0,1,0,,,,"
1094,1094,This is because the air pressure has changed.,1094.0,"1131,1,0,0,0,,,,"
1095,1095,"Because of the air pressure,",1095.0,"1132,1,0,0,0,,,,"
1096,1096,The pressure is low,1096.0,"1133,0,1,1,0,,,,"
1097,1097,There's a difference in air pressure,1097.0,"1134,1,1,1,0,,,,"
1098,1098,"The atmospheric pressure is reduced, and the force of pushing from inside to outside remains the same",1098.0,"1135,0,1,0,0,,,,"
1099,1099,"If you go up high, the pressure goes up",1099.0,"1136,1,0,0,0,,,,"
1100,1100,Because of the high pressure,1100.0,"1137,1,0,0,0,,,,"
1101,1101,"The higher the mountain, the higher the air pressure, and the bag of snacks swells up on the high mountain",1101.0,"1138,1,0,0,0,,,,1139,0,0,0,0,,,,"
1102,1102,Because of the high atmospheric pressure,1102.0,"1140,1,0,0,0,,,,"
1103,1103,"The pressure outside the snack bag decreases, and the volume of the snack bag expands.",1103.0,"1141,1,0,0,0,,,,"
1104,1104,"The higher the altitude of the mountain, the thinner the air, and the lower the pressure. Therefore, the pressure from the outside decreases, causing the bag to swell.",1104.0,"1142,0,1,0,0,,,,"
1105,1105,Barometric pressure reduction,1105.0,"1143,1,0,0,0,,,,"
1106,1106,"The pressure decreases, increasing the volume of the gas in the bag of confectionery.",1106.0,"1144,1,0,0,0,,,,"
1107,1107,"Lower atmospheric pressure, resulting in a difference between internal and external pressure",1107.0,"1145,1,0,1,0,,,,"
1108,1108,"The surrounding air pressure is lowered, so the bag of snacks swells.",1108.0,"1146,0,0,1,0,,,,"
1109,1109,Pressure decreases and volume decreases when altitude increases,1109.0,"1147,1,0,0,0,,,,"
1110,1110,"As the pressure decreases, the volume increases.",1110.0,"1148,1,0,1,0,,,,"
1111,1111,"The air pressure at a high place increases the gas volume due to the small size, and the volume of the snack bag increases.",1111.0,"1149,1,0,0,0,,,,"
