,Unnamed: 0,"1) Why did the metal ladle, which used to be cold before putting it in hot water, get hot after putting it in water?",Unnamed: 0,", q39_column movement, q39_material, q39_column movement1, q39_material.1"
1120,1120,"The amount of heat required to increase the temperature of 1 g of a substance by 1°C is specific heat, because the specific heat of the ladle is relatively lower than that of water.",1120.0,"1158,1,0,,"
1121,1121,be due to the high thermal conductivity,1121.0,"1159,0,0,,"
1122,1122,Metal has a higher thermal conductivity than wood,1122.0,"1160,0,0,,"
1123,1123,It's because the heat is transferred.,1123.0,"1161,1,1,,"
1124,1124,It's good for me,1124.0,"1162,1,0,,"
1125,1125,"Since the heat is transferred,",1125.0,"1163,0,1,,"
1126,1126,This is because the heat of the hot water moved to a metal ladle.,1126.0,"1164,0,0,,"
1127,1127,This is because the temperature of the water and the ladle becomes similar after putting it in water.,1127.0,"1165,1,0,,"
1128,1128,This is because the heat of the water was transferred to a ladle.,1128.0,"1166,1,1,,"
1129,1129,It's heated up,1129.0,"1167,1,0,,"
1130,1130,It's because it's made of metal that transfers heat well,1130.0,"1168,1,1,,1169,1,1,,"
1131,1131,Because of the heat transfer,1131.0,"1170,1,1,,"
1132,1132,This is because the heat conductivity is different.,1132.0,"1171,0,1,,"
1133,1133,It is because the heat is well conducted.,1133.0,"1172,1,1,,"
1134,1134,Because the temperature has shifted.,1134.0,"1173,1,0,,"
1135,1135,Metals conduct heat easily,1135.0,"1174,1,1,,"
1136,1136,Because hot water heats up the metal ladle,1136.0,"1175,0,1,,"
1137,1137,The heat of the hot water moves to a metal ladle,1137.0,"1176,1,1,,"
1138,1138,This is because it is moved by heat.,1138.0,"1177,1,0,,"
1139,1139,Thermal conduction,1139.0,"1178,1,1,,"
1140,1140,heat conduction,1140.0,"1179,1,1,,"
1141,1141,Unknowingness,1141.0,"1180,1,1,,"
1142,1142,I put it in hot water,1142.0,"1181,1,1,,"
1143,1143,Because heat is transferred to the metal ladle,1143.0,"1182,1,1,,"
1144,1144,There's friction,1144.0,"1183,0,0,,"
1145,1145,heat conduction is fast,1145.0,"1184,0,0,,"
1146,1146,This is because iron conducts heat quickly.,1146.0,"1185,1,1,,"
1147,1147,Because of the heat,1147.0,"1186,0,0,,"
1148,1148,a phenomenon of conduction,1148.0,"1187,1,0,,"
1149,1149,made of metal. It's made of metal,1149.0,"1188,1,0,,"
1150,1150,"Because of the high thermal conductivity, the heat of boiling water was transferred to the ladle.",1150.0,"1189,1,1,,"
1151,1151,I don't know,1151.0,"1190,1,0,,"
1152,1152,"Since the ladle is made of metal, hot heat from hot water is also transferred to metal.",1152.0,"1191,1,0,,"
1153,1153,Heat is transferred,1153.0,"1192,1,0,,"
1154,1154,It's getting cold,1154.0,"1193,1,1,,"
1155,1155,"Heat conductivity is high, so it heats up quickly",1155.0,"1194,1,1,,"
1156,1156,This is because metals have less specific heat.,1156.0,"1195,1,0,,"
1157,1157,This is because metals have less specific heat.,1157.0,"1196,1,1,,"
1158,1158,I don't understand.,1158.0,"1197,0,1,,"
1159,1159,It is because of the heat conduction.,1159.0,"1198,1,1,,1199,1,0,,"
1160,1160,Heat transferred from the temperature in the hot water would have made the ladle hot.,1160.0,"1200,0,1,,"
1161,1161,This is because the specific heat is low.,1161.0,"1201,0,1,,"
1162,1162,"It's like when I go into the hot water, I get hot",1162.0,"1202,1,1,,"
1163,1163,"Metal is selfish (that's why it's hot), whereas trees are too broad-minded (that's why it's hot).",1163.0,"1203,1,1,,"
1164,1164,under heat from hot water,1164.0,"1204,1,1,,"
1165,1165,It's metal,1165.0,"1205,1,1,,"
1166,1166,The water is hot,1166.0,"1206,1,1,,"
1167,1167,Metal ladles move heat,1167.0,"1207,1,0,,"
1168,1168,Heat is transferred to the metal ladle in hot water,1168.0,"1208,1,0,,"
1169,1169,by conducting heat,1169.0,"1209,1,1,,"
1170,1170,Heat is transferred to the metal ladle in hot water,1170.0,"1210,1,1,,"
1171,1171,Metal has heat moves have properties.,1171.0,"1211,1,0,,"
1172,1172,Will respond and is briskly in the heat in the metal column.,1172.0,"1212,1,0,,"
1173,1173,""" so it's hot water temperature.",1173.0,"1213,1,1,,"
1174,1174,"Metal is not respond on the temperature """,1174.0,"1214,1,0,,"
1175,1175,뜨거운 물에 넣기전 차갑던 금속 국자는 열전달이 잘되기 때문에 뜨거운 물에 넣은후에 금속국자가 뜨거워 지는것이다,1175.0,"1215,0,0,,"
1176,1176,Heat is conducted,1176.0,"1216,0,0,,"
1177,1177,"I be a metal spoon, transfer fever.",1177.0,"1217,1,1,,"
1178,1178,금속이라서,1178.0,"1218,1,0,,"
1179,1179,It had been exploring heat transfer in hot water.,1179.0,"1219,1,0,,"
1180,1180,Heat.,1180.0,"1220,1,0,,"
1181,1181,Specific heat of the metal is because temperatures will rise as soon as compared to a tree.,1181.0,"1221,1,0,,"
1182,1182,The metal thermal conductivity is high.,1182.0,"1222,1,1,,"
1183,1183,Metal is his highly in the heat.,1183.0,"1223,0,0,,"
1184,1184,Metal spoon to convey is very well.,1184.0,"1224,0,0,,"
1185,1185,Ladle and passed to the metal heat in hot water.,1185.0,"1225,1,1,,"
1186,1186,"Hot water,",1186.0,"1226,1,1,,"
1187,1187,The water is hotMetals carry heat,1187.0,"1227,1,1,,"
1188,1188,Because I put a ladle in the hot water,1188.0,"1228,1,0,,1229,1,0,,"
1189,1189,The metal was heated to heat.,1189.0,"1230,1,1,,"
1190,1190,Heat is conducted,1190.0,"1231,1,1,,"
1191,1191,Because metals have a movement of heat.,1191.0,"1232,1,0,,"
1192,1192,with heat conduction,1192.0,"1233,0,0,,"
1193,1193,with heat conduction,1193.0,"1234,1,1,,"
1194,1194,"Heat conduction is easier in hot water, so it turns hot",1194.0,"1235,1,0,,"
1195,1195,"Metal has heat moves have properties. So if you put a metal ladle in hot water, it's hot.",1195.0,"1236,1,0,,"
1196,1196,"Because heat was transferred to the metal ladle by conduction to maintain thermal equilibrium,",1196.0,"1237,1,0,,"
1197,1197,Heat conduction to.,1197.0,"1238,1,0,,"
1198,1198,The temperature of the hot water is transferred to the metal ladle to heat it up,1198.0,"1239,0,0,,"
1199,1199,"Metal objects have higher thermal conductivity than other objects, so they get hotter when you put a metal ladle in hot water",1199.0,"1240,1,0,,"
1200,1200,"When a substance enters hot water, heat moves toward that substance, so the metal ladle, which is a substance, has become hot.",1200.0,"1241,1,1,,"
1201,1201,It's good for heat transfer,1201.0,"1242,0,0,,"
1202,1202,The metal ladle is hot because it is hot by putting it in very hot water.,1202.0,"1243,0,0,,"
1203,1203,This is because the cold metal ladle lost energy to the hot water.,1203.0,"1244,1,0,,"
1204,1204,"Because metals such as copper, iron, and silver transfer heat well like conduction",1204.0,"1245,1,0,,"
1205,1205,This is because the metal ladle reacts to heat and the movement of heat is more actively transferred.,1205.0,"1246,1,0,,"
1206,1206,"""1.The cold metal is contained in hot water,",1206.0,"1247,1,0,,"
1207,1207,"2. Because I went into the hot water and got heated up""",1207.0,"1248,1,1,,"
1208,1208,"Metal is a fast heat transfer, so the cold metal ladle can quickly become cold and hot.",1208.0,"1249,1,0,,"
1209,1209,"Iron and metal are easier and faster than other types of ladles, so when you put them in a cold place, they are hot when they are put in a cold place",1209.0,"1250,1,0,,"
1210,1210,Molecules move in the heat,1210.0,"1251,1,1,,"
1211,1211,It's transferred by heat,1211.0,"1252,1,1,,"
1212,1212,This is because the heat of hot water was conducted to the metal ladle.,1212.0,"1253,1,1,,"
1213,1213,It's because it's faster than the Metalson tree,1213.0,"1254,0,0,,"
1214,1214,It's good for heat transfer,1214.0,"1255,0,0,,"
1215,1215,by conducting heat,1215.0,"1256,1,0,,"
1216,1216,Because heat is conducted with metal,1216.0,"1257,1,0,,"
1217,1217,It is because the heat is transferred.,1217.0,"1258,0,0,,1259,0,1,,"
1218,1218,The water is hot,1218.0,"1260,1,0,,"
1219,1219,어Uhhhhhhhhhhhhhhhh,1219.0,"1261,1,0,,"
1220,1220,Metal is because heat transfer is fast,1220.0,"1262,0,0,,"
1221,1221,Conduction,1221.0,"1263,1,0,,"
1222,1222,Wood has little heat conductivity,1222.0,"1264,1,0,,"
1223,1223,It's because there's a phenomenon of conduction,1223.0,"1265,0,0,,"
1224,1224,the movement of heat,1224.0,"1266,1,0,,"
1225,1225,Metal is heat transferred because heat is transferred well.,1225.0,"1267,1,1,,"
1226,1226,I don't know,1226.0,"1268,0,0,,"
1227,1227,I don't know,1227.0,"1269,0,1,,"
1228,1228,Metal has the properties of heat transfer,1228.0,"1270,1,1,,"
1229,1229,It is because metal is heat-transmitting.,1229.0,"1271,1,1,,"
1230,1230,Because heat was transferred to the metal ladle,1230.0,"1272,1,1,,"
1231,1231,It's because heat transfer is active,1231.0,"1273,0,0,,"
1232,1232,Thermal conductivity,1232.0,"1274,0,1,,"
1233,1233,Because metals have higher thermal conductivity,1233.0,"1275,1,1,,"
1234,1234,This is because the heat energy of hot water is conducted with a metal ladle.,1234.0,"1276,0,0,,"
1235,1235,It has high thermal conductivity,1235.0,"1277,1,1,,"
1236,1236,"It's hot because you put it in hot water, silly",1236.0,"1278,1,0,,"
1237,1237,This is because the metal ladle has high thermal conductivity.,1237.0,"1279,1,1,,"
1238,1238,Heat is transferred and heated.,1238.0,"1280,1,0,,"
1239,1239,Heat is conducted,1239.0,"1281,1,0,,"
1240,1240,Because the heat in the water moved to the ladle.,1240.0,"1282,0,0,,"
1241,1241,It may be because the hot heat in the water moved to the ladle.,1241.0,"1283,0,1,,"
1242,1242,The heat temperature has increased,1242.0,"1284,1,0,,"
1243,1243,The heat is too much to use as a ladle.,1243.0,"1285,0,0,,"
1244,1244,Because the heat went to the metal ladle in the hot water,1244.0,"1286,0,0,,"
1245,1245,It's because it's hot in water,1245.0,"1287,0,0,,"
1246,1246,It's too big,1246.0,"1288,0,0,,1289,0,0,,"
1247,1247,Because the temperature has shifted.,1247.0,"1290,1,0,,"
1248,1248,Because of the heat transfer,1248.0,"1291,1,0,,"
1249,1249,I think the ladle got hot because the hot air moved to a cold place.,1249.0,"1292,1,0,,"
1250,1250,"Heat moved from hot to cold, because heat moved from hot water to cold ladle.",1250.0,"1293,0,0,,"
1251,1251,"Since the heat in the soup is transferred to a ladle, which is the metal part,",1251.0,"1294,1,0,,"
1252,1252,The hot water temperature is moved with a ladle,1252.0,"1295,0,0,,"
1253,1253,The heat is shifting,1253.0,"1296,1,0,,"
1254,1254,This is because heat moves from soup to metal ladle.,1254.0,"1297,1,0,,"
1255,1255,"When heat is transferred to a metal ladle that used to be cold in hot water,",1255.0,"1298,1,1,,"
1256,1256,"This is because the heat has been transferred. Because heat transfer goes from hot to cold, the cold metal ladle is hot because heat moves before putting it in hot water.",1256.0,"1299,1,1,,"
1257,1257,Put a cold ladle in hot water,1257.0,"1300,1,1,,"
1258,1258,This is because the ladle is heated in hot water.,1258.0,"1301,1,0,,"
1259,1259,"Because the heat moved to the ladle,",1259.0,"1302,1,0,,"
1260,1260,The heat transferred to the ladle,1260.0,"1303,1,0,,"
1261,1261,Unknowingness,1261.0,"1304,1,0,,"
1262,1262,"The cold metal ladle is cold, so it is transferred to the temperature in hot water.",1262.0,"1305,1,1,,"
1263,1263,The hot heat in the water moves to the ladle.,1263.0,"1306,1,0,,"
1264,1264,Because the heat moved from hot water to cold ladle,1264.0,"1307,1,0,,"
1265,1265,Unknowingness,1265.0,"1308,1,0,,"
1266,1266,Because of the heat transfer,1266.0,"1309,1,0,,"
1267,1267,Because of the temperature,1267.0,"1310,1,1,,"
1268,1268,I don't know,1268.0,"1311,1,0,,"
1269,1269,"Since the heat has been transferred,",1269.0,"1312,1,0,,"
1270,1270,Metal transfers heat,1270.0,"1313,0,0,,"
1271,1271,I don't know,1271.0,"1314,1,0,,"
1272,1272,Because it's metal.,1272.0,"1315,0,0,,"
1273,1273,Metal can move heat well,1273.0,"1316,1,0,,"
1274,1274,Iron transfers temperature quickly,1274.0,"1317,1,0,,"
1275,1275,This is because metals absorb more heat than other materials.,1275.0,"1318,1,0,,1319,1,1,,"
1276,1276,Hot water. The temperature comes to the cold ladle...,1276.0,"1320,0,0,,"
1277,1277,The ladle is metal,1277.0,"1321,1,0,,"
1278,1278,The metal ladle seems to have absorbed heat and heated up.,1278.0,"1322,1,0,,"
1279,1279,Put it in hot water,1279.0,"1323,1,1,,"
1280,1280,This is because the heat was fine on the metal ladle as the water boiled.,1280.0,"1324,1,0,,"
1281,1281,It is because the hot heat gradually rises to the metal,1281.0,"1325,1,0,,"
1282,1282,Metal moves quickly by heat,1282.0,"1326,0,1,,"
1283,1283,Because of the heat,1283.0,"1327,1,1,,"
1284,1284,It doesn't release heat,1284.0,"1328,1,0,,"
1285,1285,The water is hot,1285.0,"1329,1,0,,"
1286,1286,"If you put it in hot water, the temperature rises, but if you put a metal ladle in hot water, it gets hot quickly.on the other hand",1286.0,"1330,1,0,,"
1287,1287,Because it's hot,1287.0,"1331,,,,"
1288,1288,X,1288.0,"1332,,,,"
1289,1289,Put it in hot water,1289.0,"1333,72.5%,44.2%,,"
1290,1290,I can't recall.,,
1291,1291,It's hot,,
1292,1292,with heat,,
1293,1293,The heat was transferred to the handle,,
1294,1294,This is because the thermal conductivity is high.,,
1295,1295,due to the convection of water,,
1296,1296,Thermal conduction,,
1297,1297,The water is hot,,
1298,1298,Heat is transferred,,
1299,1299,The ladle absorbed the heat of the hot water,,
1300,1300,This is because the thermal conductivity of the metal is high,,
1301,1301,This is because metal is more heat-transferable than wood.,,
1302,1302,This is because metal is more heat transferable than wood,,
1303,1303,Because the heat is transferred with a ladle,,
1304,1304,This is because a metal ladle has higher thermal conductivity than a wooden ladle.,,
1305,1305,This is because the heat conduction is large.,,
1306,1306,It's because the heat was transferred,,
1307,1307,"Because the water receives heat energy and the heat energy convections in the water, and the energy is transferred to the metal ladle",,
1308,1308,This is because the heat has moved from hot to cold.,,
1309,1309,Because of the heat conduction,,
1310,1310,a hot area where heat is transferred,,
1311,1311,with heat conduction,,
1312,1312,Metal is because of its fast heat conduction.,,
1313,1313,Conduction,,
1314,1314,Molecules vibrate and heat conduction,,
1315,1315,3444,,
1316,1316,Because of the heat transfer,,
1317,1317,Because I put it in hot water.,,
1318,1318,Molecules vibrate and heat conduction,,
1319,1319,It's because the heat was transferred,,
1320,1320,"Because of the heat conduction,",,
1321,1321,Because the heat from the hot water moved to the metal that was cold.,,
1322,1322,It's really hard,,
1323,1323,Prospects quickly arose.,,
1324,1324,This is because the future happened quickly.,,
1325,1325,Because the heat of the water was conducted through metal,,
1326,1326,the conduction of heat,,
1327,1327,It's because of the heat conduction,,
1328,1328,Metal is strong,,
1329,1329,Metal has a high heat transfer,,
1330,1330,"Because of the phenomenon of conduction,",,
1331,1331,This is because the heat moved to the ladle to achieve thermal equilibrium.,,
1332,1332,This is because the heat was transferred to a ladle.,,
1333,1333,Evaluation Only. Created with Aspose.Cells for Python via Java.Copyright 2003 - 2022 Aspose Pty Ltd.,,
