,Unnamed: 0,13. Hot air balloons that rise into the sky warm up the air with fire inside balloon-shaped balloons and go up to the sky. Why can you go up to the sky if you heat the air in a hot air balloon? Explain in detail using scientific principles about the properties of gases according to temperature.,Unnamed: 0,", q13_density difference, q13_ buoyancy, q13_rise airflow, q13_evaporation, q13_molecular motion, q13_temperature, q13_air temperature, and q13_density difference.1,q13_ buoyancy. 1,q13_rise airflow.1,q13_evaporation1.,q13_molecular motion1.,q13_temperature1.,q13_air temperature.1"
625,625,"Warm air has the property of going up. Because of this, the hot air balloon goes up.",625.0,"646,0,0,0,0,0,0,0,,,,,,,"
626,626,Gas rises when it gets hot.,626.0,"647,0,0,0,0,0,0,0,,,,,,,"
627,627,"""Cold air goes down because it's heavy and hot air goes up because it's light.",627.0,"648,0,0,0,0,0,0,0,,,,,,,"
628,628,"The reason why the air conditioner is located above and the stove is located below is also to take advantage of this phenomenon to cause convection and improve heat circulation. Therefore, when the air in the hot air balloon is heated, it rises upward.""",628.0,"649,0,0,0,0,0,0,0,,,,,,,"
629,629,Hot gases tend to go up,629.0,"650,0,0,0,0,0,0,0,,,,,,,"
630,630,I even know that it goes up into the sky through heat,630.0,"651,0,0,0,0,0,0,0,,,,,,,"
631,631,"If the temperature of the gas is high, there is a property of going up, and if the temperature is low, there is a property of going down. (Convection phenomenon)",631.0,"652,0,0,0,0,0,0,0,,,,,,,"
632,632,"Balloons usually float, but they seem to float more by heating them up",632.0,"653,0,0,0,0,0,0,0,,,,,,,"
633,633,"As the temperature increases, the volume of the gas increases at a constant rate.",633.0,"654,0,0,0,0,0,0,0,,,,,,,"
634,634,"""The air inside is more than the air in the sky.""",634.0,"655,0,0,0,0,0,0,0,,,,,,,"
635,635,"""It's too high. It's going up",635.0,"656,0,0,0,0,0,0,0,,,,,,,"
636,636,"""Because the warm air goes up,",636.0,"657,0,0,0,0,0,0,0,,,,,,,"
637,637,"""Put the hot air balloon up""",637.0,"658,0,0,1,0,0,0,1,,,,,,,659,0,0,1,0,0,0,1,,,,,,,"
638,638,"If you fill it with hot air, it goes up",638.0,"660,0,0,0,0,0,0,0,,,,,,,"
639,639,Hot air goes up together because it goes up,639.0,"661,0,0,0,0,0,0,0,,,,,,,"
640,640,The warm air goes up,640.0,"662,0,0,0,0,0,0,0,,,,,,,"
641,641,"Warm air goes up, so it heats the air in a balloon-shaped balloon.",641.0,"663,1,0,1,0,0,0,1,,,,,,,"
642,642,"This is because if the temperature is high, it tries to go up.",642.0,"664,0,0,0,0,0,0,0,,,,,,,"
643,643,A hot air balloon is a balloon that can climb high in the sky using the heated air that bloomed as the fire burned.,643.0,"665,0,0,1,0,0,0,1,,,,,,,"
644,644,A hot air balloon is a balloon that can climb high into the sky using the heated air that blooms as the fire burns,644.0,"666,0,0,1,0,0,0,1,,,,,,,"
645,645,Heat the air in a hot air balloon Hot air can rise high in the sky because it has a rising property,645.0,"667,1,0,1,0,0,1,1,,,,,,,"
646,646,Because the air with increased kinetic energy is active due to heat,646.0,"668,0,0,0,0,0,0,0,,,,,,,"
647,647,"When the air gets warm, the air goes up, so the air inside the balloon goes up",647.0,"669,0,0,0,0,0,0,0,,,,,,,"
648,648,"""If you increase the temperature, the air molecules in your pocket will move faster, and the distance between the molecules will widen and increase in volume. As the volume increases, some air escapes, and the density of air in the pocket is lower than the first time",648.0,"670,0,0,0,0,0,0,0,,,,,,,"
649,649,,649.0,"671,0,0,0,0,0,0,0,,,,,,,"
650,650,"Then, because the density of the air in the pouch is small, the pouch floats upward, and a less dense material rises above a more dense material",650.0,"672,0,0,1,0,0,0,0,,,,,,,"
651,651,,651.0,"673,0,0,1,0,0,0,1,,,,,,,"
652,652,,652.0,"674,0,0,0,0,0,0,0,,,,,,,"
653,653,"""",653.0,"675,0,0,1,0,0,0,1,,,,,,,"
654,654,"Since the air that has increased the kinetic energy is active due to the heat,",654.0,"676,0,0,1,0,0,0,1,,,,,,,"
655,655,"Because the heated air goes up,",655.0,"677,0,0,1,0,0,0,1,,,,,,,"
656,656,"The higher the temperature, the higher the temperature, the higher the temperature, so it can go up gradually when heated.",656.0,"678,1,0,0,0,0,0,1,,,,,,,"
657,657,"The higher the temperature, the faster the movement of the gas particles, so they can go up into the sky.",657.0,"679,0,0,1,0,0,0,1,,,,,,,"
658,658,"Since the higher the temperature, the higher the temperature, the higher the temperature, the higher the temperature, the higher the temperature.",658.0,"680,0,0,0,0,0,1,0,,,,,,,"
659,659,Hot air particles go up,659.0,"681,1,0,0,0,0,0,0,,,,,,,"
660,660,"As the temperature rises, the particle movement of the air becomes active, so hot air balloons can go up into the sky.",660.0,"682,0,0,0,0,0,0,0,,,,,,,"
661,661,"When the temperature goes up, the particles in the gas go up",661.0,"683,0,0,0,0,0,0,0,,,,,,,"
662,662,"When the temperature goes up, the particles in the 체의 shape get faster",662.0,"684,0,0,1,0,0,0,1,,,,,,,"
663,663,"When the temperature goes up, the motion of the gas goes down quickly, and the gas that goes up goes up",663.0,"685,0,0,0,0,0,0,0,,,,,,,"
664,664,I don't know.,664.0,"686,0,0,0,0,0,0,0,,,,,,,"
665,665,I don't know,665.0,"687,0,0,0,0,0,0,0,,,,,,,"
666,666,M and D,666.0,"688,0,0,1,0,0,0,1,,,,,,,689,0,0,0,0,0,0,0,,,,,,,"
667,667,I don't understand.,667.0,"690,0,0,1,0,0,0,1,,,,,,,"
668,668,M and D,668.0,"691,1,0,0,0,0,0,0,,,,,,,"
669,669,"""",669.0,"692,0,0,1,0,0,0,1,,,,,,,"
670,670,I don't understand.,670.0,"693,0,0,0,0,0,0,0,,,,,,,"
671,671,"""",671.0,"694,0,0,1,0,0,0,1,,,,,,,"
672,672,(Playing the guitar sound,672.0,"695,0,0,1,0,0,0,1,,,,,,,"
673,673,M and D,673.0,"696,0,0,1,0,0,0,1,,,,,,,"
674,674,I don't understand.,674.0,"697,0,0,0,0,0,0,0,,,,,,,"
675,675,Mall,675.0,"698,0,0,1,0,0,0,1,,,,,,,"
676,676,I don't know,676.0,"699,0,0,1,0,0,0,1,,,,,,,"
677,677,I don't understand.,677.0,"700,0,0,1,0,0,0,1,,,,,,,"
678,678,I don't understand.,678.0,"701,0,0,1,0,0,0,1,,,,,,,"
679,679,M and D,679.0,"702,0,0,1,0,0,0,1,,,,,,,"
680,680,I don't understand.,680.0,"703,0,0,1,0,0,0,1,,,,,,,"
681,681,I don't know.,681.0,"704,0,0,1,0,0,0,1,,,,,,,"
682,682,This is because hot air has the property of going up.,682.0,"705,0,0,0,0,0,0,0,,,,,,,"
683,683,The hot air is floating up,683.0,"706,1,0,1,0,0,0,0,,,,,,,"
684,684,M and D,684.0,"707,0,0,0,0,0,0,0,,,,,,,"
685,685,I don't know,685.0,"708,1,0,0,0,0,0,0,,,,,,,"
686,686,I don't understand.,686.0,"709,0,0,1,0,0,0,0,,,,,,,"
687,687,Warm air floats in the sky because of its light weight,687.0,"710,0,0,0,0,0,0,0,,,,,,,"
688,688,Charles Law,688.0,"711,0,0,1,0,0,0,0,,,,,,,"
689,689,"The gas has the property of going up as it gets warmer, and it's used",689.0,"712,0,0,0,0,0,0,0,,,,,,,"
690,690,"Hot heat has the property of rising up, and as the fire burns, it exerts hot heat and can float a hot air balloon.",690.0,"713,0,0,0,0,0,0,0,,,,,,,"
691,691,"When the temperature of a gas particle rises, it becomes lighter than the cold air and floats upward",691.0,"714,0,0,0,0,0,0,0,,,,,,,"
692,692,.Mr,692.0,"715,0,0,0,0,0,0,1,,,,,,,"
693,693,I don't know.,693.0,"716,0,0,1,0,0,0,1,,,,,,,"
694,694,The gas light.,694.0,"717,0,0,1,0,0,0,0,,,,,,,"
695,695,The heat rising above the properties.,695.0,"718,1,0,1,0,1,0,1,,,,,,,719,1,0,1,0,0,1,1,,,,,,,"
696,696,"The air is heated, the balloon rises above because properties that go up.",696.0,"720,1,0,1,0,0,1,1,,,,,,,"
697,697,Oxygen,697.0,"721,1,0,1,0,0,1,1,,,,,,,"
698,698,Warm air rises and hot air balloon rose up.,698.0,"722,1,0,0,0,0,0,1,,,,,,,"
699,699,In and warm air is to have the qualities that go up.,699.0,"723,0,0,1,0,0,0,0,,,,,,,"
700,700,Hot air is it goes up.,700.0,"724,0,0,0,0,0,0,0,,,,,,,"
701,701,Warm air is lighter than cold air.,701.0,"725,1,0,0,0,0,0,0,,,,,,,"
702,702,"When you light a fire under the balloon, because hot air is up with balloons because becomes more and makes the balloon, balloon rose to mind heat.",702.0,"726,0,0,0,0,0,0,0,,,,,,,"
703,703,Temperature is high.,703.0,"727,0,0,0,0,0,0,0,,,,,,,"
704,704,"Is lighter, carrying the air in the hot air balloon than air.",704.0,"728,0,0,0,0,0,0,0,,,,,,,"
705,705,Light than other objects.,705.0,"729,0,0,0,0,0,0,0,,,,,,,"
706,706,"I don't know what I know, and gesseo. ㅜㅜㅜㅜㅜㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎ",706.0,"730,0,0,0,0,0,0,0,,,,,,,"
707,707,Warm air rises.,707.0,"731,0,0,0,1,0,0,0,,,,,,,"
708,708,ㅍㅊㅌㅍㅌㅊ,708.0,"732,0,0,0,0,0,0,0,,,,,,,"
709,709,Biting,709.0,"733,0,0,0,1,0,0,0,,,,,,,"
710,710,"If it's too dark,",710.0,"734,0,0,0,1,0,0,0,,,,,,,"
711,711,Hot air has the property of wanting to go up.,711.0,"735,0,0,0,0,0,0,0,,,,,,,"
712,712,Warm air goes down,712.0,"736,0,0,0,1,0,0,0,,,,,,,"
713,713,This is because dark air has the property of rising up and cold air has the property of falling down.,713.0,"737,0,0,0,0,0,0,0,,,,,,,"
714,714,The air got lighter,714.0,"738,0,0,0,1,0,0,0,,,,,,,"
715,715,Warm air goes up and cold air goes down,715.0,"739,1,0,0,0,0,0,0,,,,,,,"
716,716,"If you make a fire, it creates a fire?",716.0,"740,0,0,0,0,0,0,0,,,,,,,"
717,717,go up when the air is warm,717.0,"741,0,0,0,0,0,0,0,,,,,,,"
718,718,"The higher the heat, the higher the air goes up",718.0,"742,0,0,0,0,0,0,0,,,,,,,"
719,719,It's your nature to go up when you light a balloon,719.0,"743,0,0,0,0,0,0,0,,,,,,,"
720,720,"""?>",720.0,"744,0,0,0,0,0,0,0,,,,,,,"
721,721,,721.0,"745,0,0,0,0,0,0,0,,,,,,,"
722,722,">?""",722.0,"746,0,0,0,1,0,0,0,,,,,,,"
723,723,Because cold air goes down and hot air goes up.,723.0,"747,0,0,0,1,0,0,1,,,,,,,"
724,724,Warm air goes up.,724.0,"748,0,0,0,0,0,0,0,,,,,,,749,0,0,0,0,0,0,0,,,,,,,"
725,725,This is because cold air goes down and hot air goes up,725.0,"750,0,0,1,0,0,0,1,,,,,,,"
726,726,The hot air goes up well,726.0,"751,0,0,0,0,0,0,0,,,,,,,"
727,727,"When the air meets cold substances, it goes down and when it meets hot substances, the air moves upward. So when you heat the air in a hot air balloon, the air goes up and fills the balloon, so the hot air balloon can go up.",727.0,"752,0,0,0,1,0,0,1,,,,,,,"
728,728,"Warming the air in a hot air balloon makes it warm, so the warm air goes up",728.0,"753,0,0,0,0,0,0,0,,,,,,,"
729,729,"Warm air goes up, so hot air balloons go up into the sky.",729.0,"754,0,0,1,0,0,0,1,,,,,,,"
730,730,"If you add heat and volume inside, it will swell quickly, so it goes up",730.0,"755,0,0,0,0,0,0,0,,,,,,,"
731,731,It's light enough to go up in the sky,731.0,"756,0,0,0,0,0,0,0,,,,,,,"
732,732,It's time to go up to the fire,732.0,"757,0,0,0,0,0,0,0,,,,,,,"
733,733,The air got lighter,733.0,"758,0,0,0,0,0,0,0,,,,,,,"
734,734,convection phenomenon,734.0,"759,0,0,0,0,0,0,0,,,,,,,"
735,735,I don't know,735.0,"760,0,0,1,0,0,0,1,,,,,,,"
736,736,convection phenomenon,736.0,"761,0,0,0,0,0,0,0,,,,,,,"
737,737,I don't know.,737.0,"762,0,0,1,0,0,0,1,,,,,,,"
738,738,PASS,738.0,"763,0,0,1,0,0,0,1,,,,,,,"
739,739,I don't understand.,739.0,"764,0,0,0,0,0,0,1,,,,,,,"
740,740,It's done by heating up the heat,740.0,"765,0,0,0,0,0,0,0,,,,,,,"
741,741,"Hot air goes up and cold air goes down, so hot air is pumped up to make hot air balloon.",741.0,"766,0,0,1,0,0,0,1,,,,,,,"
742,742,"When the light is on, the warmth rises and goes into the balloon and unfolds",742.0,"767,0,0,0,0,0,0,0,,,,,,,"
743,743,"As the gas heats up, the atoms in the gas have the property of moving quickly, which makes the gas lighter in weight Eventually, the lighter gas jumps the property of going up, which causes the hot air balloon to go up.",743.0,"768,1,0,0,0,0,1,1,,,,,,,"
744,744,"As the temperature increases, the volume increases and the density decreases and goes up.",744.0,"769,1,0,0,0,0,1,1,,,,,,,"
745,745,"Due to the increase in temperature, the density decreases due to the increase in volume, so it rises above the dense air.",745.0,"770,1,0,0,0,0,1,0,,,,,,,"
746,746,"As the temperature increases, the volume increases, so it can go up into the sky.",746.0,"771,1,0,0,0,0,0,0,,,,,,,"
747,747,"As the temperature of the gas increases, the volume of the gas increases, and the density of the gas decreases, so that the hot air balloon floats.",747.0,"772,1,1,0,0,0,1,1,,,,,,,"
748,748,by convection,748.0,"773,1,0,1,0,0,1,1,,,,,,,"
749,749,1234,749.0,"774,1,0,0,0,0,0,1,,,,,,,"
750,750,The air is light,750.0,"775,1,0,1,0,0,0,1,,,,,,,"
751,751,Because of the smoke of fire,751.0,"776,1,1,0,0,0,0,0,,,,,,,"
752,752,123,752.0,"777,1,0,0,0,0,1,1,,,,,,,"
753,753,123,753.0,"778,1,0,0,0,0,1,1,,,,,,,779,0,0,0,0,0,0,0,,,,,,,"
754,754,"Yes, it is",754.0,"780,1,0,1,0,0,0,1,,,,,,,"
755,755,12345678910,755.0,"781,0,0,0,0,0,0,0,,,,,,,"
756,756,Fire and air meet to create an underwater plane,756.0,"782,0,0,1,0,0,0,1,,,,,,,"
757,757,"The gas, which is the wind, generates heat",757.0,"783,1,0,1,0,0,0,1,,,,,,,"
758,758,I'm going to make steam,758.0,"784,1,0,0,0,0,0,1,,,,,,,"
759,759,Using the phenomenon of water vapor rising up,759.0,"785,0,0,1,0,0,0,1,,,,,,,"
760,760,"""Smoke is the principle of going up to the sky",760.0,"786,0,0,1,0,0,0,1,,,,,,,"
761,761,"""If you trap smoke in a balloon and it fills up a lot, the balloon will float with the power of smoke.""",761.0,"787,0,0,0,0,0,0,1,,,,,,,"
762,762,"There is a lot of air and steam, but it floats in the sky",762.0,"788,0,0,0,0,0,0,0,,,,,,,"
763,763,Mora,763.0,"789,0,0,1,0,0,0,1,,,,,,,"
764,764,"There is a lot of air and steam, but it floats in the sky",764.0,"790,0,0,0,0,0,0,0,,,,,,,"
765,765,It's light,765.0,"791,0,0,1,0,0,0,1,,,,,,,"
766,766,Don't know the principle 123,766.0,"792,0,0,1,0,0,0,1,,,,,,,"
767,767,I don't know.,767.0,"793,0,0,1,0,1,0,1,,,,,,,"
768,768,The air is full and floats above the sky,768.0,"794,0,0,0,0,0,0,0,,,,,,,"
769,769,I don't know.,769.0,"795,0,0,0,0,0,0,0,,,,,,,"
770,770,This is because the air swells up and rises lightly and warms up inside the fire.,770.0,"796,0,0,0,0,0,0,0,,,,,,,"
771,771,have helium gas properties,771.0,"797,0,0,1,0,0,0,1,,,,,,,"
772,772,It's the principle of rising to steam,772.0,"798,0,0,0,0,0,0,0,,,,,,,"
773,773,"When you heat up the air, it becomes steam and rises into the sky, so hot air balloons come up",773.0,"799,1,0,0,0,0,1,1,,,,,,,"
774,774,Hot air balloons need hot air to fly into the sky,774.0,"800,0,0,1,0,0,0,1,,,,,,,"
775,775,I don't know.,775.0,"801,1,0,0,0,0,0,1,,,,,,,"
776,776,The warm air goes up,776.0,"802,0,0,1,0,0,1,1,,,,,,,"
777,777,yes,777.0,"803,0,0,1,0,0,1,1,,,,,,,"
778,778,Hot air meets cold air and floats as water vapor,778.0,"804,1,0,1,0,0,0,1,,,,,,,"
779,779,........,779.0,"805,1,0,0,0,0,0,0,,,,,,,"
780,780,The property of warm air going up,780.0,"806,0,0,1,0,0,1,1,,,,,,,"
781,781,The temperature rises as it rises into the sky.,781.0,"807,0,0,1,0,0,0,1,,,,,,,"
782,782,I don't understand.,782.0,"808,0,0,1,0,0,0,1,,,,,,,809,0,0,1,0,0,0,0,,,,,,,"
783,783,I don't understand.,783.0,"810,0,0,0,0,0,0,0,,,,,,,"
784,784,I don't know,784.0,"811,1,0,0,0,0,0,0,,,,,,,"
785,785,..................,785.0,"812,0,0,0,0,0,0,0,,,,,,,"
786,786,The heat rises up,786.0,"813,0,0,1,0,1,0,1,,,,,,,"
787,787,Wind and heat meet and float a hot air balloon.,787.0,"814,0,0,0,0,0,0,0,,,,,,,"
788,788,"If the air is hot, it goes up.",788.0,"815,0,0,1,0,0,0,1,,,,,,,"
789,789,"The hotter the gas gets, the higher it's going up.",789.0,"816,0,0,0,0,0,0,0,,,,,,,"
790,790,This is because the air gets warm and there is more gas.,790.0,"817,0,0,0,0,0,0,0,,,,,,,"
791,791,It can go up high because the heat heats up.This is because hot air goes up.,791.0,"818,0,0,0,0,0,0,1,,,,,,,"
792,792,I don't know.,792.0,"819,1,0,0,0,0,0,0,,,,,,,"
793,793,"As the temperature increases, the volume of the gas increases and the density decreases, so it goes up into the sky (Charles' Law)",793.0,"820,0,0,1,0,0,0,1,,,,,,,"
794,794,Higher temperatures increase volume and reduce density.,794.0,"821,0,0,0,0,0,0,0,,,,,,,"
795,795,Volume increases with temperature. Density Reduction,795.0,"822,1,0,0,0,1,0,0,,,,,,,"
796,796,The volume of the gas molecules increases and the density decreases.,796.0,"823,0,0,0,0,0,0,0,,,,,,,"
797,797,"When equilibrium is achieved with external pressure (maintaining constant pressure), when the temperature increases, the volume increases and the buoyancy increases.",797.0,"824,0,0,1,0,0,0,1,,,,,,,"
798,798,"High temperatures increase the volume of air. Since the volume increases at the same mass, the density decreases and floats upward than the surrounding air.",798.0,"825,1,0,0,0,0,1,1,,,,,,,"
799,799,"When heated, the volume increases and the density decreases.",799.0,"826,1,0,1,0,0,1,1,,,,,,,"
800,800,"As the temperature increases, the volume increases, so the pressure decreases and goes up into the sky.",800.0,"827,1,0,1,0,0,0,1,,,,,,,"
801,801,The density becomes smaller and floats by buoyancy.,801.0,"828,0,0,1,0,0,1,1,,,,,,,"
802,802,The temperature rises and the density decreases.,802.0,"829,1,1,0,0,0,1,1,,,,,,,"
803,803,Volume increases as temperature rises. (PV=nRT),803.0,"830,1,0,0,0,1,1,1,,,,,,,"
804,804,"When the pressure is constant according to PM=dRT, the temperature and density are inversely proportional",804.0,"831,1,0,0,0,1,0,1,,,,,,,"
805,805,"According to the ideal gas state equation, when the temperature rises, the volume increases, and at this time, the density decreases and the hot air balloon rises.",805.0,"832,1,0,1,0,0,0,1,,,,,,,"
806,806,warm,806.0,"833,0,0,1,0,0,1,1,,,,,,,"
807,807,The heated air tends to go up,807.0,"834,0,0,1,0,0,0,1,,,,,,,"
808,808,"The warmer the air, the lighter it becomes and you can go up.",808.0,"835,1,0,1,0,0,1,1,,,,,,,"
809,809,"As the temperature rises, the gas expands",809.0,"836,1,0,0,0,1,1,1,,,,,,,"
810,810,"The cold air goes up and the warm air goes down, so when you light a balloon, the warm air created by fire goes up and creates the power to float the balloon",810.0,"837,0,0,0,0,0,0,0,,,,,,,"
811,811,"Because warm gases go up and cold gases go down, hot air balloons can go up into the sky because of the nature of warm gases trying to go up.",811.0,"838,0,0,0,0,1,1,1,,,,,,,839,1,0,0,0,1,0,1,,,,,,,"
812,812,The gas will heat up and go up,812.0,"840,0,0,0,0,0,0,0,,,,,,,"
813,813,I don't know,813.0,"841,1,0,1,0,1,0,1,,,,,,,"
814,814,Because hot gases rise into the sky,814.0,"842,1,0,0,0,0,0,0,,,,,,,"
815,815,I don't know,815.0,"843,0,0,0,0,0,0,0,,,,,,,"
816,816,Hot air rises due to convection,816.0,"844,1,0,0,0,0,0,1,,,,,,,"
817,817,I think it's because it floats when the fever is high.,817.0,"845,1,0,0,0,0,0,1,,,,,,,"
818,818,Hot air can go up into the sky because of its active particle movement.,818.0,"846,0,0,1,0,1,1,1,,,,,,,"
819,819,...,819.0,"847,0,0,0,0,0,0,0,,,,,,,"
820,820,I don't know,820.0,"848,0,0,1,0,0,0,1,,,,,,,"
821,821,"As the air cools in the balloon, a hot air balloon floats.",821.0,"849,0,0,0,0,0,0,0,,,,,,,"
822,822,It is because hot air goes up,822.0,"850,0,0,0,0,0,1,1,,,,,,,"
823,823,Because air goes into the balloon,823.0,"851,1,1,0,0,1,1,1,,,,,,,"
824,824,This is because gases in the air expand as the temperature rises,824.0,"852,0,0,0,0,0,0,0,,,,,,,"
825,825,This is because warm air has the property of going up.,825.0,"853,1,0,1,0,1,0,1,,,,,,,"
826,826,"When heat heats the air, the air expands and becomes lighter",826.0,"854,1,0,1,0,1,1,1,,,,,,,"
827,827,"Warm temperatures go up, so if you heat the air and block the sides go up",827.0,"855,0,0,1,0,0,0,1,,,,,,,"
828,828,It has the property of trying to go up when the air temperature rises.,828.0,"856,,,,,,,,,,,,,,"
829,829,"Gas varies in volume and weight depending on temperature, so it floats up when it is warm.",829.0,"857,,,,,,,,,,,,,,"
830,830,They told me that it expands because of 10,830.0,"858,24.2%,1.6%,50.1%,2.8%,8.6%,17.3%,57.9%,,,,,,,"
831,831,"Gas is affected by the same kind and density, but atmospheric gases have the characteristics of gases that want to rise as the temperature increases, so they trap air from hot air balloons to rise as they want to.",,
832,832,This is because the air rises above the cold one.,,
833,833,"The fire is heated upward, and the heat can be raised to the sky due to the convection phenomenon of the heat.",,
834,834,be due to convection of air,,
835,835,?,,
836,836,The balloon rises as the air expands,,
837,837,The balloon is energized by the fire and floats up.,,
838,838,"When the gas is cold, it goes down and when the gas is hot, it goes up because of the movement of the particles according to temperature.",,
839,839,It's to float,,
840,840,"The air goes up the hot and the cold goes down, so don't drink the fumes in the event of a fire But when you heat the air, it gets hot, so the air floats Since it is exposed, even hot air balloons can float.",,
841,841,It's round,,
842,842,Mathematical principles,,
843,843,Heat it up and use,,
844,844,It floats because it is lighter than air.,,
845,845,"When you heat the fire, the air gets hot, but the hot air rises up and the cold air sinks down, making the hot air heavier.",,
846,846,"To remove, make, float, or lower oxygen by fire",,
847,847,"""",,
848,848,"When heated, the volume increases, causing the particles to move actively, reminding them of hot air balloons.""",,
849,849,"It is the same principle as a balloon, but when burning a fire, the smoke has the same properties as helium.",,
850,850,Hot air goes up to the sky when it is hot because it has the property of trying to go up in reverse to cold air.,,
851,851,This is because the volume of the gas increases as the temperature increases.,,
852,852,"The higher the temperature, the lighter the weight of the air, so it rises",,
853,853,"The higher the temperature, the lighter the weight of the air, so it rises",,
854,854,"When the temperature of the gas increases, air moves by convection, and air with high temperature faces upward.",,
855,855,"The higher the temperature, the lower the gas density. At this time, the gas floats by buoyancy, and if the buoyancy by the gas is sufficiently large, other objects float together.",,
856,856,"As the temperature rises, the motion of the gas molecules increases and the volume increases, so if you heat under the hot air balloon with a hot fire, you can go up to the sky.",,
857,857,"As the temperature rises, the motion of the gas molecules increases and the volume increases, so if you heat under the hot air balloon with a hot fire, you can go up to the sky.",,
858,858,"Warm air is light, so when you heat the air in the hot air balloon, it goes up to the sky.",,
859,859,This is because it rises when the temperature of the gas is increased.,,
860,860,This is because heated air is trying to rise up.,,
861,861,"At high temperatures, gases expand, so hot air balloons go up into the sky.",,
862,862,"As the temperature rises, the motion of the gas becomes active and the distance between molecules becomes distant. Therefore, when the hot air balloon is heated by fire, the hot air balloon floats upward.",,
863,863,I don't know,,
864,864,This is because gases become more active as the temperature increases.,,
865,865,"As the temperature of the gas increases, the motion of the gas increases and the distance between the gas molecules increases. Some of the bulky air escapes outside and the density of the air in the pocket is lower than at the beginning.",,
866,866,I don't know,,
867,867,"As the temperature increases, the motion of the solid becomes active, and the volume of the gas increases and the density becomes lower than that of the surrounding air, so it rises. Hot air balloons can go up into the sky due to the phenomenon that the warm and light air goes up.",,
868,868,expansion of gas,,
869,869,a mother's mother's mother,,
870,870,Because the hot air is light (that is why the heater is installed on the floor),,
871,871,"When heat is applied to the air, it expands. And the air moves from warm to cold, and the surface is relatively warmer than the sky, so it can go up. After passing just a certain point, the sky gets hotter than the ground.",,
872,872,"As the temperature rises, the motion of the gas becomes more active, making the gap between the particles distant and with the hot air balloon.The number of collisions increases. Also, hot air can float because it tries to go up.",,
873,873,"When heated, the thermal movement of air becomes more active, and with the same logic as the previous question, the density decreases and the volume increases. It now has the power to rise up and can go up into the sky.",,
874,874,This is because hot air pushes the hot air up by using the principle of rising upward.,,
875,875,I don't know,,
876,876,"The higher the altitude, the lower the temperature, and the more likely it is to move from hot to cold.Therefore, heating air causes air movement from bottom to top, so hot air balloons can go up into the sky.",,
877,877,"As the temperature rises, the volume increases, and at the same time, the gas movement rises due to buoyancy",,
878,878,I don't know,,
879,879,"Hot air has a wider gap between particles than cold air and is active in motion. Therefore, when the air is heated, the hot air tries to rise upward compared to the cold air, so the hot air balloon floats.",,
880,880,"As the temperature increases, the motion of the gas increases, and the density decreases relatively, so it rises up. Because of this, heating the air in the hot air balloon can cause the air to rise to the sky by the force to rise.",,
881,881,Warm air has a tendency to feel comfortable,,
882,882,Evaluation Only. Created with Aspose.Cells for Python via Java.Copyright 2003 - 2022 Aspose Pty Ltd.,,
