,Unnamed: 0,1) Why does 'solar power' help sustainable development for the future compared to fossil energy such as coal and oil?,Unnamed: 0,", q43_infinite energy, q43_eco-friendly, q43_infinite energy.1,q43_Green.1"
870,870,"While fossil energy is depleted, renewable energy is infinite",870.0,"900,0,0,,"
871,871,Because it's sustainable energy.,871.0,"901,1,1,,"
872,872,It doesn't disappear and doesn't run out,872.0,"902,1,1,,"
873,873,We have unlimited resources,873.0,"903,1,0,,"
874,874,Because it doesn't run out.,874.0,"904,1,0,,"
875,875,This is because it can be provided without limit.,875.0,"905,1,1,,"
876,876,No fear of exhaustion,876.0,"906,0,0,,"
877,877,This is because energy sources are not limited and less harmful to the environment is emitted,877.0,"907,1,0,,"
878,878,This is because there is less risk of energy depletion compared to fossil energy,878.0,"908,0,0,,"
879,879,Because it doesn't run out,879.0,"909,1,0,,"
880,880,.,880.0,"910,0,0,,"
881,881,"It is an almost infinite raw material and fossil energy produces a lot of carbon dioxide, but no solar power.",881.0,"911,0,0,,"
882,882,Because the sun is an energy source that does not run out,882.0,"912,0,0,,"
883,883,It's eco-friendly,883.0,"913,1,0,,"
884,884,"Coal and oil are limited resources, but solar is a future-friendly and available resource at any time",884.0,"914,0,0,,"
885,885,This is because it costs less to install and is efficient,885.0,"915,0,1,,"
886,886,This is because the amount of carbon dioxide emitted is small.,886.0,"916,0,0,,"
887,887,"Fossil energy is limited, but solar energy is not limited",887.0,"917,1,0,,"
888,888,It is because it is renewable energy.,888.0,"918,0,0,,"
889,889,I don’t anther stand ok?,889.0,"919,0,0,,"
890,890,"This is because coal and oil have limited resources, but solar light has unlimited resources.Because the quantity is not limited.",890.0,"920,0,0,,"
891,891,be eco-friendly,891.0,"921,0,0,,"
892,892,It's renewable energy,892.0,"922,0,0,,"
893,893,It's endless,893.0,"923,1,0,,"
894,894,Because solar energy can be used indefinitely,894.0,"924,1,0,,"
895,895,"The sun can be used indefinitely, reducing the waste of limited coal and oil.",895.0,"925,1,1,,"
896,896,This is because solar tube energy is not depleted well and is eco-friendly energy.,896.0,"926,0,0,,"
897,897,This is because solar energy is a constant source of energy as long as the earth does not perish.,897.0,"927,1,1,,"
898,898,Because solar power is not finite,898.0,"928,0,1,,929,1,0,,"
899,899,It can prevent acceleration of global warming and replace depleted petroleum energy.,899.0,"930,1,0,,"
900,900,"Solar energy is infinite, so there is no depletion and there is little environmental pollution",900.0,"931,0,0,,"
901,901,This is because there is no environmental pollution compared to fossil energy.,901.0,"932,1,0,,"
902,902,This is because it is a renewable and non-disappearing energy source unless the sun disappears.,902.0,"933,1,1,,"
903,903,It is eco-friendly and does not run out of resources.,903.0,"934,1,0,,"
904,904,Because it plays,904.0,"935,1,0,,"
905,905,"In the future, resources are depleted, and eco-friendly resources are very helpful",905.0,"936,1,1,,"
906,906,It's because it doesn't run out,906.0,"937,0,0,,"
907,907,Because it is renewable energy.,907.0,"938,1,0,,"
908,908,"Coal and oil are limited resources and therefore will be scarce in the future Therefore, energy such as sunlight is more advantageous because its amount is relatively infinite",908.0,"939,0,0,,"
909,909,I don't know.,909.0,"940,0,0,,"
910,910,Because it is sustainable.,910.0,"941,0,0,,"
911,911,sorry,911.0,"942,1,0,,"
912,912,Because the sun is finite,912.0,"943,0,1,,"
913,913,It's eco-friendly energy and it's not limited like coal or oil,913.0,"944,0,1,,"
914,914,This is because the amount of solar energy is almost infinite without generating greenhouse gases.,914.0,"945,1,0,,"
915,915,It's infinite,915.0,"946,0,0,,"
916,916,"Because it uses renewable solar energy, it helps sustainable development for the future rather than fossil energy such as coal and oil, which are not renewable.",916.0,"947,0,0,,"
917,917,"This is because when fossil energy is depleted, it can be replaced with eco-friendly energy and has less carbon dioxide concentration than fossil energy.",917.0,"948,0,0,,"
918,918,Because it's renewable energy,918.0,"949,0,0,,"
919,919,Because the sun is infinite,919.0,"950,0,0,,"
920,920,"Even if it's not fossil energy like coal or oil, it's good because it receives the sun's light and turns it into energy",920.0,"951,0,1,,"
921,921,I can't run out of energy,921.0,"952,0,1,,"
922,922,I don't know.,922.0,"953,0,0,,"
923,923,"I only use it for construction and after that, I use solar heat, so it helps a lot later",923.0,"954,0,0,,"
924,924,"You can save resources, so you can save money if you make a small income",924.0,"955,0,0,,"
925,925,Because it uses infinite energy,925.0,"956,1,0,,"
926,926,"No, it's yellow",926.0,"957,0,1,,"
927,927,improve one's surroundings.,927.0,"958,1,0,,959,1,1,,"
928,928,to be able to develop and move forward,928.0,"960,1,1,,"
929,929,"Because fossil energy is not infinite energy, but finite energy, so it cannot be used forever, whereas solar energy is infinite energy (at least while I'm alive)",929.0,"961,0,1,,"
930,930,"Solar power, oil, coal, and so on can generate electricity",930.0,"962,0,1,,"
931,931,I don't know.,931.0,"963,0,0,,"
932,932,I don't know.,932.0,"964,1,1,,"
933,933,"If the sun shines, we can collect energy and replace fossil energy.",933.0,"965,1,0,,"
934,934,I don't know,934.0,"966,0,0,,"
935,935,"""Fossil energy such as coal and oil is not English,",935.0,"967,0,0,,"
936,936,"""The sun's energy is so infinite""",936.0,"968,0,0,,"
937,937,"""The sun is sustainable by the sun,",937.0,"969,0,0,,"
938,938,This is because oil or coal will one day run out.,938.0,"970,1,0,,"
939,939,"""",939.0,"971,0,0,,"
940,940,"Fossil energy is finite, but solar power is capable of infinite energy generation and use without polluting the environment.",940.0,"972,0,0,,"
941,941,I don't know.,941.0,"973,0,0,,"
942,942,"Fossil fuels are limited and environmental pollution, but renewable energy is eco-friendly and does not run out",942.0,"974,0,0,,"
943,943,The use of fossil fuels increases air pollution.,943.0,"975,0,0,,"
944,944,Because solar energy is almost infinite until the sun dies,944.0,"976,1,1,,"
945,945,Because solar energy is infinite until the sun dies,945.0,"977,0,0,,"
946,946,Because they come out often and are very efficient,946.0,"978,0,0,,"
947,947,Because solar energy is infinite until the sun dies.,947.0,"979,0,0,,"
948,948,"This is because Seokchan and oil are gradually disappearing, and solar power does not disappear and is a gate to prevent global warming damage.",948.0,"980,0,0,,"
949,949,Solar energy can be made infinitely,949.0,"981,0,0,,"
950,950,Because it can be used continuously.,950.0,"982,1,0,,"
951,951,"This is because coal and oil gradually disappear, and solar power does not disappear and prevents global warming damage.",951.0,"983,0,0,,"
952,952,It's because electricity consumption decreases because of the nuclear rain,952.0,"984,0,0,,"
953,953,Because fossil fuels will run out one day.,953.0,"985,0,0,,"
954,954,Electricity consumption decreases,954.0,"986,1,0,,"
955,955,Solar power can reduce electricity,955.0,"987,0,0,,"
956,956,I don't know,956.0,"988,0,0,,989,0,0,,"
957,957,New and renewable energy resources are infinite,957.0,"990,0,0,,"
958,958,Solar power generators are helpful by creating eco-friendly energy with light from the sun,958.0,"991,0,1,,"
959,959,It is eco-friendly because it does not use electricity,959.0,"992,0,0,,"
960,960,Things like coal and oil will disappear one day,960.0,"993,0,0,,"
961,961,I don't know,961.0,"994,0,1,,"
962,962,I don't know,962.0,"995,0,0,,"
963,963,I can save money.,963.0,"996,1,0,,"
964,964,I don't know,964.0,"997,0,1,,"
965,965,to be able to save money,965.0,"998,1,0,,"
966,966,It is eco-friendly because it uses sunlight.,966.0,"999,1,0,,"
967,967,Because it can prevent environmental pollution,967.0,"1000,1,1,,"
968,968,I don't know,968.0,"1001,0,1,,"
969,969,This is because you can make electricity from sunlight and use it.,969.0,"1002,1,0,,"
970,970,"""If you use Seokwoo or fossils, the ecosystem will be destroyed and it will be hard for us to live.""",970.0,"1003,0,1,,"
971,971,"If we use solar power, we can become a better country with more wealth in the future.""",971.0,"1004,1,0,,"
972,972,This is because solar tube power can be used continuously even if fossil energy disappears by giving infinite energy because it puts energy in the heat of the sun,972.0,"1005,0,1,,"
973,973,"Since fossil energy is burned and used, environmental pollution is severe, but renewable energy such as solar power is free from pollution.",973.0,"1006,1,0,,"
974,974,"Solar power is continuous, but if fossil energy such as oil is used up, it will disappear, so it will not be able to generate continuous power, and oil will also pollute the environment, so solar power will help sustain development for the future.",974.0,"1007,1,1,,"
975,975,"This is because fossil fuels are finite and cannot be used continuously, and environmental pollution is serious, while solar energy can be used continuously and environmental pollution is not serious.",975.0,"1008,1,1,,"
976,976,Sustainable energy production is possible without environmental pollution.,976.0,"1009,0,1,,"
977,977,It can prevent environmental destruction and create power generation energy.,977.0,"1010,0,1,,"
978,978,It's eco-friendly without destroying the nature,978.0,"1011,0,1,,"
979,979,I don't know.,979.0,"1012,0,1,,"
980,980,It can create sustainable energy without polluting nature.,980.0,"1013,0,1,,"
981,981,You can continue to use your future resources without losing them,981.0,"1014,1,1,,"
982,982,I don't know.,982.0,"1015,0,1,,"
983,983,I don't know,983.0,"1016,0,0,,"
984,984,Because electricity is generated,984.0,"1017,0,0,,"
985,985,I don't know,985.0,"1018,0,0,,1019,0,0,,"
986,986,Continuous development will be possible because we get electricity from nature without consuming any resources,986.0,"1020,0,0,,"
987,987,"""",987.0,"1021,0,0,,"
988,988,I don't know,988.0,"1022,0,0,,"
989,989,to be able to hold electricityDon't know,989.0,"1023,1,0,,"
990,990,I don't know.,990.0,"1024,1,0,,"
991,991,I didn't learn it,991.0,"1025,1,0,,"
992,992,Because it's infinitely usable and doesn't pollute the environment,992.0,"1026,0,1,,"
993,993,You can use it in the future,993.0,"1027,1,0,,"
994,994,save electricity,994.0,"1028,0,1,,"
995,995,"It's not a fossil ingredient, but energy obtained by using nature",995.0,"1029,1,0,,"
996,996,I don't know.,996.0,"1030,1,0,,"
997,997,Because I borrow the power of the sun,997.0,"1031,0,0,,"
998,998,It is not a limited resource because it creates energy from nature.,998.0,"1032,0,1,,"
999,999,I don't know,999.0,"1033,0,1,,"
1000,1000,It's a gate where people can be convenient.,1000.0,"1034,0,1,,"
1001,1001,I don't know,1001.0,"1035,0,0,,"
1002,1002,It's because it uses infinite solar energy,1002.0,"1036,1,0,,"
1003,1003,"We don't need coal or anything like that in our daily lives, but we can someday.",1003.0,"1037,0,1,,"
1004,1004,Because solar energy is natural energy,1004.0,"1038,1,0,,"
1005,1005,We use electricity from solar power generators that burn coal or oil,1005.0,"1039,1,0,,"
1006,1006,This is because using solar energy can reduce the use of energy.,1006.0,"1040,1,0,,"
1007,1007,Businesses that need electricity or oil are natural; they need money and they don't pollute the environment,1007.0,"1041,0,0,,"
1008,1008,This is because the cost is similar to using electricity made from fossil energy,1008.0,"1042,0,0,,"
1009,1009,I don't know,1009.0,"1043,0,0,,"
1010,1010,There is less global warming.,1010.0,"1044,0,0,,"
1011,1011,It's going to run out,1011.0,"1045,0,0,,"
1012,1012,"Because the amount of fossil energy is finite, infinite solar power is helpful.",1012.0,"1046,0,0,,"
1013,1013,It doesn't emit carbon dioxide,1013.0,"1047,0,1,,"
1014,1014,Because fossil energy is limited.,1014.0,"1048,0,1,,1049,0,1,,"
1015,1015,"It's semi-permanent, so it's easy to supply",1015.0,"1050,1,0,,"
1016,1016,"Oil and coal have limited energy, but solar energy is a sustainable development in the future because it is an eco-friendly alternative that can be obtained until the sun dies",1016.0,"1051,0,0,,"
1017,1017,This is because it affects the Earth less.,1017.0,"1052,0,1,,"
1018,1018,"While fossil energy is limited in amount, solar power is not limited in amount.",1018.0,"1053,1,1,,"
1019,1019,This is because there is less environmental pollution.,1019.0,"1054,0,0,,"
1020,1020,This is because solar power is not like that compared to limited resources such as coal and oil.,1020.0,"1055,1,0,,"
1021,1021,This is because it is eco-friendly energy without carbon dioxide generation.,1021.0,"1056,1,0,,"
1022,1022,The amount of coal is fixed.,1022.0,"1057,0,1,,"
1023,1023,Because the amount of fossil energy is limited and environmental pollution is severe,1023.0,"1058,0,0,,"
1024,1024,This is because solar energy is infinite for a long time and has less environmental pollution than fossil energy.,1024.0,"1059,0,0,,"
1025,1025,No on-sal gas is generated,1025.0,"1060,0,0,,"
1026,1026,a decrease in smoke,1026.0,"1061,1,0,,"
1027,1027,There is no pollution.,1027.0,"1062,1,0,,"
1028,1028,Because we can produce energy without environmental pollution,1028.0,"1063,0,0,,"
1029,1029,I think it is because it prevents environmental pollution by not emitting carbon dioxide,1029.0,"1064,1,0,,"
1030,1030,"Environmental pollution, no depletion",1030.0,"1065,1,0,,"
1031,1031,This is because it does not cause air pollution.,1031.0,"1066,0,0,,"
1032,1032,I don't know,1032.0,"1067,1,1,,"
1033,1033,I don't know,1033.0,"1068,1,0,,"
1034,1034,Taewanggwang Power Generation Helps Don't Use Electricity Much,1034.0,"1069,1,0,,"
1035,1035,I don't know.,1035.0,"1070,1,1,,"
1036,1036,I don't know,1036.0,"1071,0,0,,"
1037,1037,I don't know,1037.0,"1072,1,0,,"
1038,1038,I don't know,1038.0,"1073,1,0,,"
1039,1039,It's because it doesn't run out,1039.0,"1074,1,0,,"
1040,1040,Because it's sustainable energy,1040.0,"1075,1,1,,"
1041,1041,Because fossil fuels are a limited resource,1041.0,"1076,1,1,,"
1042,1042,It's alternative energy and it doesn't adversely affect the environment,1042.0,"1077,1,1,,"
1043,1043,There's no risk of exhaustion,1043.0,"1078,1,1,,1079,1,1,,"
1044,1044,It's because it's eco-,1044.0,"1080,0,1,,"
1045,1045,This is because sunlight comes out infinitely.,1045.0,"1081,0,0,,"
1046,1046,It's less likely to run out,1046.0,"1082,0,0,,"
1047,1047,It can reduce the percentage of fossil fuel used,1047.0,"1083,0,1,,"
1048,1048,There is no greenhouse effect,1048.0,"1084,1,0,,"
1049,1049,The use of fossil fuels has a greenhouse effect.,1049.0,"1085,1,0,,"
1050,1050,"Because the environment is not contaminated,",1050.0,"1086,0,0,,"
1051,1051,I don't know ♥,1051.0,"1087,0,1,,"
1052,1052,"Because the sun's energy is almost infinite,",1052.0,"1088,0,1,,"
1053,1053,It does not cause environmental pollution.,1053.0,"1089,1,0,,"
1054,1054,It doesn't run out,1054.0,"1090,1,0,,"
1055,1055,This is because energy is not limited like coal or oil.,1055.0,"1091,1,0,,"
1056,1056,This is because solar energy does not run out.,1056.0,"1092,1,0,,"
1057,1057,I don't know,1057.0,"1093,1,0,,"
1058,1058,h,1058.0,"1094,1,0,,"
1059,1059,h,1059.0,"1095,0,0,,"
1060,1060,You can use it instead of electricity,1060.0,"1096,0,0,,"
1061,1061,.,1061.0,"1097,0,0,,"
1062,1062,This is because solar power can reduce unnecessary use of electricity,1062.0,"1098,1,0,,"
1063,1063,There is no environmental pollution.,1063.0,"1099,1,0,,"
1064,1064,Because it prevents environmental destruction,1064.0,"1100,1,1,,"
1065,1065,"Because it generates less carbon dioxide,",1065.0,"1101,1,0,,"
1066,1066,Because it's not a limited resource,1066.0,"1102,1,1,,"
1067,1067,I don't know,1067.0,"1103,0,1,,"
1068,1068,There was no environmental pollution,1068.0,"1104,0,1,,"
1069,1069,This is because solar energy can continue to be produced as eco-friendly energy,1069.0,"1105,0,1,,"
1070,1070,Because fossil fuels are not used,1070.0,"1106,1,0,,"
1071,1071,"Fossil energy such as coal and oil is limited energy, so it falls someday, but new and renewable energy can continue to be made and used.",1071.0,"1107,1,0,,"
1072,1072,"This is because fossil energy, such as petroleum, has limited resources, but solar power can continue to be used unless the sun goes out.",1072.0,"1108,1,1,,1109,1,0,,"
1073,1073,It's because it's clean energy that doesn't pollute using sunlight,1073.0,"1110,1,0,,"
1074,1074,It's good for mankind because energy is created,1074.0,"1111,1,0,,"
1075,1075,I don't know.,1075.0,"1112,1,0,,"
1076,1076,?,1076.0,"1113,1,0,,"
1077,1077,It's unlimited,1077.0,"1114,1,1,,"
1078,1078,You can get it unlimitedly,1078.0,"1115,0,1,,"
1079,1079,I don't know.,1079.0,"1116,1,0,,"
1080,1080,It'sincerely,1080.0,"1117,1,0,,"
1081,1081,"This is because the amount of fossil energy that can be used is passed down, but the sun can be used indefinitely.",1081.0,"1118,0,1,,"
1082,1082,The sun doesn't disappear,1082.0,"1119,1,0,,"
1083,1083,"Coal and oil are limited in resources and emit greenhouse gases when burned, but solar power is infinite in resources and has little environmental pollution",1083.0,"1120,0,1,,"
1084,1084,Coal oil is limited in reserves.,1084.0,"1121,0,1,,"
1085,1085,Because we can use solar energy indefinitely,1085.0,"1122,1,0,,"
1086,1086,"This is because if unlimited renewable energy is used instead of underground minerals with limited resources, less carbon dioxide is generated.",1086.0,"1123,1,0,,"
1087,1087,I don't know.,1087.0,"1124,1,0,,"
1088,1088,"Because the sun is sustainable renewable energy, there is less worry about depletion than fossil energyFossil energy is finite, but solar energy is almost infinite",1088.0,"1125,1,0,,"
1089,1089,"Because the sun can last longer than coal, oil, or fossil energy",1089.0,"1126,1,0,,"
1090,1090,It's because it's likely to run out and has a bad effect on the environment,1090.0,"1127,0,0,,"
1091,1091,"The existing fossil energy cannot be used continuously because there is a lot of environmental pollution in the production process and the amount of raw materials required for production is limited, but solar power generation could be produced indefinitely because solar energy is used as an energy source.",1091.0,"1128,0,0,,"
1092,1092,Environmental pollution does not occur and does not run out,1092.0,"1129,1,0,,"
1093,1093,"Solar power is an environmentally friendly energy and infinite energy, which helps sustainable development for the future.",1093.0,"1130,0,1,,"
1094,1094,"Not only is the amount of fossil fuel limited, but it also emits carbon dioxide, a greenhouse gas, during combustion, making it the main culprit of global warming. However, solar power is an unlimited amount of energy and does not emit harmful substances, which helps sustainable power generation.",1094.0,"1131,0,1,,"
1095,1095,"Since it emits less greenhouse gases,",1095.0,"1132,1,0,,"
1096,1096,I don't know.,1096.0,"1133,0,1,,"
1097,1097,I don't know.,1097.0,"1134,1,0,,"
1098,1098,It's because it's eco-,1098.0,"1135,1,0,,"
1099,1099,"Fossil energy is depleted someday, but future energy is semi-permanent",1099.0,"1136,0,1,,"
1100,1100,The sun has dried up much later than the fossils,1100.0,"1137,0,0,,"
1101,1101,on the back of course,1101.0,"1138,0,1,,1139,1,0,,"
1102,1102,It's not a strong consumption and it doesn't affect nature,1102.0,"1140,1,0,,"
1103,1103,It's not a strong consumption and it doesn't affect nature,1103.0,"1141,0,1,,"
1104,1104,It'sincerely,1104.0,"1142,0,0,,"
1105,1105,It's not limited,1105.0,"1143,1,0,,"
1106,1106,The sun's light doesn't run out,1106.0,"1144,1,0,,"
1107,1107,Oil is limited in resources,1107.0,"1145,1,1,,"
1108,1108,"Because it's not a limited resource, it's sustainable energy",1108.0,"1146,0,0,,"
1109,1109,This is because solar power can be used almost permanently compared to fossil energy.,1109.0,"1147,0,0,,"
1110,1110,I don't know.,1110.0,"1148,1,0,,"
1111,1111,It's going to be far,1111.0,"1149,1,0,,"
1112,1112,Mew Tyner,1112.0,"1150,0,0,,"
1113,1113,I'm not running out of solar energy,1113.0,"1151,1,0,,"
1114,1114,It's infinite energy,1114.0,"1152,0,0,,"
1115,1115,"Because coal and oil are limited resources. By comparison, solar power can be used for a long time and environmental pollution is low.",1115.0,"1153,1,0,,"
1116,1116,It can be used indefinitely.,1116.0,"1154,1,0,,"
1117,1117,Solar energy is infinite. Eco-friendly compared to fossil energy.,1117.0,"1155,1,0,,"
1118,1118,It doesn't release pollutants,1118.0,"1156,1,0,,"
1119,1119,"Because carbon compound emissions are extremely small because they use energy from the outside world, not from the inside of the Earth",1119.0,"1157,1,0,,"
1120,1120,It is not a wasteful resource and no harmful products come out of the reaction.,1120.0,"1158,1,1,,"
1121,1121,"Fossil energy, such as coal and oil, releases harmful substances and has a limited amount of resources, but solar and power generation do not.",1121.0,"1159,1,0,,"
1122,1122,"Resources are not limited, and they help to be available continuously. Not depleted.",1122.0,"1160,1,0,,"
1123,1123,"Fossil energy is depleted, but solar power can be used indefinitely. It can also reduce environmental pollution.",1123.0,"1161,0,0,,"
1124,1124,It's relatively dry,1124.0,"1162,0,0,,"
1125,1125,"Not consumed, no resource worries.",1125.0,"1163,1,0,,"
1126,1126,"There is a marginal amount of fossil energy, but sunlight is not.",1126.0,"1164,1,1,,"
1127,1127,"It doesn't wear out even if used, so it can continue to be used.",1127.0,"1165,1,0,,"
1128,1128,"No matter how much you use it, the sun doesn't burn",1128.0,"1166,0,0,,"
1129,1129,It is good for the environment and does not run out.,1129.0,"1167,0,0,,"
1130,1130,There is no or small loss of energy sources and the rate of environmental pollution is small.,1130.0,"1168,1,0,,1169,1,0,,"
1131,1131,"""We have limited use of fossil energy,",1131.0,"1170,1,0,,"
1132,1132,"This is because solar energy can be used indefinitely.""",1132.0,"1171,0,0,,"
1133,1133,"We don't use limited resources, but we use them as resources that can be used indefinitely",1133.0,"1172,1,1,,"
1134,1134,This is because the occurrence of co2 is reduced.,1134.0,"1173,1,0,,"
1135,1135,It doesn't run out like fossil fuels,1135.0,"1174,1,0,,"
1136,1136,Because there is little environmental pollution,1136.0,"1175,1,0,,"
1137,1137,"Using coal oil intensifies global warming due to greenhouse gases, but solar power is helpful because it is eco-friendly energy.",1137.0,"1176,0,0,,"
1138,1138,You can use your energy continuously,1138.0,"1177,0,1,,"
1139,1139,It doesn't burn,1139.0,"1178,0,1,,"
1140,1140,This is because sustainable energy is commonly used.,1140.0,"1179,0,1,,"
1141,1141,"Coal and oil are limited resources, but the sun is less restrictive and can be used longer",1141.0,"1180,0,1,,"
1142,1142,"""",1142.0,"1181,1,0,,"
1143,1143,Because I can keep making it,1143.0,"1182,1,0,,"
1144,1144,The future is getting better,1144.0,"1183,0,1,,"
1145,1145,I don't know.,1145.0,"1184,0,1,,"
1146,1146,There is no problem of energy depletion,1146.0,"1185,1,0,,"
1147,1147,It can prevent the destruction of the ozone layer.,1147.0,"1186,0,1,,"
1148,1148,This is because it can generate electricity from sunlight that does not affect the environment.,1148.0,"1187,0,1,,"
1149,1149,This is because fossil energy is depleted.,1149.0,"1188,0,1,,"
1150,1150,It can prevent environmental destruction in the future.,1150.0,"1189,0,1,,"
1151,1151,"Fossil energy such as oil and coal can be used without worrying about depletion because it is a finite energy resource that will someday be depleted, and natural energy such as solar power is infinite energy One day, I have to live with natural energy, so I have to develop it in advance",1151.0,"1190,1,1,,"
1152,1152,This is because solar power can be used continuously by changing the necessary parts,1152.0,"1191,1,0,,"
1153,1153,"This is because fossil energy is not used as renewable energy, which is good for the global environment.",1153.0,"1192,1,1,,"
1154,1154,I don't know,1154.0,"1193,1,0,,"
1155,1155,There's no environmental pollution,1155.0,"1194,0,1,,"
1156,1156,Solar energy is infinite energy that doesn't disappear,1156.0,"1195,0,0,,"
1157,1157,Because the sun is almost permanent energy,1157.0,"1196,0,1,,"
1158,1158,"When used with coal or oil, it is eco-friendly without causing environmental pollution",1158.0,"1197,1,0,,"
1159,1159,I don't know,1159.0,"1198,1,0,,1199,1,0,,"
1160,1160,There are many long-term aspects such as resource depletion,1160.0,"1200,0,0,,"
1161,1161,Because solar energy is infinite.,1161.0,"1201,1,1,,"
1162,1162,"There is no limit to getting energy, it is environmentally friendly",1162.0,"1202,1,0,,"
1163,1163,Coal and fire go well together,1163.0,"1203,1,0,,"
1164,1164,It's natural energy,1164.0,"1204,0,0,,"
1165,1165,"Fossil energy such as coal and oil is unstable limited energy that can be depleted later, but solar energy is energy that can be used indefinitely, so the possibility of researching and developing without worrying about energy in the future becomes infinite. Therefore, if the same cost is incurred, it seems that it is a better choice to use renewable energy such as solar energy, which is richer and more stable energy.",1165.0,"1205,1,1,,"
1166,1166,"Fossil fuels are limited and will one day run out, so it will be helpful for our country to survive",1166.0,"1206,0,0,,"
1167,1167,It is almost easy to get solar energy because of the sun in this world.,1167.0,"1207,0,0,,"
1168,1168,There are so many resources,1168.0,"1208,0,0,,"
1169,1169,Energy conservation,1169.0,"1209,1,1,,"
1170,1170,"The sun is not limited in amount, so it can be used for life",1170.0,"1210,0,1,,"
1171,1171,"This is because solar energy is steadily supplied, but fossil energy is limited.",1171.0,"1211,1,0,,"
1172,1172,"This is because solar energy is steadily supplied, but fossil energy is limited.",1172.0,"1212,1,0,,"
1173,1173,without restriction,1173.0,"1213,1,0,,"
1174,1174,"Coal and oil are limited resources and the amount of oil varies from country to country, so it will soon disappear, but solar power will continue as long as the sun does not disappear, which helps sustainable development.",1174.0,"1214,0,1,,"
1175,1175,"The energy from solar energy is infinite and is more environmentally friendly than fossil energy, so there is a possibility of continuous development",1175.0,"1215,0,0,,"
1176,1176,"Because it's renewable energy, there's no possibility of depletion.",1176.0,"1216,0,0,,"
1177,1177,It's energy that can be produced continuously,1177.0,"1217,1,0,,"
1178,1178,"Later, fossil energy such as coal and oil will disappear in the near future.",1178.0,"1218,0,0,,"
1179,1179,"They don't use resources, they use solar power",1179.0,"1219,0,1,,"
1180,1180,"Oil coal is limited, but solar can be made",1180.0,"1220,1,0,,"
1181,1181,"Because it's natural energy, it doesn't cause global warming and it produces indefinitely",1181.0,"1221,0,0,,"
1182,1182,"If you continue to use fossil energy, you can someday run out of fossil energy, and solar power uses sunlight to obtain electric energy, which helps sustainable development for the future.",1182.0,"1222,0,0,,"
1183,1183,"Since electricity is used a lot in life,",1183.0,"1223,0,0,,"
1184,1184,"""I don't want coal or oil",1184.0,"1224,0,1,,"
1185,1185,"I think it's because I can save it""",1185.0,"1225,0,1,,"
1186,1186,"Uh, because there's a lot of technology, coal's limited, and it's useless",1186.0,"1226,1,0,,"
1187,1187,"Coal and oil are limited, but solar power can last longer and be more useful because solar power does not disappear until the Earth is destroyedOil and coal will disappear over time, but the sun will not disappear, so installing solar power in your home will cost a lot of money, but you will benefit from it.",1187.0,"1227,0,1,,"
1188,1188,We can save electricity.,1188.0,"1228,0,0,,1229,1,0,,"
1189,1189,"You can save energy.""",1189.0,"1230,0,1,,"
1190,1190,"""Solar power generation has no energy limit compared to fossil energy",1190.0,"1231,1,1,,"
1191,1191,"It's not environmentally contaminated, so it can be used continuously.""",1191.0,"1232,1,0,,"
1192,1192,Energy is available indefinitely,1192.0,"1233,0,0,,"
1193,1193,"Fossil energy such as coal and oil has a fixed amount of reserves, so when used up, there is no more energy to use. However, although solar power is expensive to install, it is permanent unless the sun disappears compared to fossil energy.",1193.0,"1234,1,0,,"
1194,1194,"Oil and stone tablets are limited, but solar light can be made",1194.0,"1235,1,0,,"
1195,1195,It can supply electricity.,1195.0,"1236,1,1,,"
1196,1196,This is because carbon dioxide is reduced.,1196.0,"1237,1,0,,"
1197,1197,This is because air pollution is not achieved through emissions of greenhouse gases such as coal and oil.,1197.0,"1238,0,1,,"
1198,1198,Because it's eco-friendly energy!,1198.0,"1239,0,0,,"
1199,1199,"""It's eco-friendly energy""",1199.0,"1240,0,0,,"
1200,1200,"It could be a stable income rate.""",1200.0,"1241,0,1,,"
1201,1201,"Because coal and oil are limited resources, solar power is helpful",1201.0,"1242,0,0,,"
1202,1202,"Coal and oil are going to run out of energy, but solar energy is almost infinite, so we can use it a lot",1202.0,"1243,0,0,,"
1203,1203,Reduce carbon dioxide emissions,1203.0,"1244,0,0,,"
1204,1204,It can reduce carbon dioxide emissions,1204.0,"1245,1,0,,"
1205,1205,"Fossil energy has a finite amount of reserves, but solar energy can be used indefinitely",1205.0,"1246,1,0,,"
1206,1206,Because it does not pollute the environment,1206.0,"1247,0,1,,"
1207,1207,It causes less global pollution.,1207.0,"1248,1,0,,"
1208,1208,"Because solar power is powered by light from the sun, it has no reserves and is finite, so it costs a lot of initial installation, but it is more efficient for nature",1208.0,"1249,0,0,,"
1209,1209,Fossil energy seems to have a bad effect on the environment.,1209.0,"1250,1,0,,"
1210,1210,Because resources are not depleted and greenhouse gases are not emitted,1210.0,"1251,1,0,,"
1211,1211,Coal oil is a sustainable power generation because reserves are finite and solar power is infinite,1211.0,"1252,0,0,,"
1212,1212,"Solar power generation is not environmentally contaminated compared to coal oil, and coal oil is finite, while solar energy is infinite.",1212.0,"1253,1,1,,"
1213,1213,"Coal and oil are limited, but solar power is not limited, so solar power can last longer and be more useful.",1213.0,"1254,0,1,,"
1214,1214,It can reduce carbon dioxide emissions,1214.0,"1255,0,0,,"
1215,1215,This is because coal or oil does not affect environmental pollution.,1215.0,"1256,0,1,,"
1216,1216,There is no environmental pollution,1216.0,"1257,0,0,,"
