,Unnamed: 0,2) Why is the wind direction different during the day and at night in the sea and on land?,Unnamed: 0,", q46_temperature difference, q46_barometric pressure, q46_temperature difference.1,q46_barometric pressure.1"
807,807,Because the temperature varies by day and night in the sea and on land,807.0,"834,0,0,,"
808,808,"The land side with low specific heat is heated quickly or cooled quickly, and the sea side with high specific heat is heated slowly or cooled slowly. As a result, there is a temperature difference between both sides during the day/night, and heat moves due to convection, and air that transfers heat also moves together, resulting in wind, which is the flow of air.",808.0,"835,1,0,,"
809,809,There's a temperature difference,809.0,"836,0,0,,"
810,810,This is because it depends on the temperature difference.,810.0,"837,0,0,,"
811,811,It is different because of the specific heat of sand and water.,811.0,"838,0,1,,839,0,0,,"
812,812,"The land during the day is in a high temperature state, but the land at night cools quickly and maintains a lower temperature than the sea, so it is different.",812.0,"840,1,0,,"
813,813,The temperature of the sea and land varies between night and day,813.0,"841,1,1,,"
814,814,"During the day, the temperature of the sand is high, so the air moves up and fills it with air blowing from the sea.",814.0,"842,0,0,,"
815,815,"The specific heat of water is larger than sand, so water has little change in temperature, while sand has a large temperature change, resulting in rising air flow from sand during the day and rising air flow from water at night.",815.0,"843,1,0,,"
816,816,"Because the air moves from hot to cold, the land is hotter during the day, and the land winds blow because it is the opposite at night.",816.0,"844,0,0,,"
817,817,This is because the temperature difference between the land and the sea is different during the day and night.,817.0,"845,1,0,,"
818,818,explained above,818.0,"846,1,0,,"
819,819,"During the day, the air on the sea is dense and the density on the land is small, so the wind blows toward the land and at night, in the opposite case.",819.0,"847,0,0,,"
820,820,I don't know,820.0,"848,0,0,,"
821,821,This is because the speed at which land and sea are heated and cooled is different.,821.0,"849,0,0,,"
822,822,"During the day, the sea does not get hot easily and the land heats up quickly, so the wind blows from the sea to the land, while at night, the temperature is relatively lower and the wind blows from the land to the sea.",822.0,"850,0,0,,"
823,823,"Due to the higher specific heat of the sea, the temperature of the sea is low during the sunny day, so the wind blows from the land to the sea, and the temperature of the sea is higher at night, so the wind blows from the sea to the land.",823.0,"851,0,1,,"
824,824,"This is because the temperature of the land with a small specific heat during the day is higher than that of the sea, and the temperature of the land at night is lower than that of the sea.",824.0,"852,1,0,,"
825,825,"""In the daytime, the sea with a high specific heat is low and the land is high",825.0,"853,1,0,,"
826,826,"""Because there is no sunlight at night, the sea with high heat is hot and the land is cold.""",826.0,"854,0,0,,"
827,827,"This is because the specific heat of the water is greater than the specific heat of the land, so the air flow caused by the heat being heated slowly during the day and cooling slowly at night is different between the sea and the land.",827.0,"855,0,0,,"
828,828,This is because the land is hotter than the sea during the day and the sea is relatively warm at night.,828.0,"856,1,0,,"
829,829,The direction is different because of the wind created by the pressure difference.,829.0,"857,1,0,,"
830,830,"Due to the difference in specific heat, the land heated during the day cools quickly and the sea cools relatively less, resulting in higher temperatures on the land during the day and higher temperatures on the sea side at night.",830.0,"858,1,0,,"
831,831,This is because the temperature of the sandy beach is high during the day and the temperature of the water is high at night.,831.0,"859,0,0,,"
832,832,This is because the air pressure difference varies depending on the day and night.,832.0,"860,1,0,,"
833,833,It is because of the specific heat difference between water and sand.,833.0,"861,1,0,,"
834,834,This is because the temperature difference follows.,834.0,"862,1,0,,"
835,835,"This is because the specific heat of the sea and the land is different. The direction of the wind changes because the land is easily heated during the day, the sea is slowly heated, the land is easily cooled at night, and the sea is slowly cooled.",835.0,"863,1,0,,"
836,836,I wanted to do that's why,836.0,"864,1,0,,"
837,837,"Because water has a large specific heat, the temperature does not drop or rise easily. Therefore, at night, the temperature of the land is lower than that of the sea, and during the day, the temperature of the water is colder than that of the land, so the direction of the wind appears opposite to each other.",837.0,"865,1,0,,"
838,838,This is because the temperature of day and night is different due to the difference between the specific heat of the land and the sea.,838.0,"866,1,0,,"
839,839,The speed of rotation changes,839.0,"867,0,0,,"
840,840,I don't know.,840.0,"868,1,0,,869,1,0,,"
841,841,I don't know,841.0,"870,0,0,,"
842,842,a difference in temperature difference,842.0,"871,0,0,,"
843,843,a difference in temperature,843.0,"872,0,0,,"
844,844,"Because the temperature difference between the sea and the land is big during the day and night,",844.0,"873,1,0,,"
845,845,This is because the temperature difference between day and night varies due to the large specific heat of the water.,845.0,"874,1,0,,"
846,846,"During the day, the land temperature is higher, and at night, the sea is higher, so the atmospheric pressure changes But since the wind blows from a high atmospheric pressure to a low one, the direction of the wind will change",846.0,"875,1,0,,"
847,847,"Because of the temperature difference,",847.0,"876,0,0,,"
848,848,Science...,848.0,"877,1,0,,"
849,849,"Sand beaches and water have different specific heat, which is the amount of heat required to raise 1g of substance by 1 degree Celsius. The water has a higher specific heat than the sandy beach, which means that the amount of heat required to raise the water by one degree is greater than the amount of heat required to raise the sandy beach by one degree. In short, even if water and sand are heated in the same amount of heat, water is heated slower than sand. And in other words, if water and sand are heated to the same temperature, water cools slower than sand. The wind direction is different because the wind moves from the relatively cold sea to the relatively hot land during the day and from the relatively cold sandy beach to the relatively hot sea at night.",849.0,"878,1,0,,"
850,850,a heat solder,850.0,"879,1,0,,"
851,851,Due to convection phenomenon,851.0,"880,0,0,,"
852,852,a barometric difference,852.0,"881,0,0,,"
853,853,ㅁㄹㅇ,853.0,"882,1,0,,"
854,854,"The temperature of the land changes well, but the temperature of the sea doesn't change well",854.0,"883,1,0,,"
855,855,This is because the difference in pressure is reversed because the sandy beach is hot during the day and the sea is hot at night.,855.0,"884,0,0,,"
856,856,Hah!,856.0,"885,0,0,,"
857,857,The temperature changed,857.0,"886,1,0,,"
858,858,Time and wealth are different,858.0,"887,1,0,,"
859,859,This is because the temperature of the sea gets colder at night.,859.0,"888,0,1,,"
860,860,This is because the temperature of the sea gets lower at night.,860.0,"889,1,0,,"
861,861,This is because the wind power of the wind from the sea is different between day and night.,861.0,"890,1,0,,"
862,862,The heating time and cooling time are different,862.0,"891,1,0,,"
863,863,"During the day, there is wind from the sea and during the day, there is wind from the sea",863.0,"892,1,0,,"
864,864,During the day it is windy at sea and at night it is windy on land,864.0,"893,1,0,,"
865,865,The pressure difference is different,865.0,"894,1,0,,"
866,866,the difference between sea and land temperature,866.0,"895,1,0,,"
867,867,the difference between ocean and land temperature,867.0,"896,1,0,,"
868,868,ㅋ,868.0,"897,0,0,,"
869,869,I don't know,869.0,"898,1,0,,899,1,0,,"
870,870,Because there's a big difference in specific heat,870.0,"900,1,0,,"
871,871,a difference in temperature difference,871.0,"901,1,0,,"
872,872,This is because the sandy beach is hotter during the day and the sea water is hotter at night.,872.0,"902,1,0,,"
873,873,Because the ocean is warmer (wink),873.0,"903,0,0,,"
874,874,There's a difference in the specific heat,874.0,"904,1,0,,"
875,875,This is because of the difference in specific heat between the sea and the land.,875.0,"905,1,0,,"
876,876,"At night, the sea is hotter, and during the day, the land temperature is higher, so the direction is different",876.0,"906,1,0,,"
877,877,"At night, the ground is low and the sea is low during the day",877.0,"907,0,0,,"
878,878,"Water has a high specific heat, so the temperature of the land does not change well, and the temperature of the land changes relatively well, because the temperature of the sea is higher than that of the land at night and the temperature of the land is higher than that of the sea",878.0,"908,0,0,,"
879,879,Because of the temperature difference caused by the specific heat,879.0,"909,1,0,,"
880,880,There's a temperature difference,880.0,"910,1,0,,"
881,881,the sun and moon,881.0,"911,0,0,,"
882,882,This is because the temperatures of the sea and land are different at night and day.,882.0,"912,0,0,,"
883,883,Because the temperature of water and sand increases and the cooling time is different,883.0,"913,1,0,,"
884,884,.,884.0,"914,0,0,,"
885,885,I don't know.,885.0,"915,0,0,,"
886,886,It's because it's a land wind and a sea wind,886.0,"916,1,0,,"
887,887,"During the day, the sand is hotter than water by sunlight, and at night, the sand cools down faster, so it is colder than water",887.0,"917,0,0,,"
888,888,"During the day, the land temperature is higher and the sea is higher at night",888.0,"918,1,0,,"
889,889,the specific heat of water,889.0,"919,1,0,,"
890,890,Get on the monkey's buttThis is because the temperature varies from day to night.,890.0,"920,0,0,,"
891,891,"During the day, the sea is lower than the land, and at night, the sea is higher than the land",891.0,"921,0,0,,"
892,892,specific heat dissipation,892.0,"922,0,0,,"
893,893,Same as the previous answer,893.0,"923,1,0,,"
894,894,I don't know.,894.0,"924,1,1,,"
895,895,It is because of the difference in specific heat between the sea and the land.,895.0,"925,1,1,,"
896,896,"During the day, the land is hot, the sea is less hot, and at night, the land is colder, and the sea is less cold, so the specific heat is different",896.0,"926,1,0,,"
897,897,It is because of the land wind and the sea wind.,897.0,"927,0,0,,"
898,898,This is because the cycles of night and day are different.,898.0,"928,0,0,,929,1,0,,"
899,899,Because the temperature of the sea and land is inversely proportional to each other day and night,899.0,"930,1,0,,"
900,900,"Because the sea is composed of water, the specific heat is large, so the sea is warmer at night and the land is warmer in summer, so this temperature difference changes the direction of the wind",900.0,"931,0,0,,"
901,901,"The land is lower than the sea during the day, but the wind direction is different because it is higher than the sea at night",901.0,"932,1,0,,"
902,902,This is because the temperature of the land and the sea is different.,902.0,"933,1,0,,"
903,903,It's because they have different specific heat,903.0,"934,0,0,,"
904,904,This is because the specific heat of the water is greater than the specific heat of the land.,904.0,"935,1,0,,"
905,905,Because water and sand have different specific heat,905.0,"936,1,0,,"
906,906,It's because the temperature difference is so great,906.0,"937,0,0,,"
907,907,"During the day, the temperature of the land is high and the temperature of the sea is high at night",907.0,"938,1,0,,"
908,908,This is because of the difference in specific heat between land and sea.,908.0,"939,0,0,,"
909,909,This happens because the sea is hot during the day and the land is relatively cold at night because the sea is hot and the land is relatively cold due to the small specific heat,909.0,"940,0,0,,"
910,910,I don't know.,910.0,"941,1,0,,"
911,911,It's because of the meanness of the water,911.0,"942,0,0,,"
912,912,Because of the difference in specific heat,912.0,"943,0,0,,"
913,913,It's warm during the day and cold at night,913.0,"944,0,0,,"
914,914,There's a difference in temperature,914.0,"945,1,0,,"
915,915,"Since the specific heat of the land is lower than the specific heat of the sea, the air temperature on the land side is higher than the air temperature on the sea side during the day, and the air on the sea side is higher than the air on the land side at night.",915.0,"946,0,0,,"
916,916,It's day and night,916.0,"947,0,0,,"
917,917,"Since the specific heat of the sea is relatively higher than the specific heat of the sandy beach, the temperature of the sandy beach is relatively higher during the day and the temperature of the sea at night, so the direction of the wind changes during the day and night.",917.0,"948,0,0,,"
918,918,The reason why the direction of the wind is different during the day and at night is different because the temperature and specific heat of the land and the sea are different.,918.0,"949,0,0,,"
919,919,Because of the specific heat difference,919.0,"950,0,0,,"
920,920,The direction of the waves is different,920.0,"951,0,0,,"
921,921,"During the day, the temperature of the sea is higher, and at night, the temperature of the land is higher",921.0,"952,1,0,,"
922,922,The wind moves from the hot to the cold,922.0,"953,1,0,,"
923,923,It's hot during the day and cold at night,923.0,"954,1,0,,"
924,924,?,924.0,"955,1,0,,"
925,925,I don't know.,925.0,"956,1,0,,"
926,926,Because of the temperature difference,926.0,"957,1,0,,"
927,927,This is because there is a sea wind during the day and a land wind at night.,927.0,"958,1,0,,959,1,0,,"
928,928,I don't know,928.0,"960,1,0,,"
929,929,The temperature changed,929.0,"961,1,1,,"
930,930,It's because the air is convection,930.0,"962,1,0,,"
931,931,a difference in temperature difference,931.0,"963,0,0,,"
932,932,The beach is hot during the day and the beach is cold at night,932.0,"964,1,0,,"
933,933,"During the day, it is windy on land, and at night, it is windy on the sea.",933.0,"965,0,0,,"
934,934,I don't understand.,934.0,"966,0,0,,"
935,935,That's what I did,935.0,"967,0,0,,"
936,936,The temperature is different,936.0,"968,0,0,,"
937,937,This is because the temperature of the sea is different from the air pressure of the ground.,937.0,"969,0,0,,"
938,938,"""",938.0,"970,0,0,,"
939,939,"The sea slowly heats up and cools down, and the land heats up quickly and cools down quickly. Therefore, the land is hotter during the day and the sea is hotter at night. As described above, the direction of the wind blowing during the day and night is different because the air pressure in the cold place is high and the air pressure in the hot place is low, and the wind blows from high pressure to low pressure.",939.0,"971,1,0,,"
940,940,"""",940.0,"972,0,0,,"
941,941,Share Favorites,941.0,"973,0,0,,"
942,942,,942.0,"974,0,0,,"
943,943,"Hot air goes up and cold air goes down. The wind is blowing because the air moves. The opposite direction of the wind at day and night on the beach is because the temperature of the air above the land and the sea is different. During the day, the land heats up faster than the sea. The hot air on the land rises and fills the empty space created by the air moving from the sea side. As the air moves, the sea breeze blows from the sea to the land",943.0,"975,0,0,,"
944,944,"""",944.0,"976,0,0,,"
945,945,I don't know.,945.0,"977,0,0,,"
946,946,It's because the sun is shining.,946.0,"978,0,0,,"
947,947,"During the day, the sandy beach is heated by the sun to heat up the air, but at night, the seawater absorbs the sun and the heat from the sandy beach to heat up, creating another infinite loop that cools and fills the sea",947.0,"979,0,0,,"
948,948,"During the day, the sandy beach is hot because of the sun's heat, but at night, it absorbs the heat of the sandy beach and it is hot",948.0,"980,0,0,,"
949,949,I don't know,949.0,"981,1,0,,"
950,950,This is because the temperature that cools during the day and at night is different. ^오^,950.0,"982,0,0,,"
951,951,"During the day, the temperature of the land's sand is hotter than the sea because it receives the heat of the sun, so the land wind blows from the land to the sea during the day, and the sand cools faster in the rice, so the sea wind blows from the sea temperature is higher.",951.0,"983,0,0,,"
952,952,"Because of the ebb and flow,",952.0,"984,0,0,,"
953,953,"The wind of day and night has a sea breeze, and the reason why the sea breeze blows during the day is because the cold air rises up and blows toward the land, and the reason why the sea is warmer at night.",953.0,"985,0,0,,"
954,954,There is a difference in temperature.,954.0,"986,0,0,,"
955,955,Because the direction of the tide and ebb are different,955.0,"987,0,0,,"
956,956,This is because there is a difference in temperature between the sea and the sandy beach.,956.0,"988,0,0,,989,0,0,,"
957,957,The direction of the wind is different because the direction of the tide is different from the direction of the tide,957.0,"990,0,0,,"
958,958,"The direction of the wind in the day and room is sea wind and meat wind, but the wind blows during the day and at night, so it is low and the direction of the wind in the room is different",958.0,"991,0,0,,"
959,959,The temperature changes day and night,959.0,"992,1,0,,"
960,960,"It's because there's a sea breeze during the day, and there's breeze at night",960.0,"993,0,0,,"
961,961,I don't know.,961.0,"994,1,0,,"
962,962,There's a land wind and a sea wind,962.0,"995,0,0,,"
963,963,"""In the daytime, the temperature on the land is higher than the sea",963.0,"996,1,0,,"
964,964,"""At night, the temperature of the sea is higher than that of the land.""",964.0,"997,1,0,,"
965,965,"In the morning, it's on the sand and at night, it's",965.0,"998,1,0,,"
966,966,I don't know,966.0,"999,1,0,,"
967,967,I don't know.,967.0,"1000,0,0,,"
968,968,Because of the difference between the sun and the sun?,968.0,"1001,1,0,,"
969,969,I don't know,969.0,"1002,1,0,,"
970,970,It is because there is a sea wind during the day and a land wind at night.,970.0,"1003,1,0,,"
971,971,Because the air temperature is different on land and on the sea,971.0,"1004,1,0,,"
972,972,The temperature of the sand is different,972.0,"1005,1,0,,"
973,973,"This is because cold air from the sea blows toward the land during the day, and the sea is warmer at night.",973.0,"1006,1,0,,"
974,974,"""When the wind blows during the day, the cold air of the sea rises and blows toward the land,",974.0,"1007,1,0,,"
975,975,"The wind blows at night because the sea is warmer at night, so the direction of the wind at night and day are different.""",975.0,"1008,1,0,,"
976,976,"The land, which gets hot and cools quickly, will be heated first. Then the air on the heated ground is brought up by convection, and the air from the sea comes and fills the void. The wind blows from the sea to the land",976.0,"1009,1,1,,"
977,977,"On the contrary, the sea is slower than the ground, as well as the speed at which it is heated by sunlight.",977.0,"1010,1,1,,"
978,978,"At night, the sea, which had been slowly heated, cools down slower than the land, so the temperature is higher than that of the first cooled land.  So the air from the sea goes up.""",978.0,"1011,0,0,,"
979,979,"There is a property that cold air is at the bottom and hot air is at the top, and the temperature of the sea is constant, and the temperature of the sandy beach is more hot due to hot sunlight during the day, so it feels relatively hot and cool at night.",979.0,"1012,1,0,,"
980,980,This is because hot air goes up and cold air goes down.,980.0,"1013,1,0,,"
981,981,"The proper rate of heating and cooling during the day will heat up the land first. Then, the air on the heated ground is raised by convection, and the empty space is filled by the air of the sea, at which time the wind blows from the sea to the land.",981.0,"1014,1,0,,"
982,982,"On the contrary, at night, the heated sea cools slower than the land, so the temperature is higher than that of the first cooled land.So, the air from the sea goes up, and the air from the land flows toward the sea, and the wind blows.""",982.0,"1015,1,0,,"
983,983,The wind direction is different because it is hot during the day and cold at night.,983.0,"1016,0,0,,"
984,984,"During the day, the land with smaller specific heat heats up faster than the sea, so the land temperature is higher, so the air pressure of the land with higher temperatures is lower and the air pressure of the sea with lower temperatures is higher. Therefore, it becomes a sea breeze because it moves from a high atmospheric pressure to a low pressure.",984.0,"1017,0,0,,"
985,985,"At night, the sea cools slower than the land, and the temperature of the sea is higher, so the high-temperature sea has low air pressure and the low-temperature land pressure, causing land winds to blow from land to sea.""",985.0,"1018,0,0,,1019,0,0,,"
986,986,It's hot during the day and cold at night,986.0,"1020,0,0,,"
987,987,I don't know.,987.0,"1021,1,0,,"
988,988,This is because the land is warm during the day and the sea is warmer than the land at night.,988.0,"1022,0,0,,"
989,989,Don't knowI don't know.,989.0,"1023,1,0,,"
990,990,I don't know.,990.0,"1024,1,0,,"
991,991,The time difference is different,991.0,"1025,0,0,,"
992,992,I don't know.,992.0,"1026,1,0,,"
993,993,I don't know. Sorry,993.0,"1027,0,0,,"
994,994,There's a temperature difference,994.0,"1028,1,0,,"
995,995,Because of the echo on the moon?,995.0,"1029,1,0,,"
996,996,Don't know,996.0,"1030,0,0,,"
997,997,I don't know,997.0,"1031,0,0,,"
998,998,The sun went down differently,998.0,"1032,1,0,,"
999,999,I don't know,999.0,"1033,1,0,,"
1000,1000,Because the time when the wind blows is different,1000.0,"1034,1,0,,"
1001,1001,Because of the reverberation of the moon,1001.0,"1035,0,0,,"
1002,1002,Day and night keep changing,1002.0,"1036,1,0,,"
1003,1003,I'll drain the water,1003.0,"1037,1,0,,"
1004,1004,There's a temperature difference between day and night,1004.0,"1038,1,0,,"
1005,1005,The earth revolves around the sun,1005.0,"1039,1,0,,"
1006,1006,I don't know,1006.0,"1040,1,0,,"
1007,1007,I don't know,1007.0,"1041,0,0,,"
1008,1008,It's humid at night,1008.0,"1042,0,0,,"
1009,1009,I don't know.,1009.0,"1043,0,0,,"
1010,1010,I don't know.,1010.0,"1044,1,0,,"
1011,1011,The speed of the wind is different at each time,1011.0,"1045,0,0,,"
1012,1012,I don't know,1012.0,"1046,0,0,,"
1013,1013,I don't know.,1013.0,"1047,1,0,,"
1014,1014,I don't know,1014.0,"1048,0,0,,1049,1,0,,"
1015,1015,This is because the direction of the wind varies depending on the temperature of the air during the day and night,1015.0,"1050,1,0,,"
1016,1016,"During the day, the sun is hot, so warm water goes up, and at night, the cold seawater goes down because it is cold around the beach.",1016.0,"1051,0,0,,"
1017,1017,High temperature position varies,1017.0,"1052,1,0,,"
1018,1018,It is because of the land wind and the sea wind.,1018.0,"1053,1,0,,"
1019,1019,Because the heat of the sea is low,1019.0,"1054,1,0,,"
1020,1020,The temperature of the earth's surface is different,1020.0,"1055,1,1,,"
1021,1021,This is because the place where the temperature is high changes. because of the specific heat of the water,1021.0,"1056,1,0,,"
1022,1022,The temperature is different between day and night,1022.0,"1057,1,0,,"
1023,1023,The earth is fickle,1023.0,"1058,0,0,,"
1024,1024,This is because the temperature is different between day and night.,1024.0,"1059,0,0,,"
1025,1025,This is because the sea heats up later than the land and cools later.,1025.0,"1060,1,0,,"
1026,1026,"Because the specific heat of the sea and the land is different, the temperature of the land during the day is higher than that of the sea, and the direction of the wind is different because the temperature of the land at night is lower than that of the sea.",1026.0,"1061,1,0,,"
1027,1027,"This is because the temperature of the land is higher during the day, but the temperature of the sea water is higher at night.",1027.0,"1062,0,0,,"
1028,1028,"Water has a large specific heat, so the temperature is almost constant, but the temperature changes on land.",1028.0,"1063,0,0,,"
1029,1029,"During the day, the temperature of the land is higher and the temperature of the sea is higher at night, and cold air blows as it forms an empty spot, as written in the problem above.",1029.0,"1064,1,0,,"
1030,1030,It is because the land is hot during the day and the sea is hot at night,1030.0,"1065,0,0,,"
1031,1031,"This is because the specific heat of the sea and the land is different, resulting in a temperature difference between the land and the sea.",1031.0,"1066,0,0,,"
1032,1032,"Because of the air pressure caused by the temperature difference,",1032.0,"1067,1,0,,"
1033,1033,"Land, which has a smaller heat capacity than the sea, will lower the temperature faster, so the air in the sea with higher temperatures will rise and become a low pressure. So wind blows from land to sea as opposed to day.",1033.0,"1068,1,0,,"
1034,1034,Because of gravity,1034.0,"1069,0,0,,"
1035,1035,"During the day, the land temperature is higher than the sea, and at night, the land temperature is lower than the sea",1035.0,"1070,1,0,,"
1036,1036,"During the day, the temperature of the land is high and the temperature of the sea is high at night, so I think the position of the temperature difference changes, so the direction of the wind changes.",1036.0,"1071,0,0,,"
1037,1037,The temperature difference between the sandy beach and the sea water changed,1037.0,"1072,0,0,,"
1038,1038,the temperature difference between sand and the sea,1038.0,"1073,1,0,,"
1039,1039,Because the difference between day and night is different,1039.0,"1074,0,0,,"
1040,1040,Because the difference between day and night is different,1040.0,"1075,1,0,,"
1041,1041,It is because the water evaporates a lot during the day and the wind is strong and the sun is not exposed at night,1041.0,"1076,1,0,,"
1042,1042,Morgasvina of France,1042.0,"1077,1,0,,"
1043,1043,Since it's night time,1043.0,"1078,1,0,,1079,1,0,,"
1044,1044,"Because of the temperature difference,",1044.0,"1080,1,0,,"
1045,1045,I don't know,1045.0,"1081,0,0,,"
1046,1046,The train,1046.0,"1082,0,0,,"
1047,1047,It's because of the temperature difference,1047.0,"1083,1,0,,"
1048,1048,Sea and land winds blow depending on the time,1048.0,"1084,1,0,,"
1049,1049,a difference in specific heat,1049.0,"1085,1,0,,"
1050,1050,Because it blows from land to sea during the day and from sea to day at night,1050.0,"1086,1,0,,"
1051,1051,Because of the temperature difference between the land and the sea during the day and night,1051.0,"1087,1,0,,"
1052,1052,This is because the land cools faster.,1052.0,"1088,1,0,,"
1053,1053,Rising air flow from sand during the day and rising air flow from the sea at night,1053.0,"1089,1,0,,"
1054,1054,the moxibustion of the sun,1054.0,"1090,1,0,,"
1055,1055,Because the temperature difference between land and sea is different day and night,1055.0,"1091,1,0,,"
1056,1056,Temperature differential.,1056.0,"1092,0,0,,"
1057,1057,"The sand is heating, cooling off rapidly, and as soon as possible choose slow, direction and water is warmed neurige it gets cold.",1057.0,"1093,1,0,,"
1058,1058,열의 위치가 다르기 때문이다,1058.0,"1094,1,0,,"
1059,1059,"The days are warmer than the sea, land on the temperature falls below the sea on land at night.",1059.0,"1095,1,0,,"
1060,1060,Specific heat of land and sea margin.,1060.0,"1096,1,0,,"
1061,1061,Hotter than the sea and land during the day because hotter than the land of the night sea.,1061.0,"1097,0,1,,"
1062,1062,Mean difference.,1062.0,"1098,0,0,,"
1063,1063,"Land base is small by day, hotter and colder at night.",1063.0,"1099,1,0,,"
1064,1064,I don't know.,1064.0,"1100,1,0,,"
1065,1065,"""",1065.0,"1101,1,0,,"
1066,1066,Ikkuyoit,1066.0,"1102,1,0,,"
1067,1067,ㅇ,1067.0,"1103,1,0,,"
1068,1068,"육지에서 바다로, 바다에서 육지로 불기 때문에 (온도차",1068.0,"1104,1,0,,"
1069,1069,.,1069.0,"1105,1,0,,"
1070,1070,I don't know,1070.0,"1106,1,0,,"
1071,1071,"The water warmed later than the ground, but the dishes later.",1071.0,"1107,1,0,,"
1072,1072,.,1072.0,"1108,1,0,,1109,1,0,,"
1073,1073,Due to the temperature differential,1073.0,"1110,1,0,,"
1074,1074,Wind direction by the temperature difference.,1074.0,"1111,1,0,,"
1075,1075,Mollayong,1075.0,"1112,1,0,,"
1076,1076,"The temperature of the sea does not decrease well compared to the land, and the wind goes from cool to warm places",1076.0,"1113,1,0,,"
1077,1077,It is because the temperature of the sea and land is different between day and night,1077.0,"1114,1,0,,"
1078,1078,It is because the temperature of the sea and land is different during the day and night,1078.0,"1115,1,0,,"
1079,1079,"This is because the specific heat of the sand is large during the day from the beach, so the temperature is higher than that of the sea, so the wind blows toward the sea, which is low pressure, and the sand cools faster at night, making the wind blow from the sea to the land.",1079.0,"1116,0,0,,"
1080,1080,"The temperature of the sea rises slowly during the day, and the land rises faster, so the land is hotter than the sea, so it blows to the sea→land, but at night, the land cools quickly and the sea cools slowly, so the wind blows to the land→sea.",1080.0,"1117,1,0,,"
1081,1081,Because the temperature of the land is high during the day and the temperature of the sea is high at night,1081.0,"1118,1,0,,"
1082,1082,I don't know,1082.0,"1119,1,0,,"
1083,1083,I don't know.,1083.0,"1120,1,0,,"
1084,1084,"Because of the temperature difference,",1084.0,"1121,0,0,,"
1085,1085,I don't know.,1085.0,"1122,1,0,,"
1086,1086,The temperature of the land and the sea is different during the day and night,1086.0,"1123,0,0,,"
1087,1087,I don't know.,1087.0,"1124,1,0,,"
1088,1088,"This is because the land has a lower specific heat than the sea, so it heats up faster during the day and cools faster at nightI don't know.",1088.0,"1125,0,0,,"
1089,1089,I don't know.,1089.0,"1126,1,0,,"
1090,1090,"During the day, the land temperature is higher and the sea temperature is higher at night",1090.0,"1127,0,0,,"
1091,1091,The temperature of the land during the day is high at night,1091.0,"1128,0,0,,"
1092,1092,I don't know.,1092.0,"1129,0,0,,"
1093,1093,This is because the temperature has changed.,1093.0,"1130,0,0,,"
1094,1094,Because the temperature of the sea and land are different,1094.0,"1131,0,0,,"
1095,1095,There is the sun during the day and there is not much sun at night,1095.0,"1132,1,0,,"
1096,1096,Because of the convection of temperature,1096.0,"1133,0,0,,"
1097,1097,Because the earth rotates,1097.0,"1134,0,0,,"
1098,1098,"During the day, land and sea temperatures are high at night",1098.0,"1135,1,0,,"
1099,1099,"The land has a lower specific heat than the sea, so there is a greater temperature difference than the sea during the day. Therefore, even though the same energy is received for a day, the temperature is higher than that of the sea during the day, and the air flows below it, while the temperature of the sea is higher at night, so the air on the sea rises and the air on the land flows toward the sea.",1099.0,"1136,0,0,,"
1100,1100,due to the heat exhaustion,1100.0,"1137,1,0,,"
1101,1101,This is because the temperature difference between the sea and the land is different from where the rising airflow occurs.,1101.0,"1138,0,0,,1139,0,0,,"
1102,1102,"Since the specific heat of the land is lower than the specific heat of the sea, the temperature of the land is higher during the day, so the wind blows from the sea to the land due to the influence of convection, and the temperature of the land is lower at night, so the wind blows from the land to the sea.",1102.0,"1140,0,0,,"
1103,1103,"Because the sea cools slower than the land,",1103.0,"1141,0,0,,"
1104,1104,I don't know.,1104.0,"1142,0,0,,"
1105,1105,Because of the sea moon,1105.0,"1143,0,1,,"
1106,1106,Because the temperature of the ground is high during the day and the sea is high at night,1106.0,"1144,1,0,,"
1107,1107,The land is hotter during the day and the sea is hotter at night,1107.0,"1145,0,0,,"
1108,1108,The water is hot at night and the ground is hotter during the day,1108.0,"1146,0,0,,"
1109,1109,warm and cold air,1109.0,"1147,0,0,,"
1110,1110,"During the day, the sea is less hot, the land is hot, and at night, the sea is less cold, and the land is colder",1110.0,"1148,1,0,,"
1111,1111,"During the day, the sea is less hot, the land is hot, and at night, the sea is less cold, and the land is colder",1111.0,"1149,0,0,,"
1112,1112,Because of the temperature difference,1112.0,"1150,1,0,,"
1113,1113,This is because the degree of hot air is different between day and night.,1113.0,"1151,1,0,,"
1114,1114,a difference in temperature,1114.0,"1152,0,0,,"
1115,1115,The direction of the wind is different,1115.0,"1153,1,0,,"
1116,1116,"During the day, the land is hot and at night, the land is cold",1116.0,"1154,1,0,,"
1117,1117,"This is because the sand on the sandy beach and the water on the sea are different, so the temperature of the sandy beach is high during the day, but the temperature of the sea is higher at night.",1117.0,"1155,0,0,,"
1118,1118,Because the wind comes from the left during the day and from the right because it is cold at night,1118.0,"1156,0,0,,"
1119,1119,"Because of the temperature change,",1119.0,"1157,1,0,,"
1120,1120,"Air goes from high to low, so wind blows from land to sea during the day and from sea to land at night.",1120.0,"1158,1,0,,"
1121,1121,Because of the sun,1121.0,"1159,1,0,,"
1122,1122,"This is because the temperature of land with small specific heat is higher during the day, and the temperature of the sea with large specific heat is higher at night.",1122.0,"1160,0,0,,"
1123,1123,"This is because water and land have different specific heat, so the rate of heating and cooling is different.",1123.0,"1161,0,0,,"
