,Unnamed: 0,"2) What happens in the future if you use a lot of fossil energy, such as coal or oil?",Unnamed: 0,", q44_depleted, q44_environmental pollution, q44_depleted.1,q44_environmental pollution.1"
739,739,"If ""fossil energy"" such as coal and oil is used a lot, greenhouse gases such as carbon dioxide will generate a lot of global temperatures, melting many areas of glaciers, destroying the Arctic ecosystem, and increasing the volume of the Earth's oceans due to thermal expansion, resulting in cities with higher average sea levels. In addition, the amount of carbon dioxide in the atmosphere increases, and when it rains, it combines with carbon dioxide in the air to produce acid rain. Because of this, the soil will be acidified, which will severely damage agriculture and adversely affect the ecosystem.",739.0,"764,1,0,,"
740,740,"The high use of fossil energy such as coal and oil has a great impact on the Earth's environment. It will cause global warming, which will raise the temperature of the Earth, and various social problems will also be accompanied. In addition, because the reserves of fossil energy are limited, if we continue to use fossil energy, if resources are depleted someday and we cannot find many energy sources to replace them, the energy needed for our lives may be insufficient.",740.0,"765,0,0,,"
741,741,"Greenhouse gases cause water molecules to expand and glaciers to melt, causing global warming, rising sea levels, causing several islands to disappear and melting Arctic and Antarctic glaciers to disappear, causing creatures to disappear and weather changes due to seawater temperature changes. The loss of Earth's ability to self-purify itself can also cause many serious problems.",741.0,"766,1,1,,"
742,742,Global warming is coming,742.0,"767,0,0,,"
743,743,I can't do many activities,743.0,"768,1,1,,"
744,744,Environmental pollution or money is very expensive,744.0,"769,1,0,,"
745,745,Environmental problems arise in the future,745.0,"770,0,1,,"
746,746,There may be a shortage of coal and oil.,746.0,"771,0,0,,"
747,747,Energy is not available because resources are depleted.,747.0,"772,0,0,,"
748,748,"Later on, your grandchildren won't be able to take care of you",748.0,"773,1,1,,"
749,749,Coal oil is likely to run out and live off less energy.,749.0,"774,0,0,,"
750,750,"In the future, coal and oil may become scarce",750.0,"775,1,1,,"
751,751,"It's likely that environmentally harmful substances will come out, destroying the natural environment and producing bad results.",751.0,"776,1,1,,"
752,752,We need a lot of fossil fuels.,752.0,"777,1,0,,"
753,753,"If you keep going through fossil energy, there will be a problem where you make fossil energy, so you won't be able to use a lot of fossil energy",753.0,"778,0,0,,779,0,1,,"
754,754,"There will be a lot of greenhouse gases such as carbon dioxide, which will promote further change or global warming, resulting in ecosystem destruction.",754.0,"780,0,1,,"
755,755,"The increase in carbon dioxide content in the atmosphere will cause excessive greenhouse effect, which will promote global warming.",755.0,"781,1,1,,"
756,756,"Due to the increase in carbon dioxide, environmental pollution is caused by global warming and the use of fossil energy.",756.0,"782,0,1,,"
757,757,The greenhouse effect gets worse.,757.0,"783,1,0,,"
758,758,"The process of power generation is to burn coal or oil, make water vapor with that heat, and turn turbines with that steam to make energy. In the process, the carbon in coal and oil is burned, and carbon dioxide is produced, and global warming is intensifying",758.0,"784,0,1,,"
759,759,I don't know.,759.0,"785,0,1,,"
760,760,"Due to resource depletion, the economy becomes uncomfortable because it cannot make products using fossil energy.",760.0,"786,1,1,,"
761,761,have problems in one's life,761.0,"787,1,0,,"
762,762,Global warming gets worse and oil drops,762.0,"788,0,1,,"
763,763,It will be depleted and life will be difficult.,763.0,"789,1,1,,"
764,764,Global warming gets worse and oil drops,764.0,"790,1,1,,"
765,765,The country is doomed,765.0,"791,0,1,,"
766,766,Problems arise in life.,766.0,"792,1,0,,"
767,767,Not available to future generations,767.0,"793,0,1,,"
768,768,Resources run out.,768.0,"794,1,1,,"
769,769,It's running out,769.0,"795,0,1,,"
770,770,Life becomes difficult,770.0,"796,1,0,,"
771,771,run out,771.0,"797,1,0,,"
772,772,Fossil energy is depleted.,772.0,"798,0,1,,"
773,773,Life becomes very uncomfortable because resources are depleted,773.0,"799,1,1,,"
774,774,Transportation is not available.,774.0,"800,1,1,,"
775,775,"The environment is destroyed, oil and coal are depleted.",775.0,"801,0,1,,"
776,776,The end of mankind,776.0,"802,0,1,,"
777,777,The environment will be polluted and resources will be depleted in the future,777.0,"803,0,0,,"
778,778,It will be difficult to live because of the depletion of resources.,778.0,"804,1,1,,"
779,779,The world may be polluted and need to buy air,779.0,"805,0,1,,"
780,780,There will be many inconveniences and difficulties in the future.,780.0,"806,0,0,,"
781,781,I don't know,781.0,"807,1,1,,"
782,782,"Fossil energy such as coal and oil may pollute the environment, polluting the Earth and quickly disappearing resources, making it impossible to use fossil energy later.",782.0,"808,0,1,,809,1,1,,"
783,783,Ruined,783.0,"810,0,1,,"
784,784,There is so much carbon dioxide in the air that the Earth is getting hotter and hotter. It will run out again and there will be nothing to use in future generations,784.0,"811,0,1,,"
785,785,"When resources are depleted, energy costs increase and damage from environmental pollution increases.",785.0,"812,0,1,,"
786,786,Energy can no longer be obtained by resource depletion.,786.0,"813,0,1,,"
787,787,The earth is coming to an end.,787.0,"814,1,0,,"
788,788,"The greenhouse effect intensifies, causing great problems for mankind.",788.0,"815,0,1,,"
789,789,Global warming becomes more active because the environment is polluted.,789.0,"816,1,1,,"
790,790,Energy resources have been depleted and carbon dioxide has increased.,790.0,"817,0,0,,"
791,791,Air pollution will occur.It's going to be lacking.,791.0,"818,0,1,,"
792,792,Accelerating Global Warming,792.0,"819,1,1,,"
793,793,The earth becomes difficult due to environmental pollution.,793.0,"820,1,0,,"
794,794,suffering from environmental pollution / resource depletion,794.0,"821,0,1,,"
795,795,It runs out.,795.0,"822,0,0,,"
796,796,The environment is destroyed.,796.0,"823,0,0,,"
797,797,The exhaustion of fossil fuels and environmental pollution become serious.,797.0,"824,0,1,,"
798,798,The environment is polluted and resources are depleted.,798.0,"825,0,1,,"
799,799,Global warming destroys the ecosystem.,799.0,"826,0,0,,"
800,800,Fossil energy sources are depleted in the future,800.0,"827,0,1,,"
801,801,destruction of the natural environment,801.0,"828,1,1,,"
802,802,"When the environment is destroyed and fossil energy is exhausted, it is difficult to respond quickly if you use a lot of fossil energy",802.0,"829,1,0,,"
803,803,"In the case of fossil fuels, it must be burned to obtain energy, and greenhouse gases such as carbon dioxide are generated as well as energy as products of combustion. These greenhouse gases prevent Earth's radiation energy from escaping the Earth, resulting in global warming, which increases the Earth's temperature gradually. As the Earth's average temperature rises, glaciers melt, and more abnormal climates occur, causing damage such as flooding of dwellings due to rising sea levels, more frequent typhoons, droughts, heat waves, and damage to marine ecosystems caused by the Eligno phenomenon.",803.0,"830,0,1,,"
804,804,It is difficult for future generations to live because of resource depletion,804.0,"831,0,1,,"
805,805,It will gradually dry up and eventually all will be consumed.,805.0,"832,0,1,,"
806,806,Harmful substances such as carbon dioxide are created to promote global warming.,806.0,"833,0,0,,"
807,807,"Not only does it sustain global warming, but it also causes resource depletion.",807.0,"834,0,0,,"
808,808,There will be more carbon dioxide in the atmosphere and fossil energy will be depleted,808.0,"835,0,1,,"
809,809,Carbon dioxide from burning fossil fuels changes the Earth's atmosphere composition and causes fatal damage.,809.0,"836,0,1,,"
810,810,"A lot of gases such as carbon dioxide that cause warming are released, and the average temperature of the Earth rises.",810.0,"837,1,1,,"
811,811,"Empty spaces are created in the space where oil was present, resulting in sinkholes, reducing the usable crust area.",811.0,"838,0,1,,839,1,0,,"
812,812,"When the environment is very polluted and energy is depleted, it becomes difficult.",812.0,"840,0,1,,"
813,813,"The increase in CO2 emissions will accelerate global warming, which is likely to result in food shortages",813.0,"841,1,1,,"
814,814,The increase in greenhouse gases can cause problems such as rising sea levels as the average temperature rises.,814.0,"842,0,0,,"
815,815,"Global warming, resource depletion",815.0,"843,1,0,,"
816,816,Carbon dioxide is generated and global warming occurs.,816.0,"844,1,0,,"
817,817,Using a lot of fossil energy can lead to war due to the lack of fossil energy in the future and promote global warming.,817.0,"845,0,1,,"
818,818,"The emission of greenhouse gases pollutes the air and increases the greenhouse effect, which increases the temperature of the earth, causing glaciers to melt and raise sea levels.",818.0,"846,1,1,,"
819,819,"If fossil energy is used a lot, global warming will intensify because greenhouse gases such as carbon dioxide emitted during use will increase in the atmosphere.",819.0,"847,1,0,,"
820,820,Global warming intensifies due to increased emissions of greenhouse gases.,820.0,"848,1,0,,"
821,821,Environmental pollution can occur,821.0,"849,0,0,,"
822,822,"Nothing happens, it's just fossil energy exhaustion.",822.0,"850,0,0,,"
823,823,"The emission of greenhouse gases is high, which is the main cause of global warming.",823.0,"851,0,0,,"
824,824,The use of fossil energy pollutes the atmosphere and runs out of energy and is no longer available.,824.0,"852,0,0,,"
825,825,"Right now, the news was noisy due to fine dust from China. If you continue to use fossil energy, it will be a lifelong problem, not a temporary one",825.0,"853,0,1,,"
826,826,"The use of fossil energy releases carbon dioxide, which is the main cause of global warming, so global warming will occur.",826.0,"854,0,0,,"
827,827,"One day, resources will be depleted and there will be a shortage of energy resources, and global warming will gradually worsen due to increased carbon dioxide emissions.",827.0,"855,0,0,,"
828,828,Resources run out.,828.0,"856,0,1,,"
829,829,"Burning coal and oil produces a lot of greenhouse gases such as carbon dioxide. As a result, the greenhouse effect increases and accelerates global warming.",829.0,"857,1,0,,"
830,830,Used up,830.0,"858,1,0,,"
831,831,"Global warming, or the destruction of the ozone layer, has so far accelerated as the use of coal and oil increases. In addition, the scarcity of resources also plays a major role because fossil energy never has a short lifespan to be created. Therefore, there is a possibility that the amount of resources will be reduced in the future, and the amount of resources will cause major social and economic changes and confusion, and many of them, including ecosystems, will be confused in the environmental part.",831.0,"859,0,1,,"
832,832,"Since the amount of coal and oil is limited, if the amount is depleted, power generation cannot be generated, the environment is destroyed by pollutants during power generation, and global warming will be accelerated by greenhouse gases.",832.0,"860,0,1,,"
833,833,Global warming accelerates,833.0,"861,0,1,,"
834,834,The water level is going up,834.0,"862,0,1,,"
835,835,environmental pollution,835.0,"863,0,0,,"
836,836,The environment is destroyed and resources are depleted,836.0,"864,1,1,,"
837,837,The gap between the rich and the poor is likely to widen as the price goes up due to the shortage,837.0,"865,0,1,,"
838,838,"Environmental pollution becomes serious, and ecosystems are destroyed.",838.0,"866,0,1,,"
839,839,"Natural environment is destroyed and natural disasters occur unpredictably frequently, affecting our lives",839.0,"867,0,0,,"
840,840,Global warming,840.0,"868,0,1,,869,0,0,,"
841,841,"First, until oil and coal prices soar and all the cars, ships and planes that are now stopped and other sources of energy are found, a global recession arrives",841.0,"870,0,1,,"
842,842,..I don't know.,842.0,"871,0,1,,"
843,843,Global warming will accelerate as carbon dioxide dissolved in the sea comes out into the atmosphere as problems and temperatures increase due to oxides generated in the process of burning fossil energy.,843.0,"872,1,1,,"
844,844,"Nature is destroyed, and various disasters come, and the residential environment we live in is destroyed",844.0,"873,0,1,,"
845,845,Global warming comes and future energy sources become scarce,845.0,"874,0,1,,"
846,846,It causes environmental pollution,846.0,"875,1,1,,"
847,847,"We're running out of energy, and we're running out of energy",847.0,"876,0,0,,"
848,848,Global warming intensifies,848.0,"877,1,0,,"
849,849,""" In terms of economics, fossil energy is more efficient than other energy sources, but if you use it a lot, you'll run out in a few years, and if you run out of resources, the rate of research and development in humans will drop dramatically. The fact that knowledge is not generated faster now, which is a knowledge-based economy, can cause economic stagnation.",849.0,"878,1,1,,"
850,850,"It is already prevalent in the environment, but when fossil energy is burned, carbon dioxide accelerates global warming, and global warming causes a lot of damage such as El Nino, Lannina, ozone holes, and ecosystem destruction. This environmental damage also leads to economic losses.",850.0,"879,0,1,,"
851,851,"Therefore, if you use a lot of fossil energy, you can develop with economic benefits right now, but in the long run, you can see it as a big loss.""",851.0,"880,1,1,,"
852,852,Extinction of mankind,852.0,"881,0,0,,"
853,853,"""It will fall and run out and use up.",853.0,"882,0,0,,"
854,854,"Without countermeasures or other alternatives, I am more afraid that there will be a huge crisis around the world and how it will affect the Earth and the environment if it runs out. I think it's a problem because I don't know it.",854.0,"883,0,1,,"
855,855,"I don't know what will happen, but I think it's a problem to write recklessly without thinking about what will happen later. """,855.0,"884,0,0,,"
856,856,"There is not much fossil energy left to use in the future, so I think I will feel a lot of inconvenience in my life.",856.0,"885,0,0,,"
857,857,"If you use coal or oil a lot, it will not only become rare but also have a negative impact on the environment",857.0,"886,1,0,,"
858,858,Coal or oil will be cut and have a bad environmental impact.,858.0,"887,0,1,,"
859,859,"Fossil energy will be resource depletion, and I think in the distant future we will be fossil energy in this era.",859.0,"888,0,1,,"
860,860,It's all running out,860.0,"889,1,1,,"
861,861,I can't see the earth again with fresh air,861.0,"890,0,1,,"
862,862,I can't see the earth again with fresh air,862.0,"891,1,1,,"
863,863,Fossil energy doesn't go away,863.0,"892,1,1,,"
864,864,The environment is becoming increasingly destructive and difficult to live in,864.0,"893,0,1,,"
865,865,Continuous development is impossible due to environmental destruction and the living environment is gradually deteriorating,865.0,"894,1,1,,"
866,866,With the letter K-in this,866.0,"895,1,1,,"
867,867,I don't know.,867.0,"896,0,1,,"
868,868,the global warming will get serious,868.0,"897,0,0,,"
869,869,Fossil energy disappears,869.0,"898,0,1,,899,0,0,,"
870,870,Fossil energy is depleted.,870.0,"900,1,1,,"
871,871,Global warming is hurting the earth,871.0,"901,0,1,,"
872,872,Global warming is getting worse,872.0,"902,1,1,,"
873,873,Global warming will intensify.,873.0,"903,1,0,,"
874,874,The environment becomes dirty.,874.0,"904,0,1,,"
875,875,Environment preserved,875.0,"905,1,1,,"
876,876,Global warming will intensify and energy depletion will occur,876.0,"906,0,0,,"
877,877,Global warming occurs,877.0,"907,1,0,,"
878,878,Global warming gets worse,878.0,"908,1,0,,"
879,879,.,879.0,"909,0,1,,"
880,880,"The Earth's CO2 concentration rises so high that the ozone layer is destroyed and UV rays cannot be blocked, causing the Earth to die",880.0,"910,0,0,,"
881,881,Later things like fossil energy are no longer available.,881.0,"911,1,0,,"
882,882,"As carbon dioxide increases, environmental pollution progresses rapidly, so I think I will buy air and drink it.",882.0,"912,1,0,,"
883,883,"Global warming will worsen, which will have a great impact on the natural ecosystem, and on the human world.",883.0,"913,0,1,,"
884,884,Resource depletion and environmental pollution,884.0,"914,0,0,,"
885,885,Global warming occurs due to the increase in the amount of carbon dioxide in the atmosphere.,885.0,"915,0,0,,"
886,886,Global warming causes temperatures to rise and people are unable to liveable,886.0,"916,0,0,,"
887,887,The environment is deteriorating and resources are depleted.,887.0,"917,1,1,,"
888,888,OMG wow this is very hard question,888.0,"918,0,0,,"
889,889,"Eventually, coal and oil will be depleted and fossil energy will be lost.",889.0,"919,0,0,,"
890,890,"Fossil energy is depleted and environmental pollution becomes more severe, causing global warming.Global warming is getting serious",890.0,"920,1,0,,"
891,891,Environmental pollution becomes serious and fossil energy is depleted,891.0,"921,1,1,,"
892,892,I'm going to screw up,892.0,"922,0,0,,"
893,893,Life on Earth will be shortened,893.0,"923,0,1,,"
894,894,Carbon dioxide produced in the process of using coal and oil causes global warming.,894.0,"924,1,1,,"
895,895,The earth is coming to an end.,895.0,"925,1,1,,"
896,896,We can no longer live on this planet.,896.0,"926,0,0,,"
897,897,"Eventually, there will be a day when fossil energy is depleted",897.0,"927,0,0,,"
898,898,Global warming is likely to be further accelerated by carbon dioxide.,898.0,"928,0,1,,929,0,1,,"
899,899,Global warming will be severe,899.0,"930,0,1,,"
900,900,"When the environment is destroyed and all the limited fossil energy is depleted, energy becomes unavailable.",900.0,"931,0,1,,"
901,901,"As greenhouse gases increase, the temperature of the earth rises, and fine dust increases, lung diseases increase rapidly, and ozone layer destruction, etc",901.0,"932,0,1,,"
902,902,Resource depletion and global warming intensified.,902.0,"933,0,1,,"
903,903,Fossil fuels disappear. The environment is destroyed. Global Warming Accelerates,903.0,"934,1,0,,"
904,904,"Due to global warming, both the North and South Poles will melt and a tsunami will occur",904.0,"935,0,0,,"
905,905,Energy depletion is easy and causes environmental pollution,905.0,"936,0,1,,"
906,906,Global warming will get worse and later fossil energy will be depleted.,906.0,"937,0,1,,"
907,907,Global warming occurs,907.0,"938,1,0,,"
908,908,I don't know.,908.0,"939,0,1,,"
909,909,Global warming.,909.0,"940,0,0,,"
910,910,sorry,910.0,"941,0,0,,"
911,911,The air becomes murky and resources are depleted,911.0,"942,1,0,,"
912,912,the global warming will get serious,912.0,"943,0,0,,"
913,913,"As resources are depleted, infrastructure that currently uses fossil fuels will collapse, leading to global turmoil, and the rapid greenhouse effect will greatly increase the frequency of abnormal climates.",913.0,"944,0,0,,"
914,914,I'm running out,914.0,"945,0,0,,"
915,915,"Carbon dioxide is generated in the process of burning coal or petroleum into usable energy, so if fossil energy is used a lot, it can cause disasters such as ozone layer destruction, global warming, and abnormal climate.",915.0,"946,0,0,,"
916,916,"The concentration of carbon dioxide increases, the ozone layer is destroyed, and fossil energy such as coal and oil is depleted, making it difficult to use.",916.0,"947,0,0,,"
917,917,I'm doomed,917.0,"948,0,0,,"
918,918,The future will run out of energy and nothing to use,918.0,"949,0,0,,"
919,919,Resources like fossil energy disappear a lot,919.0,"950,0,0,,"
920,920,Global warming gets worse,920.0,"951,1,0,,"
921,921,The earth is destroyed!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!,921.0,"952,0,1,,"
922,922,"Later, I think the country will collapse without being able to use it.",922.0,"953,0,1,,"
923,923,a shortage of resources,923.0,"954,0,1,,"
924,924,air pollution,924.0,"955,0,1,,"
925,925,횾뇨ㅗㅈㄴ토ㅛㅁㄷ홍ㄱㅎㄱㅎㄷㄱㅎㄷㄷ교,925.0,"956,1,0,,"
926,926,take a liking to the view of Huaqiao,926.0,"957,0,1,,"
927,927,The country is doomed,927.0,"958,1,1,,959,0,1,,"
928,928,Environmental pollution will continue and one day it will run out,928.0,"960,0,1,,"
929,929,The earth is sick,929.0,"961,0,0,,"
930,930,I don't know.,930.0,"962,0,0,,"
931,931,Fossil energy will be used in the future.,931.0,"963,0,1,,"
932,932,Fossil energy will disappear and the environment will deteriorate.,932.0,"964,0,0,,"
933,933,I think it's going to be a mystery,933.0,"965,0,0,,"
934,934,Carbon dioxide becomes depleted and global warming accelerates.,934.0,"966,0,0,,"
935,935,"""Earth resources run out over time",935.0,"967,0,0,,"
936,936,"It burns fossil energy, oil, or coal",936.0,"968,0,0,,"
937,937,"Global warming occurs.""",937.0,"969,0,0,,"
938,938,"Environmental pollution will be worse than it is now, and eventually, resources will be depleted and energy will not be available.",938.0,"970,1,0,,"
939,939,Fossil energy cars are invented,939.0,"971,0,1,,"
940,940,The earth is coming to an end,940.0,"972,0,0,,"
941,941,The use of fossil fuels increases air pollution.,941.0,"973,0,0,,"
942,942,"Carbon dioxide from burning fossil energy causes a greenhouse effect, making C4 photosynthesis impossible. In the worst case scenario, all life on Earth goes extinct",942.0,"974,0,0,,"
943,943,"Dioxidation from burning fossil energy causes the greenhouse effect, making C4 photosynthesis impossible, and in the worst case, all life on Earth is dangerous",943.0,"975,0,0,,"
944,944,The environment is destroyed and the earth is destroyed,944.0,"976,1,1,,"
945,945,"Fossil energy is burned, resulting in a greenhouse effect due to greenhouse gases, making C4 photosynthesis impossible, and in the worst case, all life on Earth is dangerous.",945.0,"977,0,0,,"
946,946,Global warming is getting worse and pollution such as air pollution.,946.0,"978,0,0,,"
947,947,The world is in trouble as the energy runs out,947.0,"979,0,1,,"
948,948,The earth is slowly coming to an earth is dying.,948.0,"980,0,0,,"
949,949,Global warming is getting worse and pollution such as air pollution.,949.0,"981,1,0,,"
950,950,Oil becomes expensive and the environment is greatly destroyed,950.0,"982,0,0,,"
951,951,"In the future, life will be difficult because fossil fuels are depleted.",951.0,"983,0,0,,"
952,952,Coal becomes expensive and the environment is greatly destroyed,952.0,"984,0,0,,"
953,953,More energy than electricity,953.0,"985,0,0,,"
954,954,I don't know.,954.0,"986,1,0,,"
955,955,It will be depleted and unusable.,955.0,"987,0,1,,"
956,956,"Using up fossil energy, it will be a dark place without electricity in the future",956.0,"988,0,0,,989,1,0,,"
957,957,There will be no shortage of fuel.,957.0,"990,1,0,,"
958,958,I think I'll use a lot of fossil energy,958.0,"991,0,1,,"
959,959,I don't know,959.0,"992,0,0,,"
960,960,I don't know,960.0,"993,0,0,,"
961,961,I don't know.,961.0,"994,0,0,,"
962,962,the destruction of the earth,962.0,"995,0,0,,"
963,963,I don't know,963.0,"996,0,1,,"
964,964,Life becomes uncomfortable because coal and oil are running out.,964.0,"997,0,0,,"
965,965,There will be a lot of carbon dioxide and global warming,965.0,"998,1,0,,"
966,966,environmental pollution,966.0,"999,0,0,,"
967,967,"Carbon dioxide will be produced by using a lot of coal or oil, which will attract the environment.",967.0,"1000,0,1,,"
968,968,"""If we use a lot of fossil energy, our nature will be destroyed in the future",968.0,"1001,1,0,,"
969,969,"Our lives are not good.""",969.0,"1002,0,1,,"
970,970,"Even if fossil energy is depleted, humans will be able to use fossil energy in the future because humans are now developing infinite energy resources to be used as new sources of energy",970.0,"1003,0,1,,"
971,971,Even breathing becomes difficult because the air is so polluted.,971.0,"1004,1,1,,"
972,972,"In the future, the air will be bad, and if coal and oil are exhausted, the world will be dark.",972.0,"1005,0,1,,"
973,973,Environmental pollution is getting worse.,973.0,"1006,0,1,,"
974,974,Environmental pollution becomes serious and the surge in fine dust also damages health.,974.0,"1007,0,0,,"
975,975,Using fossil energy can improve the environment and develop faster than now.,975.0,"1008,1,1,,"
976,976,All mankind will die,976.0,"1009,0,1,,"
977,977,The air is bad and climate change is likely to be serious.,977.0,"1010,0,0,,"
978,978,Using fossil energy can improve the environment and develop faster than now,978.0,"1011,0,1,,"
979,979,I don't know,979.0,"1012,0,1,,"
980,980,I don't know.,980.0,"1013,1,1,,"
981,981,I don't know,981.0,"1014,1,1,,"
982,982,You can't use fossil energy when you need it,982.0,"1015,0,1,,"
983,983,I don't know,983.0,"1016,0,1,,"
984,984,No cars or trains will operate because of the lack of resources,984.0,"1017,0,1,,"
985,985,The environment is destroyed.,985.0,"1018,0,1,,1019,0,0,,"
986,986,"Eventually, the Earth becomes ill and eventually the Earth dies.",986.0,"1020,0,0,,"
987,987,Don't know,987.0,"1021,0,0,,"
988,988,I don't know.,988.0,"1022,0,0,,"
989,989,"The next generation of us will experience discomfortFossil energy will be depleted, and the environment will be polluted.",989.0,"1023,1,1,,"
990,990,I don't know,990.0,"1024,0,0,,"
991,991,The Earth's disease eventually causes the Earth to become extinct,991.0,"1025,0,0,,"
992,992,"""The air is bad and the water is polluted",992.0,"1026,0,1,,"
993,993,"""",993.0,"1027,0,0,,"
994,994,Need to collect a lot of oil and coal,994.0,"1028,0,1,,"
995,995,It can be hard to live because of lack of resources,995.0,"1029,0,1,,"
996,996,"Since it is a limited resource, it cannot be passed on to future generations, and it is difficult for future generations to develop resources, and it is difficult for future generations to live conveniently",996.0,"1030,0,1,,"
997,997,I think the country will be destroyed,997.0,"1031,0,0,,"
998,998,The end of the earth will come.,998.0,"1032,0,0,,"
999,999,It's going to be a huge crisis,999.0,"1033,0,0,,"
1000,1000,Future oil and coal will run out and will not be available to future generations.,1000.0,"1034,0,1,,"
1001,1001,It will be environmental pollution.,1001.0,"1035,0,0,,"
1002,1002,There will be little oil in the future,1002.0,"1036,1,0,,"
1003,1003,"Coal, oil will disappear.",1003.0,"1037,0,1,,"
1004,1004,I don't think we can live conveniently because there are no fossils or oil in the future.,1004.0,"1038,0,1,,"
1005,1005,Global warming,1005.0,"1039,0,1,,"
1006,1006,Future generations will not be able to use coal or oil,1006.0,"1040,0,0,,"
1007,1007,I don't know,1007.0,"1041,0,0,,"
1008,1008,You'll be in trouble,1008.0,"1042,0,0,,"
1009,1009,search,1009.0,"1043,0,0,,"
1010,1010,Global warming,1010.0,"1044,0,0,,"
1011,1011,It becomes like Mars,1011.0,"1045,0,0,,"
1012,1012,It runs out of resources.,1012.0,"1046,0,1,,"
1013,1013,"If global warming occurs and we cannot find alternative energy for fossil energy, mankind will perish",1013.0,"1047,0,0,,"
1014,1014,"Burning coal produces various carbons, which raise the temperature of the Earth and affect abstention, which causes global warming to persist quickly",1014.0,"1048,0,1,,1049,0,0,,"
1015,1015,Coal and oil will run out.,1015.0,"1050,0,1,,"
1016,1016,Global warming,1016.0,"1051,0,1,,"
1017,1017,"Environmental pollution is getting worse, making it difficult to live.",1017.0,"1052,0,1,,"
1018,1018,"In the process of exhausting and burning fossil energy such as coal and oil, environmental destruction due to carbon dioxide occurs.",1018.0,"1053,1,1,,"
1019,1019,Global warming accelerates further.,1019.0,"1054,0,0,,"
1020,1020,Global warming is a mess.,1020.0,"1055,0,1,,"
1021,1021,I'm going to screw up,1021.0,"1056,1,0,,"
1022,1022,Global warming gets worse and resource depletion gets worse.,1022.0,"1057,0,1,,"
1023,1023,Global warming has become so severe that it is difficult for people to survive,1023.0,"1058,0,1,,"
1024,1024,the annihilation of the earth,1024.0,"1059,0,0,,"
1025,1025,The atmosphere is polluted.,1025.0,"1060,0,0,,"
1026,1026,I will no longer be able to live a stable life due to various environmental pollution,1026.0,"1061,1,0,,"
1027,1027,"I think fossil energy will be depleted, energy sources will be reduced, and global warming will worsen.",1027.0,"1062,1,1,,"
1028,1028,"Environmental pollution, resource depletion",1028.0,"1063,0,0,,"
1029,1029,"As generations pass, the concentration of carbon monoxide and carbon dioxide in the air increases, which may accelerate global warming and submerge the island country.",1029.0,"1064,1,0,,"
1030,1030,Global warming occurs,1030.0,"1065,0,1,,"
1031,1031,Global warming occurs,1031.0,"1066,1,1,,"
1032,1032,Global warming and the disappearance of the Earth,1032.0,"1067,1,1,,"
1033,1033,They'll all die,1033.0,"1068,1,0,,"
1034,1034,I don't know,1034.0,"1069,0,1,,"
1035,1035,I don't know,1035.0,"1070,0,1,,"
1036,1036,I don't know,1036.0,"1071,1,0,,"
1037,1037,It will be depleted and unusable and environmental pollution.,1037.0,"1072,1,1,,"
1038,1038,the end of the earth,1038.0,"1073,1,0,,"
1039,1039,There is no alternative energy for later use,1039.0,"1074,0,1,,"
1040,1040,Global warming is getting worse,1040.0,"1075,0,1,,"
1041,1041,I'm bleeding,1041.0,"1076,0,1,,"
1042,1042,Global warming is getting worse,1042.0,"1077,1,1,,"
1043,1043,Global warming will come and perish.,1043.0,"1078,1,1,,1079,0,1,,"
1044,1044,global warming,1044.0,"1080,0,1,,"
1045,1045,a bad thing,1045.0,"1081,0,0,,"
1046,1046,I'm going to screw up,1046.0,"1082,0,0,,"
1047,1047,The earth becomes warmer and harder to live on,1047.0,"1083,0,1,,"
1048,1048,Global warming occurs,1048.0,"1084,1,0,,"
1049,1049,Beautiful things happen ♥,1049.0,"1085,0,0,,"
1050,1050,Fossil energy is gone,1050.0,"1086,0,0,,"
1051,1051,Environmental pollution occurs.,1051.0,"1087,1,0,,"
1052,1052,Environmental pollution occurs,1052.0,"1088,1,0,,"
1053,1053,Global warming accelerates and the Arctic glaciers melt fast,1053.0,"1089,0,0,,"
1054,1054,"Due to a lack of power, all activities using electricity will be impossible.",1054.0,"1090,1,0,,"
1055,1055,I don't know,1055.0,"1091,1,0,,"
1056,1056,h,1056.0,"1092,0,0,,"
1057,1057,h,1057.0,"1093,0,1,,"
1058,1058,I don't know,1058.0,"1094,1,0,,"
1059,1059,.,1059.0,"1095,1,0,,"
1060,1060,Environmental pollution is getting worse,1060.0,"1096,0,1,,"
1061,1061,near extinction,1061.0,"1097,0,0,,"
1062,1062,be bad for the environment,1062.0,"1098,1,0,,"
1063,1063,Global warming slows down,1063.0,"1099,1,1,,"
1064,1064,environmental pollution,1064.0,"1100,0,1,,"
1065,1065,Global warming occurs,1065.0,"1101,1,1,,"
1066,1066,Global warming will get worse,1066.0,"1102,1,1,,"
1067,1067,The environment is polluted and resources are depleted,1067.0,"1103,1,1,,"
1068,1068,The warming phenomenon will be alleviated,1068.0,"1104,1,1,,"
1069,1069,"Global warming accelerates, destroying the ozone layer, destroying tropical forests, and disappearing habitats for animals and plants, reducing biodiversity.",1069.0,"1105,1,1,,"
1070,1070,There will be a phenomenon in which coal or oil will run out of energy.,1070.0,"1106,0,1,,"
1071,1071,"Global warming will accelerate, there will be a lot of environmental destruction, and a sixth mass extinction will occur",1071.0,"1107,0,1,,"
