,Unnamed: 0,2) Why did the fire go out after spraying water on the lit iron?,Unnamed: 0,", ""20. If the kidney (kidney) has abnormal function, various diseases may occur, and in serious cases, death may occur. What does the kidney do in our body, so if something goes wrong, will the disease appear? Let's use our knowledge of kidney function to explain it in detail. "",q20_Ozoom,q20_Hormone,q20_Hormone,q20_Waste,q20_Reabsorption,q20_Waste.1,q20_Hormone.1,q20_Hormone.1,q20_Waste.1,q20_Waste.1"
737,737,Because I sprayed water,737.0,"730,123,0,0,0,0,0,,,,,"
738,738,It's because they blocked the oxygen supply,738.0,"731, I don't know, 0, 0, 0, 0, 0"
739,739,"When water touches the fire, it blocks oxygen, so it goes out",739.0,"732, I don't know, 0, 0, 0, 0, 0"
740,740,The temperature of the iron plate is below the burning point,740.0,"733, which allows us to live, 0, 0, 0, 0, 0"
741,741,This is because oxygen is blocked.,741.0,"734, it allows us to live, 0, 0, 0, 0, 0"
742,742,This is because oxygen is blocked.,742.0,"735, I don't know exactly, 0, 0, 0, 0,"
743,743,This is because the temperature dropped again after spraying water.,743.0,"736, the heart plays many roles in many organs in our body. The organs that are helpful to the body make us healthy, 0, 0, 0, 0,"
744,744,oxygen blocking,744.0,"737, S, O, 0, 0, 0, 0, 0"
745,745,This is because the appropriate temperature has fallen from the temperature where the fire was supposed to be.,745.0,"738, The heart plays many roles in many organs in our bodies. The organs that are helpful to the body make us healthy, 0, 0, 0, 0,"
746,746,It's blocked,746.0,"739, open a cigarette, 0, 0, 0, 0, 0"
747,747,The temperature went down,747.0,"740, filter the dust, 0, 0, 0, 0, 0"
748,748,This is because contacting a material with a relatively low temperature at a low temperature lowers the temperature.,748.0,"741, I don't know, 0, 0, 0, 0, 0,"
749,749,I blocked the oxygen,749.0,"742, it filters out our body's waste, 0, 0, 0, 1, 0"
750,750,I don't know,750.0,"743, I don't know, 0, 0, 0, 0, 0,"
751,751,I don't know.,751.0,"744, inhaling something like coal with your breath causes your body to become abnormal. 0, 0, 0, 0, 0, 0,"
752,752,The fire is weak against water,752.0,"745, blood is flowing because we have a kidney, which is essential to our body746, I don't know, 0, 0, 0, 0, 0"
753,753,"The oxygen is blocked, or the temperature is lowered",753.0,"747, Eating a lot of spicy food reduces kidney function, 0, 0, 0, 0, 0,"
754,754,Because I lowered the temperature,754.0,"748, when you like someone, your heart starts pounding That's why I know your heart And you need a heart to have good blood, 0, 0, 0, 0, 0"
755,755,"If you spray water, the temperature goes down and blocks oxygen",755.0,"749, I'm dying, 0, 0, 0, 0, 0"
756,756,It blocks oxygen,756.0,"750, I don't know, 0, 0, 0, 0, 0,"
757,757,Blocking oxygen,757.0,"751, I don't know, 0, 0, 0, 0, 0,"
758,758,Water vaporizes and blocks oxygen,758.0,"752,""I defecated in public red beans"
759,759,I don't know,759.0,""",0,0,0,0,0,,,,,"
760,760,I think it's obvious,760.0,"753,....,0,0,0,0,0,,,,,"
761,761,Because the water turns off the fire,761.0,"754, it's in the body, 0, 0, 0, 0, 0"
762,762,oxygenated,762.0,"755, I can't go to the bathroom. 0, 0, 0, 0, 0, 0"
763,763,Water blocks oxygen and lowers the temperature,763.0,"756, I don't know"
764,764,Water is digested by lowering the temperature of the fire and blocking oxygen.,764.0,"757, I don't know, 0, 0, 0, 0, 0,"
765,765,This is because it supplied water that suppresses the heat of fire.,765.0,"758, I don't know, 0, 0, 0, 0, 0,"
766,766,This is because the water vaporizes and takes away the heat of fire.,766.0,"759, purify, 0, 0, 1, 0"
767,767,"If you spray water, of course the fire goes out.",767.0,"760, If you have kidney problems, your ability to filter toxins decreases.,0,0,0,1,0,,,,,"
768,768,It's because water stops the fire from burning momentarily,768.0,"761, It releases harmful substances, such as excrement or urine.,0,0,0,1,0,,,,,"
769,769,This is because water is sprayed to lower the temperature and directly block oxygen,769.0,"762,""The kidneys play a role in filtering out the dirty things in the body, and the brain helps us think, and the heart, to various respiratory organs, allows us to breathe. Finally, blood vessels move or move the blood in our bodies to other places, making our bodies function smoothly."
770,770,Water is to put out the fire,770.0,""",0,0,0,1,0,,,,,"
771,771,Because there is a chemical reaction between water and fire that I don't know,771.0,"763, the kidneys remove the bacteria from our blood and send them to urine. 1,0,0,1,0"
772,772,The temperature went down,772.0,"764, Absorbs nutrients from food. 0,0,0,0,1,,,,"
773,773,"Oxygen is blocked by water and the fire is extinguished, and the temperature decreases by water and the fire is extinguished.",773.0,"765, I can't go to the bathroom. 0, 0, 0, 0, 0, 0"
774,774,The temperature dropped below the ignition point,774.0,"766, filter out dirty things.,0,0,0,1,0,,,,,"
775,775,Because oxygen is blocked,775.0,"767, I don't know, 0, 0, 0, 0,"
776,776,This is because the temperature was lowered and oxygen was blocked.,776.0,"768, the role of reabsorbing the body's tired nutrients and water and filtering the emissions out of the body, 0, 0, 0, 1,,,,"
777,777,Water lowers the temperature because it has a large specific heat. Spraying a lot of water on a small fire also blocks oxygen.,777.0,"769, the kidneys remove the impurities from the blood.,0,0,0,1,0,,,,,"
778,778,The oxygen is blocked and the temperature is lowered,778.0,"770, urea excretion in kidney blood, 0, 0, 1,,,,"
779,779,The temperature went down and oxygen was blocked,779.0,"771, Strain waste and maintain the body's,0,0,1,1,0,,,,,"
780,780,oxygen blocking,780.0,"772 ""The role of filters to filter salt and waste"", 0,0,1,1,0,,,"
781,781,Temperature is lowered and oxygen is blocked,781.0,"773, the kidneys remove waste from the blood. If there is an abnormality in the kidney, the waste can be removed.,0,0,0,1,0,,,,,774, The disease appears because we can't filter out the waste from our bodies' waste.,0,0,0,1,0,,,,,"
782,782,The temperature drops below the ignition point,782.0,"775, the kidneys act as filtration, so 0, 0, 0, 1,"
783,783,"As the water evaporated by absorbing the heat of the fire, the fire went out as the temperature of the fire went down",783.0,"776, Filtrate the waste in the blood. 0,0,0,1,,,,"
784,784,Because the conditions for combustion are not met,784.0,"777,""It plays a role in filtering and draining elements of blood, which are toxic in our bodies."",0,0,0,1,0,,,,,"
785,785,It's damp,785.0,"778, you can get rid of waste.,0,0,0,1,0,,,,,"
786,786,The water absorbed the heat of vaporization and went below the ignition point,786.0,"779, there is a problem with waste discharge from the excretion. 0,0,0,0,0,1,0,,,,,"
787,787,"""Spraying water",787.0,"780, filters and releases waste from the blood.,0,0,0,1,0,,,,,"
788,788,"""",788.0,"781, I don't know, 0, 0, 0, 0, 0,"
789,789,I don't understand.,789.0,"782, it filters waste, 0, 0, 0, 1, 0"
790,790,The temperature went down,790.0,"783, the kidneys make urine. So if you don't have it, you die because you can't pee. 1,0,0,1,0"
791,791,The water is cold,791.0,"784, filter out the waste in the body, 0, 0, 0, 1,,,,"
792,792,Definitely gone,792.0,"785, kidney functions related to urine. It filters out residue in urine The process of filtration and reabsorption sends urine to the bladder, 1,0,1,,,,"
793,793,Molecular motion is reduced,793.0,"786,"" Kidney is one of the human excretory organs, serving as a filter to filter waste. When kidney abnormalities occur, many diseases such as hematuria, bladder inflammation, and dialysis occur."",0,0,0,1,0,,,,,"
794,794,Spray water,794.0,"787, you get sick, maybe? 0, 0, 0, 0, 0"
795,795,I can put out the fire with water,795.0,"788, I don't know, 0, 0, 0, 0,"
796,796,"This is because oxygen supply is blocked during combustion due to water, and the temperature has fallen below the ignition point.",796.0,"789, it strengthens our body, 0, 0, 0, 0, 0"
797,797,This is because the temperature has decreased.,797.0,"790, I don't know, 0, 0, 0, 0, 0"
798,798,This is because contact with oxygen has disappeared.,798.0,"791, I don't know, 0, 0, 0, 0, 0"
799,799,I shut off the oxygen.,799.0,"792, It plays a role in filtering impurities, so if it is not filtered due to abnormalities, it will cause diseases. 0,0,0,1,0,,,,,"
800,800,It's because oxygen is blocked,800.0,"793, toxins or unnecessary substances contained in the blood are not properly filtered, which can lead to various diseases and complications such as kidney failure.,0,0,0,0,1,,,,,"
801,801,Fire and water are at opposite ends,801.0,"794, I don't know, 0, 0, 0, 0,"
802,802,This is because water absorbs heat from the iron plate and the temperature drops below the heating point.,802.0,"795, failure to filter waste, 0, 0, 0, 1,,,,"
803,803,"As the water vaporizes, it takes the energy of the fire and extinguishes the fire.",803.0,"796, the kidneys play a role in preventing diseases in the body.,0,0,0,0,0,,,,,"
804,804,"Water tries to lower the temperature of the cloth to create a temperature below the ignition point, and since water vapor blocks contact with oxygen, the fire is extinguished when sprayed with water",804.0,"797, it plays a role in filtering out waste and making urine, 1,0,1,0"
805,805,Water has the property of extinguishing fire,805.0,"798, filter out the impurities, 0, 0, 1, 0"
806,806,Blocking oxygen,806.0,"799, filter out the waste and send it to the beat, 0, 0, 0, 1, 0"
807,807,Water overcomes fire.,807.0,"800, because it detoxifies toxins.,0,0,0,1,0,,,,,"
808,808,"When the water is closed to the iron plate, the cold temperature of the water is transferred to the iron plate, which lowers the temperature, covers the water, and shuts off oxygen",808.0,"801, kidneys filter waste into the bladder through the urine tube and discharge waste over time, so it plays an important function. If there is a problem with this, there is a problem with the body because the waste cannot be filled. 0,0,0,1,0,,,,,"
809,809,"When water is sprayed on the iron plate, the temperature of the iron plate decreases and oxygen is temporarily blocked, so the fire goes out.",809.0,"802, the kidneys are not good at filtering waste, so the urine has a lot of foam and becomes yellow, 0, 0, 0, 1, 0"
810,810,It's blocked,810.0,"803, filter out waste, 0, 0, 0, 1, 0804, It plays a role in filtering waste, 0, 0, 0, 1,,,,"
811,811,"The fire was extinguished because water was sprayed on the iron plate to block oxygen, which did not satisfy oxygen during combustion conditions.",811.0,"805, the kidneys filter out the waste from our bodies, 0, 0, 0, 1, 0"
812,812,"The three conditions that catch fire are de-matter, temperature above the ignition point, and oxygen. If you spray water, you will not be satisfied with the temperature above the ignition point among these three. This is because when water is sprayed on the fire, the water vaporizes momentarily and absorbs surrounding heat, so the temperature is lower than the ignition point.",812.0,"806, It filters out blood waste to increase the oxygen transport rate of red blood cells or to filter out toxicity in the body.,0,0,0,1,0,,,,,"
813,813,"As water evaporates due to the heat of the fire, the fire loses heat because the water absorbs the heat of vaporization.",813.0,"807,The kidneys play a role in filtering out the waste from the blood in our body. Therefore, if there is an abnormality in the kidney, the waste cannot be filtered, and the body is damaged as the waste accumulates in the body.,0,0,0,1,0,,,,,"
814,814,The temperature went down,814.0,"808, ""The kidneys are responsible for releasing waste from the body to the outside"
815,815,"The reason why the fire was extinguished after spraying water can be summarized in two ways depending on the situation. One is that the temperature, which was above the ignition point, fell below the ignition point by spraying water, and the fire was extinguished.  However, in extreme cases, when the air pressure is so high that the boiling point of water is higher than the firing point of the cloth, the second case is that the combustion reaction of the cloth is stopped by blocking the oxygen supplied to the cloth. In either case or both of these cases, the fire is extinguished because they were satisfied.",815.0,"If there is an abnormality in the kidney that plays this role, toxins can accumulate in the body, leading to death."",0,0,0,1,0,,,,,"
816,816,"As mentioned above, the conditions to catch fire are de-material, temperature above the ignition point, and supply of sufficient oxygen. Having already caught fire means meeting these three requirements.  If you think the other way around, it means that if you block the three conditions, the fire will be extinguished. There are two reasons why the fire goes out after spraying water. First, water interferes with the binding of de-materials and oxygen, so that the fire is extinguished. Spraying water is like trapping a de-material in water, which prevents it from reacting with oxygen. The second is when the water is cold. If the water sprayed on the de-material is cold, the fire is extinguished because the water not only blocks the reaction with oxygen, but also absorbs the temperature of the de-material to lower the temperature of the de-material so that it does not meet two of the three conditions.",816.0,"809, pertaining to the excretory system, 0, 0, 1, 0"
817,817,"In order to catch fire, we need temperatures above the ignition point, oxygen, and something to burn.",817.0,"810, it purifies our blood cleanly.,0,0,0,1,0,,,,,"
818,818,"Water will burn, so the iron plate does not disappear, so it is not an iron plate, and oxygen is not blocked at all, so I think the iron plate, which has risen to the temperature above the ignition point, has been lowered using water. As soon as water is sprayed, vaporization occurs due to the high heat of the fire. As the water changes from liquid to gas and takes in nearby heat energy, the temperature of the iron plate is lowered, so the fire is extinguished because it does not exceed the firing point.",818.0,"811, if the kidneys detoxify the poison in our bodies and release the nope water into our bodies, and if there is a problem with its function, the toxins are not completely removed from the body and can get sick, 0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
819,819,"""",819.0,"812, I'm dying of pain, 0, 0, 0, 0, 0"
820,820,"If someone hurts and the wound is endless, the hearts of the injured change from sadness to anger and explode. their last resistance The last resistance of the cloth. It catches fire. The fire is weak, but it must be in their best interests. But it's so heartbreaking. The best thing is to disappear too easily.",820.0,"813, collecting waste, 0, 0, 0, 1, 0"
821,821,"This is because the temperature above the ignition point was removed among the three combustion conditions mentioned above. If water is poured onto a hot iron plate, the temperature of the iron plate and the temperature of the water will be in thermal equilibrium according to the 0th law of thermodynamics, and the temperature will decrease. Therefore, the temperature is lower than the ignition point, so that the third condition of combustion is not satisfied.",821.0,"814, it makes our circulation good, 0, 0, 0, 0,"
822,822,"The conditions for extinguishing the fire may be artificially manipulated so as not to satisfy one of the three conditions in which the fire is generated. When water was sprayed on the lit iron plate, the surrounding oxygen was blocked to satisfy the condition of the presence of sufficient oxygen, and the condition of the temperature above the ignition point was dissatisfied. It can be said that the fire was extinguished due to this.",822.0,"815, kidneys play a role in filtering out bad substances. Other kidneys also remove harmful things from our bodies, or receive a lot of good things, or release the rest into urine or poop. If we don't do this, waste accumulates in our bodies, which causes us to die or get sick. 1,0,0,1,0"
823,823,"If water is sprayed on the lit iron plate, the fire is extinguished because the three conditions for firing, the temperature above the ignition point, the de-material, and the temperature above the ignition point during oxygen supply are not satisfied. This is because if any of the three conditions are not satisfied, the fire will not be lit or extinguished. When relatively cold water and hot fire meet, the water takes away the heat of the fire, and the higher temperature changes it into a form of water vapor, and the reason why the fire is extinguished is that the water takes away the heat of vaporization from the fire.",823.0,"816, zoom basket, 0, 0, 0, 1, 0"
824,824,"The reason why the fire was extinguished after spraying water on the lit iron plate was that it did not satisfy one of the three conditions that could catch fire: temperature above the ignition point, de-material, or oxygen supply. So what did the water block to turn off the lights? This is because the temperature was lowered below the ignition point. This is because when water is sprayed, the water becomes water vapor and absorbs the heat of vaporization that it absorbs. Therefore, when water is sprayed on a lit iron plate, the fire goes out.",824.0,"817, there is a strange disease in the body, 0, 0, 0, 0, 0"
825,825,"If water is sprayed on the lit iron plate, the water covers the iron plate and oxygen is not supplied properly. Therefore, the fire is extinguished because the supply of oxygen, which is one of the conditions for combustion, is not properly supplied.",825.0,"818, The kidneys play a role in filtering waste from the body.,0,0,0,1,0,,,,,"
826,826,The reason why the fire was extinguished after spraying water on the lit iron plate is because it is lowered to a temperature below the ignition point.,826.0,"819, I collect urine from my kidneys, but I don't know"
827,827,"The temperature of the iron plate reaches the ignition point of the cloth, and when the fire is about to burn, oxygen is essential, but the water does not block oxygen, but the water meets hot and changes the state and absorbs vaporization heat, so the fire goes out, whether it is hot or cold.",827.0,"820, there are two kidneys, so even if you remove one, it circulates enough blood to live.,0,0,0,0,0,,,,,"
828,828,The reason why the fire was extinguished after spraying water on the iron plate on fire was because of the heat of vaporization.,828.0,"821, filter the urine, 0, 0, 0, 1, 0"
829,829,"When water is sprayed, the water becomes a gas and absorbs vaporization heat, and thus a temperature higher than an firing point in the combustion condition is not satisfied, and the steam blocks oxygen, thereby extinguishing the fire.",829.0,"822, The kidneys play a role in filtering out waste, where failure to filter out waste causes disease, 0, 0, 0, 1, 0"
830,830,"Water is evaporated by the heat of the fire on the cloth. At this time, the water is heated and the molecular motion becomes active, and the space between the molecules is separated, and since the necessary energy must be continuously supplied, the temperature of the burning cloth is taken away and evaporated, and the temperature is lowered. The fire goes out as the temperature drops below the ignition point.",830.0,"823, If the kidney is diseased or inflamed, it has a significant impact on the bladder that is stored before urine is released.,0,0,0,0,0,,,,,"
831,831,"The temperature of the water is lower than that of the fire, so the temperature is lowered, and as the water is sprayed, the force is applied to press the fire under pressure.",831.0,"824, Since insulin comes out of the kidney, abnormalities in the kidney can lead to death.,0,0,0,0,0,,,,,"
832,832,"The burning iron plate is under fire, and the de-material, temperature above the firing point, and oxygen are satisfied. Spraying water lowers the temperature. The reason is that first, since the temperature of water is lower than the temperature of the iron plate, the temperature of the iron plate is lowered by thermal equilibrium, and the water reaching 100 degrees Celsius evaporates to absorb vaporization heat. In addition, water vapor generated as water evaporates has the effect of blocking contact with oxygen. In order for digestion to occur, only one of the three conditions of combustion mentioned above is not satisfied, so when water is sprayed, the fire is extinguished.",832.0,"825, the kidneys discharge waste. Since waste is discharged, if there is a kidney problem, it becomes difficult to discharge waste, which can lead to death in serious cases.,0,0,0,1,0,,,,,"
833,833,at a temperature below the ignition point,833.0,"826, because the kidneys filter out the waste in our bodies and get the necessary nutrients and water, abnormalities can occur in the body if there are any abnormalities"
834,834,It's because I cooled the heat with cold temperatures,834.0,"827, the kidneys absorb the necessary nutrients from the body and filter out unnecessary nope.,0,0,0,1,1,,,,,"
835,835,"""To extinguish a fire, remove de-materials, remove air, or temperature below the ignition point",835.0,"828, The kidneys play a role in purifying old skin in our body, but if this function fails, we will develop diabetes.,0,0,0,1,0,,,,,"
836,836,"If you lower it, the fire is extinguished, because water lowers the temperature below the ignition point of the ignition point",836.0,"829, ""The kidney is a strainer in our body that excrete waste and filters out proteins, carbohydrates, and water. If there is a problem with the kidneys, there may be a problem because waste excretion is not carried out."",0,0,0,1,0,,,,,"
837,837,"The lights went out.""",837.0,"830, Kidney is an organ that helps discharge waste from our body, and if there is an abnormality in kidney function, waste discharge may not be smooth and disease may occur.,0,0,0,1,0,,,,,"
838,838,"Fire only burns when there is oxygen, but water blocks that oxygen",838.0,"831, Kidney is an organ that helps discharge waste from our body, and if there is an abnormality in kidney function, it may not discharge waste smoothly and cause diseases.,0,0,0,1,0,,,,,"
839,839,It's because it blocked oxygen. And because the temperature was below the ignition point by spraying water.,839.0,"832, detoxifies toxins.,0,0,0,1,0,,,,,833, the role of filtering waste, 0, 0, 0, 1,,,,"
840,840,This is because the fire is extinguished by applying pressure with water.,840.0,"834, Since the kidneys maintain homeostasis through urine discharge as excretory organs, if the kidneys do not function, homeostasis breaks and diseases appear.,0,0,1,1,0,,,,,"
841,841,This is because water has the ingredient to extinguish fire.,841.0,"835, The kidneys function as excretion in our body, but if there is an abnormality in kidney function, the disease occurs because waste accumulates in the body because waste cannot be excreted.,0,0,0,1,0,,,,,"
842,842,This is because the fire goes out when the water touches it.,842.0,"836, the kidneys in our body are responsible for excretion. Therefore, if you have kidney problems, you have problems with excretion, so you have diseases"
843,843,Because pouring water into burning substances blocks burning.,843.0,"837, vitality, 0, 0, 0, 0,"
844,844,M and D,844.0,"838, the kidneys play a role in filtering blood.,0,0,0,1,1,,,,,"
845,845,The ignition point is low,845.0,"839,""The ammonia that breaks down amino acids in our body is converted into urea in the liver, and the kidney is the place that releases these elements."" If there is a problem with the kidneys, there is a problem with the discharge of the urea. If the urea is not discharged, toxicity occurs in the body, and the pH in the body is destroyed due to ammonia. In addition, if there is a problem with reabsorption, secretion, or filtration in the kidneys, the absorption of many nutrients decomposed through digestion may not occur and may be excreted through urine."",0,0,0,1,1,,,,,"
846,846,"Because the heated heat is cooled by water,",846.0,"840, I don't know, 0, 0, 0, 0, 0"
847,847,It blocks oxygen with water,847.0,"841, The nephrons in the kidneys filter out waste and elements accumulated in our bodies, so if there is an abnormality in the kidneys, the elements cannot escape and can accumulate in the body, leading to death in severe cases"
848,848,Because the water covers the fire.,848.0,"842, because the kidneys break down the elements, 0, 0, 1, 0,"
849,849,I don't know how to explain it,849.0,"843, the excretory organ that filters out waste, 0, 0, 0, 1,,,,"
850,850,It cools down the heat,850.0,"844, I don't know, 0, 0, 0, 0,"
851,851,The temperature of the water is cold,851.0,"845, the kidneys are excretory organs that excrete waste. If waste cannot be discharged out of the body, the toxicity causes abnormalities in the body. 0,0,0,1,0,,,,,"
852,852,It's because the hot temperature cooled down,852.0,"846, we filter out the waste from our bodies.,0,0,0,1,0,,,,,"
853,853,It cools the iron plate and interferes with the heat in the stomach,853.0,"847, the kidney is a place where urine is produced, and when blood passes, waste from the kidney is filtered after physical activity such as urea or ammonia. Therefore, when there is a kidney problem, symptoms such as edema appear, 1,0,1,0,,,"
854,854,The fire on the iron plate is extinguished because of the water content,854.0,"848, the kidneys function to excrete waste from our bodies. Ammonia, a proteolytic product, is converted into urea in the liver and released, and if this is not done properly, the homeostasis of our body will collapse and cause physical problems.,0,0,0,1,0,,,,,"
855,855,This is because the fire goes out when it reacts with water.,855.0,"849, filter out the waste.,0,0,0,1,0,,,,,"
856,856,It is because water blocks oxygen in the air.,856.0,"850, I don't know, 0, 0, 0, 0, 0,"
857,857,Because the temperature of the water is higher,857.0,"851, Decomposition and Decomposition of various harmful substances, 0, 0, 0, 1,,,,"
858,858,Because water doesn't have oxygen,858.0,"852, I don't know, 0, 0, 0, 0, 0"
859,859,Water gets rid of heat,859.0,"853,,,,,,,,,,,"
860,860,There's water,860.0,"854,,,,,,,,,,,"
861,861,The temperature drops below the ignition point,861.0,"855,,6.4%,1.2%,3.6%,53.0%,4.9%,,,,,"
862,862,I don't know,,
863,863,Someone said that the lights go out because they want to,,
864,864,Because water overcomes fire,,
865,865,"In order to fire, air must be supplied, because water was sprayed to block the air.",,
866,866,The combustion that could catch fire disappears after spraying water,,
867,867,This is because the temperature of the iron was lowered by pouring water on the burning iron.,,
868,868,"If you pour hot or cold water, it gets cold and runs away quickly",,
869,869,Water is stronger than fire,,
870,870,"It eliminates contact with fire and oxygen, and the water is cold",,
871,871,The fire goes out as the hot air cools.,,
872,872,It's because the fever has gone down,,
873,873,"This is because when water is sprayed, the amount of oxygen is insufficient and the fire is extinguished.",,
874,874,The water is stronger than the blanket,,
875,875,The air around me got cold,,
876,876,"The air on the burning iron plate is hot and the air in the sprinkled water is cold, so hot air and cold air meet",,
877,877,It's because the water didn't exceed the temperature at the ignition point,,
878,878,"This is because if you spray water, you will lack oxygen.",,
879,879,The fire went out and it got cold,,
880,880,I don't know.,,
881,881,This is because fire is weak against water.,,
882,882,Because fire is digested by water,,
883,883,"This is because water and fire are not compatible, so if you spray water on the fire, it is digested.",,
884,884,This is because water is strong against fire and water has the power to block oxygen.,,
885,885,I don't have one thing I need to make a fire,,
886,886,Let it cool down,,
887,887,Lower the temperature with water,,
888,888,It's because the temperature has decreased dramatically,,
889,889,This is because the water lowered the temperature.,,
890,890,It's because the temperature above the ignition point drops below,,
891,891,The temperature decreases dramatically,,
892,892,This is because the temperature of the water is lower than that of the iron.,,
893,893,"Water is the epitome of fire, so if you pour water on a lit iron plate, the fire will go out.",,
894,894,The temperature above the ignition point goes down,,
895,895,The water is acidic,,
896,896,It's because the heat disappears,,
897,897,It's because the heat disappears,,
898,898,Because fire is very weak in water,,
899,899,Because fire is very weak in water,,
900,900,"Fire burns above the ignition point, but if you spray water, it will be below the ignition point, so I think it will be extinguished.",,
901,901,"""Water""",,
902,902,"""Water and fire are acidic, so if you spray water on the iron, the fire will go out.""",,
903,903,Spray water and the temperature of the plate will be lower than the burning point,,
904,904,Fire and water are acidic and make the fire go out,,
905,905,The temperature dropped below the ignition point of the iron plate and the light went out on the lit iron plate.,,
906,906,"There should be a temperature above the ignition point, but if water is sprayed, the temperature above the ignition point cools.",,
907,907,"You need to have a temperature above the ignition point to burn. If you spray water, the temperature above the ignition point decreases",,
908,908,"Fire and water are acidic, so if you spray water on the iron plate, it will be extinguished.",,
909,909,"Even if Squirtle and Charmander fight, Squirtle wins.",,
910,910,"This is because the fire is hot, but spraying water can cool off the hot heat.",,
911,911,This is because the iron plate with high temperature met with water with low temperature.,,
912,912,My temperature went down,,
913,913,The temperature is lower than the ignition point,,
914,914,Fire is weak against water,,
915,915,Don't know,,
916,916,Ignition,,
917,917,:(,,
918,918,I don't know,,
919,919,The cold heat moves to the ironing board,,
920,920,.,,
921,921,Because water cools the heat of fire,,
922,922,The water is cold,,
923,923,Because I have a weak fever?,,
924,924,"If you spray water, it turns off",,
925,925,"If you spray water, the fire will go out",,
926,926,with a cool temperature,,
927,927,It's hot,,
928,928,Fire is weak in water,,
929,929,I don't know,,
930,930,The iron plate is cold,,
931,931,I think it's because fire can't be burned in wet places.,,
932,932,It was extinguished by the steam of the water.,,
933,933,"Because of the steam in the water,",,
934,934,Fire doesn't pour in wet places,,
935,935,The temperature is lower than the ignition point,,
936,936,Because the water is cold,,
937,937,The fire didn't come up that much,,
938,938,The temperature went down,,
939,939,Fire and water come into contact,,
940,940,Because it's cold,,
941,941,Water lowers the temperature of the iron,,
942,942,Spraying water lowers the temperature and extinguishes the fire.,,
943,943,It blocks oxygen,,
944,944,It blocks oxygen,,
945,945,Because it blocks oxygen,,
946,946,removal of oxygen,,
947,947,It's to reduce the fever,,
948,948,"""Spraying water on a lit iron will cause the fire to go out because the temperature will go down. In addition, instantaneous water vapor blocks oxygen and extinguishes the fire.",,
949,949,"""",,
950,950,I don't know.,,
951,951,"If you don't turn off the iron, the fabric on the iron plate may burn.",,
952,952,..,,
953,953,I don't know,,
954,954,?,,
955,955,Fire is weak with water,,
956,956,The temperature went down,,
957,957,I cannot explain the principle of...,,
958,958,Spray water and the temperature goes down,,
959,959,Isn't it because water is stronger than fire?,,
960,960,It blocks oxygen,,
961,961,"It is because water overcomes fire. Fire actually looked strong, but it was a weak friend. I'm sorry, fire. I'm not scared anymore.",,
962,962,I don't know,,
963,963,.,,
964,964,I don't know,,
965,965,It's because water comes into contact and evaporates and releases energy,,
966,966,The fire went out in the water,,
967,967,I don't know,,
968,968,I don't know.,,
969,969,I don't know.,,
970,970,Because water puts out the embers,,
971,971,Water overcomes fire,,
972,972,oxygen blocking,,
973,973,Blocking oxygen,,
974,974,It is because the fever has cooled down.,,
975,975,I need water to turn off the lights,,
976,976,Because water blocks the air and water doesn't catch fire,,
977,977,I don't know.,,
978,978,It's because the temperature is below the ignition point,,
979,979,This is because it lowered the ignition point.,,
980,980,"Water can absorb a lot of heat because of the molecular structure of water, but the fire was extinguished because the water did not have enough heat to absorb and burn the heat from the iron plate.",,
981,981,It's to reduce the fever,,
982,982,"The temperature dropped as water was sprayed, and the iron plate was extinguished because oxygen was temporarily blocked.",,
983,983,Water blocks the oxygen from the fire,,
984,984,Because it blocks oxygen,,
985,985,I don't know,,
986,986,I don't know,,
987,987,I don't know,,
988,988,I think it was because the fire was so hot that it would be easily extinguished in the water.,,
989,989,Because the fire goes out in the water,,
990,990,I think it's because the water is cold,,
991,991,I don't know,,
992,992,It's cold,,
993,993,in a jagao,,
994,994,"If you spray water on a fire, it can go out without air resistance",,
995,995,I don't know,,
996,996,Water blocks oxygen,,
997,997,"Because if you pour water on the fire, it turns off",,
998,998,The fire is cold,,
999,999,Because the monthly fire goes out in the water.,,
1000,1000,It's because the water is an incarnation of Buddha,,
1001,1001,Fire is weaker than water,,
1002,1002,Because I brought water and sprayed it on the iron,,
1003,1003,"Because the water is cold and the fire is hot,",,
1004,1004,Because water absorbed heat,,
1005,1005,I don't know,,
1006,1006,My temperature went down,,
1007,1007,?,,
1008,1008,I don't know.,,
1009,1009,The water is lower than the temperature of the fire,,
1010,1010,It's gone cold,,
1011,1011,Water turns off the fire,,
1012,1012,It's not clear?,,
1013,1013,It's a counter,,
1014,1014,The water is cold,,
1015,1015,It's cold,,
1016,1016,Because the temperature dropped below the ignition point,,
1017,1017,It's because the temperature has gone down,,
1018,1018,The water turned off the heat,,
1019,1019,The temperature went down,,
1020,1020,Lower ignition point and block oxygen,,
1021,1021,The fire went out because the water cut off oxygen,,
1022,1022,It blocks oxygen,,
1023,1023,n,,
1024,1024,This is because cold water is poured into hot water and the air around it is blocked.,,
1025,1025,Water blocks oxygen and the fire goes out when it cannot meet oxygen,,
1026,1026,To lower the temperature below the ignition point,,
1027,1027,Because water can extinguish the fire,,
1028,1028,no,,
1029,1029,I don't know,,
1030,1030,I don't know.,,
1031,1031,There's a car!,,
1032,1032,This is because the temperature dropped sharply.,,
